John walked I on an cat,"[['PETS', 0.06108165], ['ARTS AND ENTERTAINMENT', 0.05196829], ['SPORTS', 0.0509901], ['HOBBIES AND INTERESTS', 0.0501141], ['TECHNOLOGY AND COMPUTING', 0.04975801]]","[['PETS', 0.991354], ['SPORTS', 0.00536463], ['TRAVEL', 0.00010551], ['RELIGION AND SPIRITUALITY', 8.25291e-05], ['HOBBIES AND INTERESTS', 6.62657e-05]]",False,1,0
I wounded John by the dog,"[['PETS', 0.05523029], ['ARTS AND ENTERTAINMENT', 0.0529746], ['HOBBIES AND INTERESTS', 0.05055713], ['EDUCATION', 0.05043843], ['AUTOMOTIVE', 0.05007091]]","[['PETS', 1.0], ['SPORTS', 1.22327e-07], ['ARTS AND ENTERTAINMENT', 1.82458e-08], ['TRAVEL', 1.41412e-08], ['CAREERS', 5.27585e-10]]",True,2,1
Mary saw Mary,"[['HEALTH AND FITNESS', 0.05113865], ['HOBBIES AND INTERESTS', 0.05110473], ['BUSINESS', 0.04993331], ['EDUCATION', 0.0493423], ['ARTS AND ENTERTAINMENT', 0.04926081]]","[['HOBBIES AND INTERESTS', 0.186716], ['CAREERS', 0.103546], ['RELIGION AND SPIRITUALITY', 0.0760557], ['TRAVEL', 0.0426075], ['STYLE AND FASHION', 0.0401628]]",True,3,2
Mary saw John outside my elephant in Bob outside I,"[['SPORTS', 0.05698725], ['HEALTH AND FITNESS', 0.05590313], ['ARTS AND ENTERTAINMENT', 0.05248203], ['HOBBIES AND INTERESTS', 0.05182439], ['EDUCATION', 0.05029145]]","[['NON STANDARD CONTENT', 0.318092], ['RELIGION AND SPIRITUALITY', 0.123558], ['HOBBIES AND INTERESTS', 0.0935324], ['ARTS AND ENTERTAINMENT', 0.0524221], ['FAMILY AND PARENTING', 0.04519]]",True,4,3
I shot John in Mary,"[['SPORTS', 0.05814737], ['ARTS AND ENTERTAINMENT', 0.05211914], ['TECHNOLOGY AND COMPUTING', 0.05068696], ['HEALTH AND FITNESS', 0.04959541], ['RELIGION AND SPIRITUALITY', 0.04947434]]","[['ARTS AND ENTERTAINMENT', 0.999999], ['HOBBIES AND INTERESTS', 1.21047e-06], ['RELIGION AND SPIRITUALITY', 1.76067e-10], ['SPORTS', 8.68557e-11], ['FOOD AND DRINK', 5.17272e-11]]",False,5,3
Mary ate John in I on a dog with John in I,"[['PETS', 0.05507817], ['ARTS AND ENTERTAINMENT', 0.05361966], ['EDUCATION', 0.05267314], ['HOBBIES AND INTERESTS', 0.05048076], ['FOOD AND DRINK', 0.04929078]]","[['PETS', 0.9999], ['FOOD AND DRINK', 9.67306e-05], ['HOBBIES AND INTERESTS', 1.10033e-06], ['RELIGION AND SPIRITUALITY', 8.16389e-07], ['TRAVEL', 4.729e-07]]",False,6,3
an cat killed an man outside Mary in the dog outside John with John,"[['PETS', 0.07181221], ['RELIGION AND SPIRITUALITY', 0.05451694], ['EDUCATION', 0.05376835], ['ARTS AND ENTERTAINMENT', 0.05130617], ['LAW GOVERNMENT AND POLITICS', 0.05035615]]","[['SOCIETY', 0.859498], ['PETS', 0.0569615], ['ARTS AND ENTERTAINMENT', 0.0413996], ['SCIENCE', 1.84583e-05], ['SPORTS', 5.07399e-06]]",True,7,4
Mary shot an telescope on Mary with Bob,"[['SPORTS', 0.05741627], ['SCIENCE', 0.05162701], ['BUSINESS', 0.05131579], ['HEALTH AND FITNESS', 0.0509863], ['ARTS AND ENTERTAINMENT', 0.0496457]]","[['EDUCATION', 0.995365], ['HEALTH AND FITNESS', 0.00463449], ['SCIENCE', 7.20369e-07], ['HOBBIES AND INTERESTS', 1.08989e-07], ['SPORTS', 3.545e-09]]",False,8,4
Mary wounded John outside my cat by John with I,"[['PETS', 0.06672953], ['RELIGION AND SPIRITUALITY', 0.05363836], ['HEALTH AND FITNESS', 0.05141041], ['EDUCATION', 0.05002798], ['ARTS AND ENTERTAINMENT', 0.04992688]]","[['PETS', 0.741336], ['SOCIETY', 0.258132], ['HOBBIES AND INTERESTS', 0.000528967], ['ARTS AND ENTERTAINMENT', 6.17162e-07], ['SPORTS', 4.37018e-07]]",True,9,5
a park in Bob saw Mary with Bob by Mary outside Mary,"[['SPORTS', 0.05623945], ['HEALTH AND FITNESS', 0.05487346], ['TRAVEL', 0.05481606], ['BUSINESS', 0.05361617], ['ARTS AND ENTERTAINMENT', 0.05068807]]","[['TRAVEL', 0.64501], ['HEALTH AND FITNESS', 0.116349], ['HOBBIES AND INTERESTS', 0.0858746], ['SPORTS', 0.0406739], ['EDUCATION', 0.006572]]",False,10,5
