the hedgehog caught I outside I,"[['SPORTS', 0.05813673], ['FOOD AND DRINK', 0.05317657], ['RELIGION AND SPIRITUALITY', 0.0508642], ['TECHNOLOGY AND COMPUTING', 0.05064473], ['TRAVEL', 0.05053054]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,1,1,22:18:46.091408
Steve caught Elise outside my fish with Elise outside I,"[['SPORTS', 0.06847979], ['FOOD AND DRINK', 0.05632738], ['PETS', 0.05573009], ['RELIGION AND SPIRITUALITY', 0.05326055], ['TRAVEL', 0.0497447]]","[['AQUARIUMS', 0.73], ['PETS', 0.12]]",False,2,1,22:18:48.210167
the lawn near Mark wounded the hedgehog in Steve in Mark,"[['HOME AND GARDEN', 0.05795547], ['HEALTH AND FITNESS', 0.05068012], ['SOCIETY', 0.05047206], ['SPORTS', 0.0501397], ['REAL ESTATE', 0.04872884]]","[['LANDSCAPING', 0.23], ['HOME & GARDEN', 0.08], ['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['BIRDWATCHING', 0.05]]",True,3,2,22:18:50.164959
Elise went Elise,"[['AUTOMOTIVE', 0.05067315], ['ARTS AND ENTERTAINMENT', 0.05049572], ['SOCIETY', 0.04909376], ['BUSINESS', 0.04882028], ['REAL ESTATE', 0.04859678]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,4,3,22:18:51.662718
Steve ran a binoculars near the lawn,"[['HOME AND GARDEN', 0.05882363], ['TRAVEL', 0.0535989], ['SOCIETY', 0.05026926], ['SCIENCE', 0.05013727], ['HEALTH AND FITNESS', 0.04971546]]","[['LANDSCAPING', 0.29], ['HOME & GARDEN', 0.08], ['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,5,4,22:18:53.201545
I injured Mark on an man,"[['SPORTS', 0.05548634], ['HOBBIES AND INTERESTS', 0.05294791], ['ARTS AND ENTERTAINMENT', 0.05142065], ['RELIGION AND SPIRITUALITY', 0.04976616], ['HEALTH AND FITNESS', 0.04919352]]","[['PROFANE CONTENT', 0.24], ['SPORTS', 0.08], ['NON-STANDARD CONTENT', 0.07], ['WALKING', 0.04]]",True,6,5,22:18:54.749520
Mark ran Mark,"[['HOBBIES AND INTERESTS', 0.05128927], ['REAL ESTATE', 0.04907467], ['AUTOMOTIVE', 0.04899166], ['SOCIETY', 0.04899112], ['LAW GOVERNMENT AND POLITICS', 0.04851853]]","[['SPORTS', 0.08], ['FLY FISHING', 0.04]]",True,7,6,22:18:56.138395
I caught Steve with my binoculars near Elise,"[['SPORTS', 0.06131863], ['AUTOMOTIVE', 0.05083692], ['TRAVEL', 0.05060034], ['TECHNOLOGY AND COMPUTING', 0.05047015], ['HOME AND GARDEN', 0.05019306]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,8,7,22:18:57.817102
Steve ran an monkey with Mark,"[['SPORTS', 0.05497753], ['HOBBIES AND INTERESTS', 0.05217972], ['AUTOMOTIVE', 0.04904208], ['FAMILY AND PARENTING', 0.04852852], ['REAL ESTATE', 0.0484336]]","[['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['BIRDWATCHING', 0.05], ['WALKING', 0.04]]",True,9,8,22:18:59.319397
Steve ran Steve,"[['SPORTS', 0.05173464], ['HOBBIES AND INTERESTS', 0.05008907], ['TRAVEL', 0.04882676], ['HEALTH AND FITNESS', 0.04861174], ['REAL ESTATE', 0.04824828]]","[['HOBBIES & INTERESTS', 0.08], ['SCRAPBOOKING', 0.05]]",True,10,9,22:19:00.834731
