the babbon apprehended the woman inside I,"[['SPORTS', 0.05186358], ['TRAVEL', 0.05097576], ['ARTS AND ENTERTAINMENT', 0.05090608], ['RELIGION AND SPIRITUALITY', 0.0508976], ['TECHNOLOGY AND COMPUTING', 0.05086895]]","[['BODY ART', 0.33], ['HOME REPAIR', 0.21], ['HOBBIES & INTERESTS', 0.06], ['STYLE & FASHION', 0.06], ['SCREENWRITING', 0.05]]",True,1,1,17:17:34.913612
I disabled Gary,"[['HEALTH AND FITNESS', 0.0620021], ['SPORTS', 0.05290917], ['TECHNOLOGY AND COMPUTING', 0.05092099], ['HOBBIES AND INTERESTS', 0.04998883], ['FOOD AND DRINK', 0.04885541]]","[['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.05]]",True,2,2,17:17:36.387760
Gary grabbed a babbon inside the gibbon,"[['SPORTS', 0.05273636], ['HEALTH AND FITNESS', 0.05056908], ['TRAVEL', 0.04952023], ['BUSINESS', 0.04921205], ['ARTS AND ENTERTAINMENT', 0.04895218]]","[['HOBBIES & INTERESTS', 0.07], ['SCREENWRITING', 0.05]]",True,3,3,17:17:37.878547
Gemma disabled Nick inside Gary,"[['HEALTH AND FITNESS', 0.06313344], ['SPORTS', 0.05145093], ['ARTS AND ENTERTAINMENT', 0.05131421], ['SCIENCE', 0.0492991], ['TRAVEL', 0.04853044]]","[['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.05], ['NEEDLEWORK', 0.05], ['FRESHWATER FISHING', 0.04]]",True,4,4,17:17:39.422072
I disabled Gary,"[['HEALTH AND FITNESS', 0.0620021], ['SPORTS', 0.05290917], ['TECHNOLOGY AND COMPUTING', 0.05092099], ['HOBBIES AND INTERESTS', 0.04998883], ['FOOD AND DRINK', 0.04885541]]","[['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.05]]",True,4,4,17:17:40.909340
Nick damaged an babbon inside Nick,"[['AUTOMOTIVE', 0.05174791], ['ARTS AND ENTERTAINMENT', 0.05142483], ['SCIENCE', 0.04988673], ['SOCIETY', 0.04953234], ['TRAVEL', 0.04917154]]","[['BODY ART', 0.34], ['WEDDINGS', 0.21], ['HOBBIES & INTERESTS', 0.06], ['SOCIETY', 0.06], ['STYLE & FASHION', 0.05]]",True,5,5,17:17:42.489913
the salmon grabbed the babbon on Nick on my babbon outside the gibbon inside Gemma,"[['TRAVEL', 0.0533902], ['AUTOMOTIVE', 0.05200569], ['FAMILY AND PARENTING', 0.05040157], ['PETS', 0.05038081], ['HEALTH AND FITNESS', 0.04998461]]","[['HOBBIES & INTERESTS', 0.07], ['SCREENWRITING', 0.05]]",True,6,6,17:17:44.005379
Gary spent I near I,"[['TRAVEL', 0.05321568], ['SPORTS', 0.05082219], ['TECHNOLOGY AND COMPUTING', 0.05051737], ['HOME AND GARDEN', 0.05035161], ['SCIENCE', 0.05004565]]","[['HOBBIES & INTERESTS', 0.09], ['FREELANCE WRITING', 0.05]]",True,7,7,17:17:45.514018
I grabbed Gary,"[['SPORTS', 0.0533825], ['HOBBIES AND INTERESTS', 0.05055616], ['HEALTH AND FITNESS', 0.05006268], ['TECHNOLOGY AND COMPUTING', 0.04967398], ['FOOD AND DRINK', 0.04871783]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,8,8,17:17:46.971161
my salmon chased my woman by Gemma by Gary,"[['HEALTH AND FITNESS', 0.05501625], ['RELIGION AND SPIRITUALITY', 0.05250941], ['AUTOMOTIVE', 0.04857767], ['STYLE AND FASHION', 0.04828803], ['HOBBIES AND INTERESTS', 0.04818687]]","[['HOBBIES & INTERESTS', 0.07], ['SCREENWRITING', 0.05]]",True,9,9,17:17:48.291484
I disabled I on a woman in Gary,"[['HEALTH AND FITNESS', 0.0665537], ['SPORTS', 0.05151769], ['RELIGION AND SPIRITUALITY', 0.05099501], ['TECHNOLOGY AND COMPUTING', 0.05011535], ['HOBBIES AND INTERESTS', 0.0499424]]","[['SENIOR LIVING', 0.23], ['HOBBIES & INTERESTS', 0.07], ['SOCIETY', 0.06], ['NEEDLEWORK', 0.05]]",True,10,10,17:17:49.704648
the babbon in my park disabled Nick on I,"[['HEALTH AND FITNESS', 0.06399976], ['TRAVEL', 0.05754278], ['AUTOMOTIVE', 0.05168113], ['HOBBIES AND INTERESTS', 0.05029127], ['FOOD AND DRINK', 0.04954895]]","[['NATIONAL PARKS', 0.46], ['TRAVEL', 0.1]]",False,11,10,17:17:51.046914
the elephant with Gemma damaged I near Gemma near a park in Gary outside an elephant inside an salmon near Gary outside Gary with Nick,"[['TRAVEL', 0.06596193], ['SPORTS', 0.05927494], ['HEALTH AND FITNESS', 0.05074569], ['ARTS AND ENTERTAINMENT', 0.0504224], ['SCIENCE', 0.04883034]]","[['LARGE ANIMALS', 0.34], ['HOBBIES & INTERESTS', 0.07], ['PETS', 0.06], ['BIRDWATCHING', 0.06]]",True,12,11,17:17:52.518455
Gemma apprehended an elephant,"[['TRAVEL', 0.05013239], ['HOBBIES AND INTERESTS', 0.04904775], ['HOME AND GARDEN', 0.04842377], ['SOCIETY', 0.04820252], ['CAREERS', 0.04775876]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,13,12,17:17:54.170955
Nick apprehended Nick,"[['SCIENCE', 0.0507316], ['ARTS AND ENTERTAINMENT', 0.04995481], ['FAMILY AND PARENTING', 0.04865927], ['FOOD AND DRINK', 0.04807152], ['CAREERS', 0.04805653]]","[['WEDDINGS', 0.22], ['HOBBIES & INTERESTS', 0.07], ['SOCIETY', 0.06], ['BIRDWATCHING', 0.05]]",True,14,13,17:17:55.688032
a river by I grabbed Gemma,"[['TRAVEL', 0.05420939], ['SPORTS', 0.05364071], ['HOBBIES AND INTERESTS', 0.05240517], ['RELIGION AND SPIRITUALITY', 0.05069417], ['TECHNOLOGY AND COMPUTING', 0.0488927]]","[['WATERSKI/WAKEBOARD', 0.08], ['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['BIRDWATCHING', 0.06]]",True,15,14,17:17:57.185309
a woman with I saw I on I,"[['HOBBIES AND INTERESTS', 0.05510906], ['SCIENCE', 0.05274921], ['AUTOMOTIVE', 0.05212925], ['SPORTS', 0.05168063], ['HEALTH AND FITNESS', 0.05128404]]","[['LOCAL NEWS', 0.5], ['BODY ART', 0.32], ['WEDDINGS', 0.26], ['SOCIETY', 0.07], ['STYLE & FASHION', 0.07]]",True,16,15,17:17:58.484921
an owl disabled the gibbon in Nick,"[['HEALTH AND FITNESS', 0.06057688], ['SCIENCE', 0.05020943], ['ARTS AND ENTERTAINMENT', 0.05009513], ['FOOD AND DRINK', 0.04816135], ['TRAVEL', 0.04812883]]","[['SENIOR LIVING', 0.23], ['HOBBIES & INTERESTS', 0.07], ['SOCIETY', 0.05], ['NEEDLEWORK', 0.05]]",True,17,16,17:17:59.777881
Gemma chased a river,"[['TRAVEL', 0.05390801], ['SPORTS', 0.0503899], ['RELIGION AND SPIRITUALITY', 0.04913737], ['HOBBIES AND INTERESTS', 0.0484884], ['REAL ESTATE', 0.04846368]]","[['WATERSKI/WAKEBOARD', 0.08], ['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['BIRDWATCHING', 0.06]]",True,18,17,17:18:01.117089
