I meant Irene in an mountain,"[['SPORTS', 0.06863483], ['ARTS AND ENTERTAINMENT', 0.05057511], ['HOBBIES AND INTERESTS', 0.05040724], ['HOME AND GARDEN', 0.04921831], ['TECHNOLOGY AND COMPUTING', 0.04918442]]","[['MOUNTAIN BIKING', 0.11], ['SPORTS', 0.08], ['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.06]]",True,1,1,23:01:21.657266
Irene built pajamas outside my pajamas by I tree outside monkey mountain mountain ship pajamas with Stephen cat,"[['TRAVEL', 0.06136685], ['SPORTS', 0.05801873], ['PETS', 0.05798788], ['BUSINESS', 0.05684433], ['TECHNOLOGY AND COMPUTING', 0.05614155]]","[['CATS', 0.28], ['HOME REPAIR', 0.19], ['PETS', 0.07], ['SPORTS', 0.06], ['MOUNTAIN BIKING', 0.06]]",False,2,1,23:01:24.040127
Stephen fought cat pajamas on an pajamas in Irene,"[['PETS', 0.06388246], ['HEALTH AND FITNESS', 0.05165443], ['TECHNOLOGY AND COMPUTING', 0.04897385], ['REAL ESTATE', 0.04860961], ['EDUCATION', 0.04804357]]","[['CATS', 0.34], ['PETS', 0.09]]",False,3,1,23:01:26.138668
I began I with I outside I,"[['SPORTS', 0.05356929], ['FOOD AND DRINK', 0.05353761], ['RELIGION AND SPIRITUALITY', 0.05031434], ['HOME AND GARDEN', 0.05024864], ['HEALTH AND FITNESS', 0.04921799]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.21], ['HOBBIES & INTERESTS', 0.08], ['NON-STANDARD CONTENT', 0.07], ['CIGARS', 0.05]]",True,4,2,23:01:28.008866
James built James my outside Irene outside the man by Irene country with I with Irene,"[['TRAVEL', 0.06046237], ['RELIGION AND SPIRITUALITY', 0.05652296], ['AUTOMOTIVE', 0.05561658], ['ARTS AND ENTERTAINMENT', 0.05161926], ['HOBBIES AND INTERESTS', 0.0515098]]","[['GARDENING', 0.25], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['HOBBIES & INTERESTS', 0.06], ['NON-STANDARD CONTENT', 0.06], ['SPORTS', 0.06]]",True,5,3,23:01:29.535427
Irene meant an outside my man outside Irene with James,"[['RELIGION AND SPIRITUALITY', 0.05892773], ['HEALTH AND FITNESS', 0.0532072], ['ARTS AND ENTERTAINMENT', 0.0517591], ['EDUCATION', 0.05123346], ['TRAVEL', 0.05103555]]","[['PROFANE CONTENT', 0.2], ['NON-STANDARD CONTENT', 0.07], ['HOBBIES & INTERESTS', 0.06], ['SPORTS', 0.06], ['BEADWORK', 0.05]]",True,6,4,23:01:31.376010
James caught Irene,"[['RELIGION AND SPIRITUALITY', 0.05063722], ['FOOD AND DRINK', 0.04953998], ['SPORTS', 0.0495366], ['REAL ESTATE', 0.04950148], ['ARTS AND ENTERTAINMENT', 0.04907639]]","[['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['BEADWORK', 0.05], ['FRESHWATER FISHING', 0.04]]",True,7,5,23:01:32.900316
my cat James James caught James,"[['PETS', 0.06778105], ['HOBBIES AND INTERESTS', 0.04971379], ['RELIGION AND SPIRITUALITY', 0.04939859], ['AUTOMOTIVE', 0.04935212], ['EDUCATION', 0.0489093]]","[['CATS', 0.37], ['PETS', 0.13]]",False,8,5,23:01:34.775047
my pajamas built my country outside a tree with an tree the country Stephen,"[['TRAVEL', 0.06201733], ['BUSINESS', 0.06083008], ['HEALTH AND FITNESS', 0.05408346], ['AUTOMOTIVE', 0.05350415], ['RELIGION AND SPIRITUALITY', 0.05189257]]","[['GARDENING', 0.21], ['HOME & GARDEN', 0.09]]",True,9,6,23:01:39.930482
James meant an telescope on James with Irene I Stephen,"[['SCIENCE', 0.05525087], ['HOME AND GARDEN', 0.05170266], ['RELIGION AND SPIRITUALITY', 0.05129879], ['ARTS AND ENTERTAINMENT', 0.05129494], ['HOBBIES AND INTERESTS', 0.05103423]]","[['BOOKS & LITERATURE', 0.17], ['SPORTS', 0.07], ['HOBBIES & INTERESTS', 0.06], ['ARTS & ENTERTAINMENT', 0.06], ['BEADWORK', 0.05]]",True,10,7,23:01:41.771251
I caught James,"[['SPORTS', 0.05513709], ['FOOD AND DRINK', 0.05099279], ['RELIGION AND SPIRITUALITY', 0.0509098], ['HOBBIES AND INTERESTS', 0.05065201], ['HOME AND GARDEN', 0.05053946]]","[['REPTILES', 0.19], ['BOOKS & LITERATURE', 0.18], ['HOBBIES & INTERESTS', 0.07], ['PETS', 0.07], ['SPORTS', 0.06]]",True,11,8,23:01:43.331772
a ship on a tree meant cat Stephen a telescope ship outside Stephen,"[['PETS', 0.0621503], ['BUSINESS', 0.05996973], ['TRAVEL', 0.05445545], ['HEALTH AND FITNESS', 0.05005136], ['HOBBIES AND INTERESTS', 0.04964311]]","[['CATS', 0.32], ['CRUISES', 0.13], ['PETS', 0.09], ['TRAVEL', 0.07]]",False,12,8,23:01:44.841627
Stephen caught my on the by Irene cat outside Stephen mountain with an in Stephen with Irene Irene,"[['PETS', 0.06595088], ['SPORTS', 0.0635605], ['TRAVEL', 0.05166303], ['RELIGION AND SPIRITUALITY', 0.04991298], ['HEALTH AND FITNESS', 0.04942491]]","[['CATS', 0.25], ['PETS', 0.07], ['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['BIRDWATCHING', 0.05]]",False,13,8,23:01:46.711716
ship telescope by I began Irene,"[['FOOD AND DRINK', 0.05300081], ['SCIENCE', 0.05289943], ['HOBBIES AND INTERESTS', 0.05192105], ['TRAVEL', 0.05080881], ['TECHNOLOGY AND COMPUTING', 0.05018499]]","[['CRUISES', 0.09], ['HOBBIES & INTERESTS', 0.07], ['TRAVEL', 0.07], ['BEADWORK', 0.05]]",True,14,9,23:01:48.576593
man with James telescope caught an tree by Stephen in Irene,"[['BUSINESS', 0.05513179], ['RELIGION AND SPIRITUALITY', 0.05314213], ['SCIENCE', 0.05287267], ['FAMILY AND PARENTING', 0.0514195], ['SOCIETY', 0.05054274]]","[['GARDENING', 0.24], ['PROFANE CONTENT', 0.2], ['REPTILES', 0.17], ['NON-STANDARD CONTENT', 0.07], ['HOBBIES & INTERESTS', 0.06]]",True,15,10,23:01:50.183347
ship by James telescope on my telescope in Stephen heard Stephen in a pajamas on Stephen,"[['TRAVEL', 0.05515143], ['SCIENCE', 0.05456804], ['RELIGION AND SPIRITUALITY', 0.05191685], ['HEALTH AND FITNESS', 0.05176352], ['HOBBIES AND INTERESTS', 0.05111342]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['SPACE/ASTRONOMY', 0.17], ['HOBBIES & INTERESTS', 0.06], ['SPORTS', 0.05], ['SCIENCE', 0.05]]",True,16,11,23:01:51.667230
an monkey Stephen Stephen outside Stephen with I,"[['TRAVEL', 0.05263864], ['RELIGION AND SPIRITUALITY', 0.05192299], ['SPORTS', 0.0517151], ['TECHNOLOGY AND COMPUTING', 0.05112763], ['HEALTH AND FITNESS', 0.05086666]]","[['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['NEEDLEWORK', 0.05], ['WATERSKI/WAKEBOARD', 0.05]]",True,17,12,23:01:53.580032
Stephen caught I outside Stephen,"[['SPORTS', 0.05621389], ['FOOD AND DRINK', 0.05230392], ['TRAVEL', 0.05189132], ['RELIGION AND SPIRITUALITY', 0.05130627], ['TECHNOLOGY AND COMPUTING', 0.05058136]]","[['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['NEEDLEWORK', 0.05], ['FRESHWATER FISHING', 0.04]]",True,18,13,23:01:55.027489
James heard Stephen by an ship,"[['TRAVEL', 0.05405211], ['RELIGION AND SPIRITUALITY', 0.05133949], ['HOBBIES AND INTERESTS', 0.05081876], ['SCIENCE', 0.05004124], ['BUSINESS', 0.04953253]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.19], ['HUMOR', 0.19], ['CRUISES', 0.12], ['TRAVEL', 0.07], ['HOBBIES & INTERESTS', 0.06]]",True,19,14,23:01:56.574181
the country on James began James by Irene,"[['FOOD AND DRINK', 0.05178811], ['ARTS AND ENTERTAINMENT', 0.05132589], ['HOME AND GARDEN', 0.05126469], ['EDUCATION', 0.05081929], ['REAL ESTATE', 0.05055752]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.21], ['BOOKS & LITERATURE', 0.18], ['HINDUISM', 0.15], ['OFF-ROAD VEHICLES', 0.08], ['HOBBIES & INTERESTS', 0.06]]",True,20,15,23:01:58.166762
James fought Irene,"[['RELIGION AND SPIRITUALITY', 0.05219164], ['SCIENCE', 0.04916986], ['HOBBIES AND INTERESTS', 0.04903236], ['ARTS AND ENTERTAINMENT', 0.0490129], ['REAL ESTATE', 0.04901183]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.22], ['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['NON-STANDARD CONTENT', 0.06], ['BEADWORK', 0.06]]",True,21,16,23:01:59.924985
