Marcus conflicted I,"[['SPORTS', 0.05067681], ['HOBBIES AND INTERESTS', 0.05057955], ['TECHNOLOGY AND COMPUTING', 0.04987622], ['FOOD AND DRINK', 0.04975305], ['STYLE AND FASHION', 0.0495563]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,1,1,22:21:59.923059
forest in an forest on Holly province by Marcus Dylan Marcus outside Holly,"[['BUSINESS', 0.05534915], ['RELIGION AND SPIRITUALITY', 0.05306509], ['ARTS AND ENTERTAINMENT', 0.05017954], ['TRAVEL', 0.04991011], ['EDUCATION', 0.04895814]]","[['SPAS', 0.08], ['BIRDWATCHING', 0.07], ['HOBBIES & INTERESTS', 0.07], ['TRAVEL', 0.06], ['SPORTS', 0.06]]",False,2,1,22:22:01.444934
pajamas cat on Marcus conflicted Dylan outside an pajamas,"[['PETS', 0.06440908], ['EDUCATION', 0.04902702], ['HEALTH AND FITNESS', 0.04896723], ['REAL ESTATE', 0.04883137], ['RELIGION AND SPIRITUALITY', 0.04882344]]","[['CATS', 0.34], ['PETS', 0.09]]",False,3,1,22:22:03.104832
Dylan made the pajamas in Marcus with Holly,"[['STYLE AND FASHION', 0.04980691], ['HOBBIES AND INTERESTS', 0.0495641], ['BUSINESS', 0.04940746], ['RELIGION AND SPIRITUALITY', 0.049381], ['FOOD AND DRINK', 0.04909114]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,4,2,22:22:04.814865
Dylan embarked Marcus in I,"[['SPORTS', 0.05111405], ['HOBBIES AND INTERESTS', 0.05050444], ['STYLE AND FASHION', 0.05030984], ['HOME AND GARDEN', 0.04994976], ['FOOD AND DRINK', 0.04982387]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,5,3,22:22:06.322870
Holly captured I in an cat by Marcus,"[['PETS', 0.06112028], ['TECHNOLOGY AND COMPUTING', 0.05387276], ['HOBBIES AND INTERESTS', 0.05131539], ['SCIENCE', 0.04898222], ['HOME AND GARDEN', 0.04809908]]","[['CATS', 0.51], ['PETS', 0.13]]",False,6,3,22:22:07.884493
the hill embarked Holly an province Marcus,"[['ARTS AND ENTERTAINMENT', 0.05171421], ['EDUCATION', 0.04899658], ['LAW GOVERNMENT AND POLITICS', 0.04881567], ['BUSINESS', 0.04847143], ['SPORTS', 0.0482849]]","[['OFF-ROAD VEHICLES', 0.1], ['HOBBIES & INTERESTS', 0.06], ['SPORTS', 0.06], ['AUTOMOTIVE', 0.05], ['BEADWORK', 0.05]]",False,7,3,22:22:09.333126
my hill captured Holly,"[['AUTOMOTIVE', 0.05110363], ['HOBBIES AND INTERESTS', 0.05023044], ['TECHNOLOGY AND COMPUTING', 0.05006461], ['PETS', 0.04958923], ['HEALTH AND FITNESS', 0.04937434]]","[['HOBBIES & INTERESTS', 0.07], ['BEADWORK', 0.05]]",True,8,4,22:22:10.957882
I embarked Marcus with Holly,"[['TECHNOLOGY AND COMPUTING', 0.05070961], ['HOBBIES AND INTERESTS', 0.04963944], ['STYLE AND FASHION', 0.04955784], ['FOOD AND DRINK', 0.04933481], ['HOME AND GARDEN', 0.04931849]]","[['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['BIRDWATCHING', 0.05], ['WATERSKI/WAKEBOARD', 0.05]]",True,9,5,22:22:12.502957
hill on the man with Holly studied I with an with Marcus,"[['ARTS AND ENTERTAINMENT', 0.05486238], ['SPORTS', 0.05345356], ['EDUCATION', 0.0512104], ['HOBBIES AND INTERESTS', 0.05070487], ['SCIENCE', 0.04985298]]","[['PROFANE CONTENT', 0.21], ['NON-STANDARD CONTENT', 0.07], ['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['CANDLE & SOAP MAKING', 0.05]]",False,10,5,22:22:14.090876
I embarked Holly,"[['TECHNOLOGY AND COMPUTING', 0.05202388], ['HOBBIES AND INTERESTS', 0.04990336], ['HOME AND GARDEN', 0.04922443], ['SPORTS', 0.04904602], ['FOOD AND DRINK', 0.0489032]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,11,6,22:22:15.566134
my bus outside the snake conflicted Holly on pajamas on Dylan snake in an cat,"[['PETS', 0.06700549], ['TRAVEL', 0.05274998], ['TECHNOLOGY AND COMPUTING', 0.0524334], ['HEALTH AND FITNESS', 0.05164838], ['RELIGION AND SPIRITUALITY', 0.05019229]]","[['CATS', 0.32], ['PETS', 0.1]]",False,12,6,22:22:17.102668
I made Marcus Dylan Dylan,"[['HOBBIES AND INTERESTS', 0.05545632], ['FOOD AND DRINK', 0.05218543], ['SPORTS', 0.05111758], ['STYLE AND FASHION', 0.0502872], ['RELIGION AND SPIRITUALITY', 0.04986501]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,13,7,22:22:18.640075
Dylan made Holly Holly I,"[['HOBBIES AND INTERESTS', 0.05290787], ['TECHNOLOGY AND COMPUTING', 0.05125392], ['FOOD AND DRINK', 0.050774], ['RELIGION AND SPIRITUALITY', 0.05054602], ['SPORTS', 0.05042674]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,14,8,22:22:20.165264
Marcus captured Dylan on Marcus,"[['STYLE AND FASHION', 0.04943303], ['SCIENCE', 0.04869489], ['HOBBIES AND INTERESTS', 0.0485124], ['EDUCATION', 0.04836191], ['SOCIETY', 0.04818953]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,15,9,22:22:21.706637
Holly studied the bus outside Holly with a camera with Dylan,"[['TECHNOLOGY AND COMPUTING', 0.05440528], ['TRAVEL', 0.0537901], ['BUSINESS', 0.0534664], ['EDUCATION', 0.05202162], ['RELIGION AND SPIRITUALITY', 0.0501168]]","[['HOBBIES & INTERESTS', 0.08], ['PHOTOGRAPHY', 0.06]]",True,16,10,22:22:23.252185
Dylan Holly an pajamas with a forest,"[['BUSINESS', 0.05303984], ['ARTS AND ENTERTAINMENT', 0.04926943], ['EDUCATION', 0.04889695], ['SOCIETY', 0.04865886], ['RELIGION AND SPIRITUALITY', 0.04854362]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.07]]",True,17,11,22:22:24.753999
