the company outside an school tried Olivia,"[['BUSINESS', 0.06101762], ['EDUCATION', 0.05310212], ['FAMILY AND PARENTING', 0.05100131], ['STYLE AND FASHION', 0.05023691], ['HEALTH AND FITNESS', 0.04956552]]","[['BIOTECH/BIOMEDICAL', 0.15], ['HOMESCHOOLING', 0.09], ['HOBBIES & INTERESTS', 0.07], ['BUSINESS', 0.07], ['EDUCATION', 0.07]]",False,1,0,13:11:12.431302
I tried I with my home outside Alexander by Alexander,"[['HOME AND GARDEN', 0.05577729], ['HEALTH AND FITNESS', 0.05434191], ['TECHNOLOGY AND COMPUTING', 0.05355769], ['TRAVEL', 0.05317642], ['RELIGION AND SPIRITUALITY', 0.05293473]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,2,1,13:11:14.047880
I thought I in Thomas,"[['TECHNOLOGY AND COMPUTING', 0.05492147], ['HOME AND GARDEN', 0.05075619], ['SPORTS', 0.05067055], ['SOCIETY', 0.04913235], ['SCIENCE', 0.04912185]]","[['PROFANE CONTENT', 0.23], ['ATHEISM/AGNOSTICISM', 0.2], ['HOBBIES & INTERESTS', 0.08], ['NON-STANDARD CONTENT', 0.06], ['RELIGION & SPIRITUALITY', 0.06]]",True,3,2,13:11:15.550885
Olivia stood school country outside I,"[['EDUCATION', 0.06260537], ['SPORTS', 0.05225353], ['TRAVEL', 0.05160569], ['RELIGION AND SPIRITUALITY', 0.05122492], ['ARTS AND ENTERTAINMENT', 0.04974159]]","[['TRAVELING WITH KIDS', 0.14], ['HOMESCHOOLING', 0.09], ['HOBBIES & INTERESTS', 0.07], ['EDUCATION', 0.06], ['TRAVEL', 0.06]]",False,4,2,13:11:17.078848
Alexander tried Thomas in Alexander,"[['HEALTH AND FITNESS', 0.05342305], ['TECHNOLOGY AND COMPUTING', 0.0526207], ['HOBBIES AND INTERESTS', 0.05036437], ['REAL ESTATE', 0.04985092], ['STYLE AND FASHION', 0.04912381]]","[['HOBBIES & INTERESTS', 0.07], ['BEADWORK', 0.05]]",True,5,3,13:11:18.719999
I tried Thomas by a week on Olivia in the company,"[['TECHNOLOGY AND COMPUTING', 0.06202503], ['BUSINESS', 0.0549555], ['STYLE AND FASHION', 0.05328809], ['HOME AND GARDEN', 0.05252584], ['FAMILY AND PARENTING', 0.04981446]]","[['CONSTRUCTION', 0.13], ['BUSINESS', 0.07]]",False,6,3,13:11:20.194051
Olivia stood I outside Olivia with I woman in Thomas country the home by Alexander,"[['RELIGION AND SPIRITUALITY', 0.05513812], ['REAL ESTATE', 0.05502131], ['TRAVEL', 0.05500739], ['HOME AND GARDEN', 0.05356623], ['HEALTH AND FITNESS', 0.05232786]]","[['BODY ART', 0.35], ['WEDDINGS', 0.27], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.19], ['HOBBIES & INTERESTS', 0.06], ['NON-STANDARD CONTENT', 0.06]]",True,7,4,13:11:21.780275
Olivia tried my home my woman outside Olivia Thomas on by Alexander home with Olivia,"[['HEALTH AND FITNESS', 0.06058405], ['RELIGION AND SPIRITUALITY', 0.05561869], ['REAL ESTATE', 0.05534569], ['TRAVEL', 0.05270353], ['HOME AND GARDEN', 0.05153667]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,8,5,13:11:23.299010
I thought an woman by the home by week room with I,"[['HOME AND GARDEN', 0.06656844], ['RELIGION AND SPIRITUALITY', 0.05687638], ['REAL ESTATE', 0.05586468], ['TECHNOLOGY AND COMPUTING', 0.05129231], ['TRAVEL', 0.05058703]]","[['ACCESSORIES', 0.34], ['STYLE & FASHION', 0.1]]",True,9,6,13:11:24.801799
Thomas thought I by a week,"[['TECHNOLOGY AND COMPUTING', 0.05753335], ['FAMILY AND PARENTING', 0.05252221], ['HOME AND GARDEN', 0.0502992], ['SPORTS', 0.05017546], ['HEALTH AND FITNESS', 0.04968499]]","[['BODY ART', 0.36], ['PROFANE CONTENT', 0.21], ['CHRISTIANITY', 0.16], ['NON-STANDARD CONTENT', 0.06], ['RELIGION & SPIRITUALITY', 0.06]]",True,10,7,13:11:26.304656
with I country looked Olivia outside my business by an country by business in Alexander week outside Thomas,"[['TRAVEL', 0.0565345], ['LAW GOVERNMENT AND POLITICS', 0.05522557], ['EDUCATION', 0.05403993], ['BUSINESS', 0.05393649], ['HOBBIES AND INTERESTS', 0.05170975]]","[['BUSINESS SOFTWARE', 0.22], ['BUSINESS', 0.2]]",False,11,7,13:11:27.903713
company school on my room by I needed Alexander by I,"[['HOME AND GARDEN', 0.06413677], ['HOBBIES AND INTERESTS', 0.05501967], ['BUSINESS', 0.05480646], ['EDUCATION', 0.05186688], ['TECHNOLOGY AND COMPUTING', 0.05140399]]","[['APARTMENTS', 0.42], ['ACCESSORIES', 0.39], ['CONSTRUCTION', 0.15], ['TRAVELING WITH KIDS', 0.13], ['HOMESCHOOLING', 0.09]]",True,12,8,13:11:29.368955
my country outside an home outside the school outside Olivia knew Olivia in Olivia,"[['EDUCATION', 0.06225627], ['FAMILY AND PARENTING', 0.05871978], ['HOME AND GARDEN', 0.05570064], ['TRAVEL', 0.0541606], ['RELIGION AND SPIRITUALITY', 0.05305768]]","[['HOBBIES & INTERESTS', 0.06], ['BIRDWATCHING', 0.05]]",True,13,9,13:11:30.953318
