Thomas stood my school by Olivia Alexander Olivia,"[['EDUCATION', 0.06154949], ['FAMILY AND PARENTING', 0.05466585], ['STYLE AND FASHION', 0.05231048], ['HEALTH AND FITNESS', 0.05216575], ['HOBBIES AND INTERESTS', 0.0516155]]","[['HOBBIES & INTERESTS', 0.07], ['CIGARS', 0.05]]",True,1,1,13:12:44.167825
Thomas needed Olivia,"[['TECHNOLOGY AND COMPUTING', 0.05127102], ['FAMILY AND PARENTING', 0.05029617], ['HOME AND GARDEN', 0.04993742], ['STYLE AND FASHION', 0.049728], ['PERSONAL FINANCE', 0.04900968]]","[['PROFANE CONTENT', 0.19], ['HOBBIES & INTERESTS', 0.07], ['NON-STANDARD CONTENT', 0.06], ['JEWELRY MAKING', 0.05]]",True,2,2,13:12:45.829291
Olivia knew Olivia by Olivia in woman by Olivia Olivia by Olivia on Olivia room Olivia an woman by Olivia,"[['HOME AND GARDEN', 0.05445747], ['RELIGION AND SPIRITUALITY', 0.05310813], ['REAL ESTATE', 0.05090713], ['TRAVEL', 0.05036537], ['HOBBIES AND INTERESTS', 0.04930592]]","[['BODY ART', 0.36], ['HOBBIES & INTERESTS', 0.07], ['STYLE & FASHION', 0.05], ['BIRDWATCHING', 0.05]]",True,3,3,13:12:47.448435
Thomas Olivia a room I Thomas,"[['HOME AND GARDEN', 0.06210713], ['TECHNOLOGY AND COMPUTING', 0.05247517], ['HOBBIES AND INTERESTS', 0.0511327], ['TRAVEL', 0.04932745], ['SPORTS', 0.04909498]]","[['ACCESSORIES', 0.37], ['PROFANE CONTENT', 0.21], ['GARDENING', 0.19], ['HOBBIES & INTERESTS', 0.06], ['NON-STANDARD CONTENT', 0.06]]",True,4,4,13:12:49.005393
Thomas an school Alexander,"[['EDUCATION', 0.06029365], ['FAMILY AND PARENTING', 0.05453036], ['HEALTH AND FITNESS', 0.0507556], ['HOBBIES AND INTERESTS', 0.05001855], ['STYLE AND FASHION', 0.04943598]]","[['HOMESCHOOLING', 0.09], ['HOBBIES & INTERESTS', 0.07], ['EDUCATION', 0.07], ['CIGARS', 0.05]]",False,5,4,13:12:50.528067
Alexander looked I in I,"[['HOBBIES AND INTERESTS', 0.05296646], ['STYLE AND FASHION', 0.05157804], ['SPORTS', 0.05151987], ['TECHNOLOGY AND COMPUTING', 0.05020121], ['ARTS AND ENTERTAINMENT', 0.04878623]]","[['BODY ART', 0.4], ['WEDDINGS', 0.29], ['HOBBIES & INTERESTS', 0.07], ['STYLE & FASHION', 0.06], ['SOCIETY', 0.05]]",True,6,5,13:12:52.105255
my room Olivia I knew Thomas on I,"[['HOME AND GARDEN', 0.0617844], ['HOBBIES AND INTERESTS', 0.05433435], ['TECHNOLOGY AND COMPUTING', 0.05206899], ['TRAVEL', 0.05160229], ['SPORTS', 0.04885994]]","[['BODY ART', 0.37], ['PROFANE CONTENT', 0.21], ['GARDENING', 0.21], ['STYLE & FASHION', 0.06], ['NON-STANDARD CONTENT', 0.06]]",True,7,6,13:12:53.693597
Thomas Alexander Thomas with I,"[['TECHNOLOGY AND COMPUTING', 0.05409571], ['HOBBIES AND INTERESTS', 0.05293365], ['SPORTS', 0.0504168], ['HOME AND GARDEN', 0.04986473], ['HEALTH AND FITNESS', 0.04979759]]","[['PROFANE CONTENT', 0.21], ['HOBBIES & INTERESTS', 0.07], ['NON-STANDARD CONTENT', 0.06], ['JEWELRY MAKING', 0.06]]",True,8,7,13:12:56.691571
my company looked Olivia,"[['BUSINESS', 0.05377704], ['STYLE AND FASHION', 0.05330058], ['AUTOMOTIVE', 0.05285941], ['HOME AND GARDEN', 0.050388], ['HEALTH AND FITNESS', 0.04938415]]","[['CONSTRUCTION', 0.12], ['BUSINESS', 0.07], ['HOBBIES & INTERESTS', 0.07], ['GETTING PUBLISHED', 0.05]]",False,9,7,13:12:58.240038
my company needed Olivia on Thomas,"[['BUSINESS', 0.05379068], ['TECHNOLOGY AND COMPUTING', 0.05335871], ['HOME AND GARDEN', 0.0528684], ['HEALTH AND FITNESS', 0.0497921], ['STYLE AND FASHION', 0.04930113]]","[['CONSTRUCTION', 0.12], ['BUSINESS', 0.07], ['HOBBIES & INTERESTS', 0.07], ['GETTING PUBLISHED', 0.05]]",False,10,7,13:12:59.768010
