the man outside I shot Mary,"[['SPORTS', 0.06053612], ['RELIGION AND SPIRITUALITY', 0.05374801], ['HEALTH AND FITNESS', 0.05348688], ['TRAVEL', 0.05187619], ['TECHNOLOGY AND COMPUTING', 0.05175456]]","[['SPORTS', 0.371289], ['SOCIETY', 0.0967853], ['NON STANDARD CONTENT', 0.0268532], ['TRAVEL', 0.025913], ['SCIENCE', 0.0221775]]",True,1,1,23:20:43.246398
Mary ate Bob in I,"[['SPORTS', 0.05465249], ['ARTS AND ENTERTAINMENT', 0.05200119], ['TECHNOLOGY AND COMPUTING', 0.05080758], ['HEALTH AND FITNESS', 0.05006603], ['FOOD AND DRINK', 0.04996872]]","[['SPORTS', 0.725381], ['LAW AND GOVERNMENT AND POLITICS', 0.183703], ['FOOD AND DRINK', 0.0301643], ['TRAVEL', 0.00573736], ['RELIGION AND SPIRITUALITY', 0.00360818]]",True,2,2,23:20:52.397175
my dog shot a dog,"[['PETS', 0.06142545], ['AUTOMOTIVE', 0.05254374], ['TRAVEL', 0.05153653], ['SPORTS', 0.04836798], ['EDUCATION', 0.04822475]]","[['PETS', 1.0], ['SPORTS', 1.46091e-10], ['ARTS AND ENTERTAINMENT', 8.10991e-11], ['HEALTH AND FITNESS', 5.87625e-11], ['TRAVEL', 1.54025e-11]]",True,3,3,23:21:01.594809
John ate John outside a dog in an monkey,"[['PETS', 0.0568251], ['EDUCATION', 0.05307006], ['BUSINESS', 0.05141498], ['RELIGION AND SPIRITUALITY', 0.04944173], ['ARTS AND ENTERTAINMENT', 0.04932307]]","[['PETS', 0.999999], ['FOOD AND DRINK', 1.59453e-07], ['NON STANDARD CONTENT', 1.04159e-07], ['HOBBIES AND INTERESTS', 9.02272e-08], ['SPORTS', 7.1279e-08]]",True,4,4,23:21:10.505367
I killed I,"[['RELIGION AND SPIRITUALITY', 0.05155159], ['HOBBIES AND INTERESTS', 0.0501789], ['TECHNOLOGY AND COMPUTING', 0.0492704], ['SCIENCE', 0.04907959], ['FOOD AND DRINK', 0.04891829]]","[['CAREERS', 0.330578], ['RELIGION AND SPIRITUALITY', 0.159353], ['SPORTS', 0.0660624], ['TRAVEL', 0.031298], ['SCIENCE', 0.0205711]]",True,5,5,23:21:19.633725
my man with a man killed an man on an monkey,"[['RELIGION AND SPIRITUALITY', 0.05276494], ['TRAVEL', 0.05261614], ['HEALTH AND FITNESS', 0.05105549], ['SCIENCE', 0.04980212], ['EDUCATION', 0.04955737]]","[['SPORTS', 0.761447], ['HOBBIES AND INTERESTS', 0.237441], ['TRAVEL', 0.000763275], ['SCIENCE', 6.16395e-05], ['SOCIETY', 2.50296e-05]]",True,6,6,23:21:28.725004
Mary walked John in an man,"[['ARTS AND ENTERTAINMENT', 0.05495124], ['EDUCATION', 0.05110522], ['HEALTH AND FITNESS', 0.05100186], ['RELIGION AND SPIRITUALITY', 0.05078584], ['LAW GOVERNMENT AND POLITICS', 0.05051497]]","[['RELIGION AND SPIRITUALITY', 0.735229], ['HOBBIES AND INTERESTS', 0.0893805], ['SCIENCE', 0.0256431], ['SPORTS', 0.0138764], ['TRAVEL', 0.00884333]]",True,7,7,23:21:37.983031
I saw John in the park,"[['SPORTS', 0.0561613], ['AUTOMOTIVE', 0.052561], ['EDUCATION', 0.05217099], ['HOBBIES AND INTERESTS', 0.05166984], ['TRAVEL', 0.05148309]]","[['TRAVEL', 0.551671], ['SPORTS', 0.104365], ['HOBBIES AND INTERESTS', 0.0313626], ['RELIGION AND SPIRITUALITY', 0.00386135], ['CAREERS', 0.00239762]]",True,8,8,23:21:48.942650
Bob shot an fish in John on Bob by John,"[['SPORTS', 0.06885697], ['PETS', 0.05570517], ['ARTS AND ENTERTAINMENT', 0.05144898], ['LAW GOVERNMENT AND POLITICS', 0.05009998], ['FOOD AND DRINK', 0.04903174]]","[['SPORTS', 0.994813], ['TRAVEL', 4.08185e-06], ['HOBBIES AND INTERESTS', 3.45082e-06], ['TECHNOLOGY AND COMPUTING', 1.62863e-06], ['PETS', 1.29129e-06]]",True,9,9,23:21:59.858032
John walked Bob by John,"[['SPORTS', 0.05487139], ['ARTS AND ENTERTAINMENT', 0.05366777], ['LAW GOVERNMENT AND POLITICS', 0.05071918], ['PERSONAL FINANCE', 0.04970713], ['PETS', 0.04903194]]","[['SPORTS', 0.976414], ['HEALTH AND FITNESS', 0.000731681], ['RELIGION AND SPIRITUALITY', 0.000214128], ['TRAVEL', 0.000141825], ['HOBBIES AND INTERESTS', 4.27181e-05]]",True,10,10,23:22:09.251823
Mary wounded an monkey,"[['BUSINESS', 0.05013536], ['STYLE AND FASHION', 0.04959918], ['HEALTH AND FITNESS', 0.0492004], ['SCIENCE', 0.04894251], ['TECHNOLOGY AND COMPUTING', 0.0483477]]","[['TRAVEL', 0.584662], ['NON STANDARD CONTENT', 0.15294], ['PETS', 0.138527], ['CAREERS', 0.0293333], ['SPORTS', 0.0149809]]",True,11,11,23:22:20.572182
a park on John shot I,"[['SPORTS', 0.06301153], ['TRAVEL', 0.0558417], ['ARTS AND ENTERTAINMENT', 0.05037581], ['HEALTH AND FITNESS', 0.04892829], ['LAW GOVERNMENT AND POLITICS', 0.04882524]]","[['SPORTS', 0.958527], ['SOCIETY', 0.0414636], ['TRAVEL', 9.53144e-06], ['PETS', 5.42253e-09], ['NON STANDARD CONTENT', 1.17672e-10]]",True,12,12,23:22:31.264011
an fish with an man killed Bob outside Bob,"[['SPORTS', 0.05933393], ['RELIGION AND SPIRITUALITY', 0.05669469], ['PETS', 0.05510351], ['TRAVEL', 0.05175167], ['ARTS AND ENTERTAINMENT', 0.04952687]]","[['HOBBIES AND INTERESTS', 0.992862], ['SPORTS', 0.0046226], ['SCIENCE', 2.72694e-05], ['TRAVEL', 7.313e-06], ['FOOD AND DRINK', 7.27319e-06]]",True,13,13,23:22:42.080819
an dog shot I on a man,"[['SPORTS', 0.05526605], ['PETS', 0.05179599], ['ARTS AND ENTERTAINMENT', 0.05159505], ['TRAVEL', 0.05155159], ['HOBBIES AND INTERESTS', 0.05063342]]","[['SPORTS', 1.0], ['PETS', 6.26654e-08], ['ARTS AND ENTERTAINMENT', 3.71703e-10], ['TRAVEL', 2.77748e-10], ['SCIENCE', 1.61139e-10]]",False,14,13,23:22:52.522316
Bob shot I,"[['SPORTS', 0.06431318], ['TECHNOLOGY AND COMPUTING', 0.05132481], ['ARTS AND ENTERTAINMENT', 0.05008641], ['TRAVEL', 0.04942956], ['BUSINESS', 0.04843149]]","[['SPORTS', 1.0], ['HOBBIES AND INTERESTS', 4.26463e-16], ['HEALTH AND FITNESS', 2.55085e-16], ['FOOD AND DRINK', 1.78428e-16], ['NON STANDARD CONTENT', 1.17714e-16]]",True,15,14,23:23:02.639515
Bob walked John in the man in Bob outside John with Bob,"[['SPORTS', 0.0590555], ['ARTS AND ENTERTAINMENT', 0.05550469], ['HEALTH AND FITNESS', 0.05165093], ['RELIGION AND SPIRITUALITY', 0.05082662], ['BUSINESS', 0.05027823]]","[['SOCIETY', 0.999514], ['SPORTS', 0.000184694], ['RELIGION AND SPIRITUALITY', 9.12184e-05], ['HOBBIES AND INTERESTS', 2.49718e-05], ['TRAVEL', 1.33976e-05]]",True,16,15,23:23:13.693410
my park wounded I,"[['TRAVEL', 0.0569482], ['SPORTS', 0.05233346], ['AUTOMOTIVE', 0.05178561], ['HOBBIES AND INTERESTS', 0.05101802], ['HEALTH AND FITNESS', 0.0506412]]","[['SPORTS', 0.99797], ['PETS', 0.000827071], ['CAREERS', 0.000256704], ['AUTOMOTIVE', 0.000174798], ['TRAVEL', 6.55198e-05]]",True,17,16,23:23:25.089939
my elephant shot Bob,"[['SPORTS', 0.05838221], ['TRAVEL', 0.05333544], ['HEALTH AND FITNESS', 0.0523024], ['PETS', 0.04892485], ['SOCIETY', 0.04823287]]","[['SPORTS', 0.367056], ['HEALTH AND FITNESS', 0.190266], ['PETS', 0.141808], ['ARTS AND ENTERTAINMENT', 0.010971], ['FOOD AND DRINK', 0.00571078]]",True,18,17,23:23:33.962834
I walked Bob,"[['SPORTS', 0.0564872], ['ARTS AND ENTERTAINMENT', 0.05215432], ['TECHNOLOGY AND COMPUTING', 0.05019875], ['HOBBIES AND INTERESTS', 0.04816338], ['STYLE AND FASHION', 0.04810488]]","[['SPORTS', 0.99719], ['HEALTH AND FITNESS', 0.00280925], ['TRAVEL', 8.6856e-08], ['LAW AND GOVERNMENT AND POLITICS', 8.08507e-08], ['HOBBIES AND INTERESTS', 7.38352e-08]]",True,19,18,23:23:53.374669
