the monkey with Steve ran an monkey,"[['STYLE AND FASHION', 0.8895], ['TRAVEL', 0.0587036], ['HOBBIES AND INTERESTS', 0.0103271], ['TECHNOLOGY AND COMPUTING', 0.00876225], ['AUTOMOTIVE', 0.00672923]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,1,1,17:15:41.054498
Steve caught Steve,"[['SPORTS', 0.703175], ['TECHNOLOGY AND COMPUTING', 2.51105e-05], ['HOBBIES AND INTERESTS', 1.91369e-05], ['RELIGION AND SPIRITUALITY', 5.03189e-06], ['HEALTH AND FITNESS', 4.86041e-06]]","[['HOBBIES & INTERESTS', 0.09], ['SCRAPBOOKING', 0.05]]",True,2,2,17:15:43.783443
a binoculars with Elise injured Steve,"[['HOBBIES AND INTERESTS', 0.999957], ['SPORTS', 1.35974e-05], ['PETS', 1.04463e-05], ['TECHNOLOGY AND COMPUTING', 6.13957e-06], ['AUTOMOTIVE', 3.42579e-07]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,3,3,17:15:45.522949
Elise injured I,"[['SPORTS', 0.247882], ['HEALTH AND FITNESS', 0.142137], ['AUTOMOTIVE', 0.0516304], ['NON STANDARD CONTENT', 0.0233859], ['HOBBIES AND INTERESTS', 0.0211689]]","[['OFF-ROAD VEHICLES', 0.1], ['HOBBIES & INTERESTS', 0.07], ['AUTOMOTIVE', 0.06], ['BIRDWATCHING', 0.05]]",True,4,4,17:15:47.821027
Steve injured Mark,"[['SPORTS', 0.263963], ['HOBBIES AND INTERESTS', 0.0685181], ['NON STANDARD CONTENT', 0.0143086], ['TRAVEL', 0.00890848], ['HOME AND GARDEN', 0.00442711]]","[['OFF-ROAD VEHICLES', 0.1], ['SPORTS', 0.07], ['HOBBIES & INTERESTS', 0.07], ['AUTOMOTIVE', 0.06], ['BIRDWATCHING', 0.05]]",True,5,5,17:15:49.569751
the giraffe captured Steve in my man outside I,"[['SPORTS', 0.999441], ['PETS', 0.00055874], ['NON STANDARD CONTENT', 3.27541e-09], ['RELIGION AND SPIRITUALITY', 2.40524e-09], ['AUTOMOTIVE', 2.29216e-09]]","[['PROFANE CONTENT', 0.22], ['HOBBIES & INTERESTS', 0.07], ['NON-STANDARD CONTENT', 0.07], ['CIGARS', 0.05]]",True,6,6,17:15:51.498906
Mark wounded Mark,"[['SPORTS', 1.0], ['PETS', 1.38037e-10], ['HOBBIES AND INTERESTS', 3.96438e-11], ['FOOD AND DRINK', 2.93289e-11], ['NON STANDARD CONTENT', 2.82543e-11]]","[['OFF-ROAD VEHICLES', 0.1], ['SPORTS', 0.08], ['HOBBIES & INTERESTS', 0.07], ['AUTOMOTIVE', 0.06], ['CIGARS', 0.05]]",True,7,7,17:15:53.304336
I wounded an lawn with a fish with a man with Mark,"[['SPORTS', 0.959527], ['TRAVEL', 0.000278257], ['PETS', 0.000168195], ['ARTS AND ENTERTAINMENT', 0.000101892], ['FOOD AND DRINK', 9.61078e-05]]","[['AQUARIUMS', 0.59], ['PETS', 0.17]]",True,8,8,17:15:55.141271
Steve captured Elise in my binoculars,"[['HOBBIES AND INTERESTS', 0.999748], ['TECHNOLOGY AND COMPUTING', 0.000128765], ['SPORTS', 2.47773e-05], ['STYLE AND FASHION', 1.21789e-05], ['TRAVEL', 3.65744e-06]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,9,9,17:15:57.399346
I caught Elise in I,"[['HEALTH AND FITNESS', 0.330663], ['HOBBIES AND INTERESTS', 0.177214], ['SOCIETY', 0.0765019], ['CAREERS', 0.0505457], ['SPORTS', 0.0223027]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,10,10,17:15:59.122702
I injured an binoculars near Elise with I,"[['AUTOMOTIVE', 0.944581], ['HOBBIES AND INTERESTS', 0.051768], ['TECHNOLOGY AND COMPUTING', 3.15521e-07], ['TRAVEL', 1.99715e-07], ['PETS', 1.1997e-07]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,11,11,17:16:00.966998
