Gary spent I near an river,"[['SPORTS', 0.986734], ['RELIGION AND SPIRITUALITY', 0.000859688], ['TRAVEL', 0.000702592], ['BUSINESS', 0.000614273], ['EDUCATION', 0.000453588]]","[['GARDENING', 0.19], ['HOBBIES & INTERESTS', 0.07], ['HOME & GARDEN', 0.06], ['BIRDWATCHING', 0.06]]",True,1,1,16:25:36.092919
Gemma grabbed Nick outside I on I,"[['SPORTS', 0.758827], ['RELIGION AND SPIRITUALITY', 0.096929], ['SOCIETY', 0.00499445], ['HOBBIES AND INTERESTS', 0.00267368], ['SCIENCE', 0.00165588]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,2,2,16:25:37.784346
Gary damaged Nick,"[['HOME AND GARDEN', 0.284755], ['TECHNOLOGY AND COMPUTING', 0.205089], ['SOCIETY', 0.119564], ['HOBBIES AND INTERESTS', 0.0554752], ['SPORTS', 0.0483205]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,3,3,16:25:39.570692
Gemma chased an elephant outside Nick,"[['HEALTH AND FITNESS', 0.530569], ['SPORTS', 0.189325], ['HOBBIES AND INTERESTS', 0.0879244], ['SCIENCE', 0.0430123], ['PETS', 0.0130918]]","[['LARGE ANIMALS', 0.34], ['HOBBIES & INTERESTS', 0.07], ['PETS', 0.06], ['BIRDWATCHING', 0.05]]",False,4,3,16:25:41.179288
the lemur disabled the gibbon,"[['PETS', 1.0], ['FAMILY AND PARENTING', 1.50342e-16], ['SPORTS', 8.68881e-19], ['LAW AND GOVERNMENT AND POLITICS', 2.25061e-19], ['TECHNOLOGY AND COMPUTING', 1.9565e-19]]","[['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06]]",True,5,4,16:25:42.998750
Gemma damaged I with Gemma with Gemma,"[['STYLE AND FASHION', 0.91811], ['HEALTH AND FITNESS', 0.0476385], ['SOCIETY', 0.0078062], ['HOME AND GARDEN', 0.00249061], ['HOBBIES AND INTERESTS', 0.00190009]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,6,5,16:25:44.548245
my woman apprehended the elephant,"[['HEALTH AND FITNESS', 0.999953], ['HOBBIES AND INTERESTS', 1.33336e-05], ['PETS', 3.90416e-06], ['SPORTS', 2.74041e-06], ['RELIGION AND SPIRITUALITY', 5.92167e-07]]","[['LARGE ANIMALS', 0.53], ['HOBBIES & INTERESTS', 0.07], ['PETS', 0.06], ['BEADWORK', 0.05]]",False,7,5,16:25:46.187149
Gemma spent Gary,"[['SPORTS', 0.138058], ['HOBBIES AND INTERESTS', 0.114532], ['HEALTH AND FITNESS', 0.0677625], ['EDUCATION', 0.0420267], ['LAW AND GOVERNMENT AND POLITICS', 0.0227329]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,8,6,16:25:48.074691
Nick damaged an elephant by I inside I,"[['SPORTS', 0.332651], ['HEALTH AND FITNESS', 0.32761], ['HOBBIES AND INTERESTS', 0.0125802], ['FOOD AND DRINK', 0.00526771], ['SCIENCE', 0.00218561]]","[['LARGE ANIMALS', 0.38], ['PETS', 0.07], ['HOBBIES & INTERESTS', 0.06], ['BIRDWATCHING', 0.05]]",True,9,7,16:25:50.041681
I spent Gemma on I near I,"[['CAREERS', 0.873161], ['TRAVEL', 0.0241362], ['HOBBIES AND INTERESTS', 0.00813926], ['HEALTH AND FITNESS', 0.00681888], ['SPORTS', 0.00482552]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,10,8,16:25:52.040743
Gary damaged an salmon near Nick on I,"[['SPORTS', 0.999234], ['HEALTH AND FITNESS', 6.40524e-08], ['REAL ESTATE', 5.3983e-08], ['HOME AND GARDEN', 4.91985e-08], ['TRAVEL', 1.84367e-08]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,11,9,16:25:53.882829
Gary damaged an river,"[['SPORTS', 0.391583], ['TRAVEL', 0.10062], ['HEALTH AND FITNESS', 0.0703245], ['HOME AND GARDEN', 0.0551766], ['SOCIETY', 0.0268826]]","[['HOME REPAIR', 0.22], ['WATERSKI/WAKEBOARD', 0.08], ['HOBBIES & INTERESTS', 0.07], ['HOME & GARDEN', 0.06], ['BIRDWATCHING', 0.06]]",True,12,10,16:25:55.599808
a owl grabbed Nick,"[['SPORTS', 0.86918], ['PETS', 0.0740553], ['RELIGION AND SPIRITUALITY', 0.00409836], ['HOBBIES AND INTERESTS', 0.00279475], ['FOOD AND DRINK', 0.000479416]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,13,11,16:25:57.497230
Nick saw Nick,"[['HOBBIES AND INTERESTS', 0.765473], ['TECHNOLOGY AND COMPUTING', 0.016029], ['FAMILY AND PARENTING', 0.00896379], ['SPORTS', 0.00849256], ['RELIGION AND SPIRITUALITY', 0.00809455]]","[['BODY ART', 0.34], ['WEDDINGS', 0.21], ['HOBBIES & INTERESTS', 0.07], ['SOCIETY', 0.06], ['SPORTS', 0.05]]",False,14,11,16:25:59.454583
the park near Gary chased a gibbon,"[['REAL ESTATE', 0.99977], ['SPORTS', 0.000142112], ['TRAVEL', 6.99686e-05], ['SCIENCE', 1.55916e-06], ['HOBBIES AND INTERESTS', 6.05846e-08]]","[['NATIONAL PARKS', 0.28], ['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.07], ['TRAVEL', 0.07]]",False,15,11,16:26:01.062097
Gemma saw Gary by Gary by Gemma,"[['HEALTH AND FITNESS', 0.999997], ['SPORTS', 2.03121e-06], ['HOME AND GARDEN', 7.55949e-08], ['FAMILY AND PARENTING', 4.64015e-08], ['HOBBIES AND INTERESTS', 4.47092e-08]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,16,12,16:26:03.137730
Nick grabbed Gary on I by a river,"[['SOCIETY', 0.999991], ['SPORTS', 3.94832e-06], ['SCIENCE', 1.36599e-07], ['EDUCATION', 1.25948e-08], ['REAL ESTATE', 7.86942e-09]]","[['WATERSKI/WAKEBOARD', 0.08], ['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['BIRDWATCHING', 0.06]]",False,17,12,16:26:04.946785
Nick spent my elephant near Gary near Nick,"[['SPORTS', 0.675947], ['LAW AND GOVERNMENT AND POLITICS', 0.0628251], ['HOBBIES AND INTERESTS', 0.0455592], ['FOOD AND DRINK', 0.0110916], ['TRAVEL', 0.00581068]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,18,13,16:26:06.997779
the park grabbed a owl with Nick,"[['SPORTS', 0.704831], ['TRAVEL', 0.28048], ['HOBBIES AND INTERESTS', 0.000589731], ['PETS', 2.45862e-05], ['HEALTH AND FITNESS', 2.43002e-05]]","[['NATIONAL PARKS', 0.31], ['BIRDS', 0.28], ['TRAVEL', 0.07], ['HOBBIES & INTERESTS', 0.07], ['PETS', 0.07]]",False,19,13,16:26:08.801406
