Dylan started Dylan,"[['AUTOMOTIVE', 1.0], ['SPORTS', 1.25108e-11], ['HOBBIES AND INTERESTS', 6.74631e-12], ['NON STANDARD CONTENT', 1.1658e-12], ['LAW AND GOVERNMENT AND POLITICS', 9.28349e-13]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,1,1,01:21:19.715812
Dylan started man an bus Dylan bus,"[['AUTOMOTIVE', 0.999939], ['RELIGION AND SPIRITUALITY', 6.07965e-05], ['SPORTS', 2.31708e-09], ['NON STANDARD CONTENT', 3.97359e-10], ['TRAVEL', 2.19542e-10]]","[['HINDUISM', 0.2], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['NON-STANDARD CONTENT', 0.07], ['HOBBIES & INTERESTS', 0.06], ['RELIGION & SPIRITUALITY', 0.05]]",True,2,2,01:21:21.670594
pajamas outside an camera in I bus in I made my cat outside Dylan by the cat by Dylan,"[['PETS', 1.0], ['TECHNOLOGY AND COMPUTING', 1.76596e-09], ['NON STANDARD CONTENT', 1.62863e-09], ['SCIENCE', 1.40891e-09], ['HOBBIES AND INTERESTS', 7.30995e-10]]","[['CATS', 0.57], ['PETS', 0.18]]",False,3,2,01:21:23.452236
hill by an snake man I the man with the by pajamas cat outside Dylan conflicted bus on I province outside Dylan,"[['PETS', 0.246172], ['SCIENCE', 0.225849], ['NON STANDARD CONTENT', 0.0672372], ['HOBBIES AND INTERESTS', 0.0634697], ['TRAVEL', 0.0528405]]","[['CATS', 0.28], ['PETS', 0.1]]",False,4,2,01:21:25.297178
pajamas in forest in Holly forest with province hill pajamas conflicted Holly,"[['BUSINESS', 0.998205], ['SCIENCE', 0.00157338], ['FOOD AND DRINK', 0.000196849], ['TRAVEL', 8.18611e-06], ['SPORTS', 6.70307e-06]]","[['CAMPING', 0.07], ['BIRDWATCHING', 0.07], ['HOBBIES & INTERESTS', 0.07], ['TRAVEL', 0.06], ['SPORTS', 0.05]]",False,5,2,01:21:27.080373
a man the province I in a forest,"[['BUSINESS', 0.468484], ['TRAVEL', 0.173317], ['SPORTS', 0.0195753], ['FAMILY AND PARENTING', 0.00859247], ['SOCIETY', 0.00501836]]","[['PROFANE CONTENT', 0.21], ['CANADA', 0.11], ['TRAVEL', 0.09], ['NON-STANDARD CONTENT', 0.07]]",False,6,2,01:21:28.770439
Dylan started Holly with Dylan Marcus Dylan,"[['LAW AND GOVERNMENT AND POLITICS', 0.881203], ['AUTOMOTIVE', 0.118797], ['HOBBIES AND INTERESTS', 1.88306e-07], ['SPORTS', 1.66527e-07], ['ARTS AND ENTERTAINMENT', 2.75882e-08]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,7,3,01:21:31.734151
Marcus embarked Dylan in my hill in Marcus outside Holly,"[['EDUCATION', 0.973008], ['SPORTS', 0.0269659], ['CAREERS', 3.3218e-06], ['LAW AND GOVERNMENT AND POLITICS', 3.07418e-06], ['SOCIETY', 1.98185e-06]]","[['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['BEADWORK', 0.05], ['WATERSKI/WAKEBOARD', 0.05]]",False,8,3,01:21:33.832789
Marcus captured Dylan by I on Holly,"[['EDUCATION', 0.306274], ['ARTS AND ENTERTAINMENT', 0.177678], ['SPORTS', 0.148554], ['HOBBIES AND INTERESTS', 0.118207], ['RELIGION AND SPIRITUALITY', 0.1012]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,9,4,01:21:35.741312
I Holly Dylan on the province,"[['TRAVEL', 0.153414], ['ARTS AND ENTERTAINMENT', 0.0719654], ['HOBBIES AND INTERESTS', 0.0612955], ['RELIGION AND SPIRITUALITY', 0.0594801], ['HEALTH AND FITNESS', 0.0100832]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,10,5,01:21:37.589278
