Alexander stood Alexander,"[['AUTOMOTIVE', 1.0], ['RELIGION AND SPIRITUALITY', 6.90935e-08], ['TRAVEL', 3.7018e-08], ['CAREERS', 1.26797e-08], ['HEALTH AND FITNESS', 1.15064e-08]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,1,1,16:36:26.523298
Thomas thought Thomas by I,"[['SPORTS', 0.159159], ['HEALTH AND FITNESS', 0.108862], ['AUTOMOTIVE', 0.0604609], ['REAL ESTATE', 0.055519], ['ARTS AND ENTERTAINMENT', 0.0505276]]","[['PROFANE CONTENT', 0.23], ['HOBBIES & INTERESTS', 0.08], ['NON-STANDARD CONTENT', 0.06], ['JEWELRY MAKING', 0.06]]",True,2,2,16:36:28.444794
school on Alexander business Alexander Alexander thought Alexander,"[['RELIGION AND SPIRITUALITY', 0.209141], ['TRAVEL', 0.192277], ['CAREERS', 0.111535], ['EDUCATION', 0.0925343], ['REAL ESTATE', 0.0810577]]","[['WEDDINGS', 0.3], ['CONSTRUCTION', 0.12], ['HOBBIES & INTERESTS', 0.07], ['BUSINESS', 0.06], ['SOCIETY', 0.06]]",True,3,3,16:36:30.451360
Thomas stood Alexander on country woman outside my company company Alexander Alexander the country business,"[['AUTOMOTIVE', 0.823312], ['SOCIETY', 0.0293455], ['CAREERS', 0.0261981], ['PERSONAL FINANCE', 0.0200426], ['TRAVEL', 0.0199446]]","[['METALS', 0.13], ['BUSINESS', 0.11]]",True,4,4,16:36:32.482365
Alexander tried I in an woman by my Thomas Olivia an country with business outside with Thomas woman Alexander Alexander week in Thomas I,"[['ARTS AND ENTERTAINMENT', 0.324876], ['REAL ESTATE', 0.171943], ['STYLE AND FASHION', 0.0842109], ['SOCIETY', 0.0789272], ['RELIGION AND SPIRITUALITY', 0.0670864]]","[['ACCESSORIES', 0.35], ['WEDDINGS', 0.3], ['PROFANE CONTENT', 0.19], ['HINDUISM', 0.16], ['CONSTRUCTION', 0.13]]",True,5,5,16:36:34.357684
the home needed home with Alexander room with Alexander with Alexander in Thomas,"[['FAMILY AND PARENTING', 0.993932], ['RELIGION AND SPIRITUALITY', 0.00245782], ['TRAVEL', 0.000878576], ['HEALTH AND FITNESS', 0.000703149], ['SPORTS', 0.000186834]]","[['ACCESSORIES', 0.37], ['WEDDINGS', 0.31], ['PROFANE CONTENT', 0.19], ['HOME REPAIR', 0.19], ['HOBBIES & INTERESTS', 0.06]]",True,6,6,16:36:36.257201
Thomas stood Olivia in Alexander,"[['RELIGION AND SPIRITUALITY', 0.422377], ['CAREERS', 0.27715], ['TRAVEL', 0.0241878], ['SCIENCE', 0.0205231], ['SOCIETY', 0.00692806]]","[['PROFANE CONTENT', 0.2], ['HOBBIES & INTERESTS', 0.07], ['NON-STANDARD CONTENT', 0.06], ['JEWELRY MAKING', 0.05]]",True,7,7,16:36:37.996041
Alexander needed Thomas in the country in my business by an in Thomas with I,"[['HOBBIES AND INTERESTS', 0.78338], ['SHOPPING', 0.213788], ['EDUCATION', 0.000285685], ['BUSINESS', 0.000159038], ['TRAVEL', 0.000129812]]","[['BUSINESS SOFTWARE', 0.14], ['BUSINESS', 0.1]]",False,8,7,16:36:39.959943
business in the room on the week Alexander Olivia business by room room on an business Thomas company with Alexander company needed the home in I,"[['TRAVEL', 0.950178], ['HOME AND GARDEN', 0.00886066], ['SCIENCE', 0.00512294], ['EDUCATION', 0.00291041], ['CAREERS', 0.00282483]]","[['BUSINESS', 0.33], ['BUSINESS SOFTWARE', 0.28]]",True,9,8,16:36:41.900111
Thomas thought Olivia on a home the Alexander Alexander in the I Thomas in Alexander my room by I,"[['RELIGION AND SPIRITUALITY', 0.707294], ['CAREERS', 0.0578496], ['EDUCATION', 0.0483647], ['HOBBIES AND INTERESTS', 0.0417025], ['SCIENCE', 0.0127653]]","[['ACCESSORIES', 0.36], ['WEDDINGS', 0.31], ['PROFANE CONTENT', 0.21], ['HINDUISM', 0.17], ['HOBBIES & INTERESTS', 0.06]]",True,10,9,16:36:43.862024
Olivia needed Alexander by a business Thomas Thomas,"[['HOBBIES AND INTERESTS', 0.888346], ['TRAVEL', 0.0877217], ['AUTOMOTIVE', 0.00531451], ['CAREERS', 0.00351067], ['REAL ESTATE', 0.00216575]]","[['BUSINESS SOFTWARE', 0.14], ['BUSINESS', 0.09]]",True,11,10,16:36:45.710819
