James meant a with Stephen,"[['RELIGION AND SPIRITUALITY', 0.05184839], ['ARTS AND ENTERTAINMENT', 0.05052286], ['HOME AND GARDEN', 0.05040232], ['SOCIETY', 0.05005126], ['HEALTH AND FITNESS', 0.04974643]]","[['SOCIETY', 0.915073], ['SCIENCE', 0.0421887], ['STYLE AND FASHION', 0.007217], ['SPORTS', 0.00663498], ['TECHNOLOGY AND COMPUTING', 0.00190878]]",True,1,1,18:26:28.478650
Stephen fought Irene,"[['HEALTH AND FITNESS', 0.05098069], ['ARTS AND ENTERTAINMENT', 0.04828604], ['PETS', 0.04823368], ['SOCIETY', 0.04816877], ['TECHNOLOGY AND COMPUTING', 0.04816405]]","[['SPORTS', 0.501004], ['HEALTH AND FITNESS', 0.162433], ['RELIGION AND SPIRITUALITY', 0.104068], ['NON STANDARD CONTENT', 0.0558734], ['TRAVEL', 0.0235923]]",True,2,2,18:26:30.926425
Irene heard monkey in an in Irene in I tree Irene Irene by Irene,"[['BUSINESS', 0.05674663], ['HOBBIES AND INTERESTS', 0.05261366], ['TECHNOLOGY AND COMPUTING', 0.05117013], ['TRAVEL', 0.05055669], ['SPORTS', 0.04949501]]","[['HEALTH AND FITNESS', 0.999895], ['NON STANDARD CONTENT', 0.000103575], ['RELIGION AND SPIRITUALITY', 2.34776e-07], ['SOCIETY', 1.65482e-07], ['SPORTS', 1.41015e-07]]",True,3,3,18:26:33.410392
my monkey caught pajamas on Irene monkey in a monkey in I Stephen I outside James,"[['RELIGION AND SPIRITUALITY', 0.05726027], ['TRAVEL', 0.05368944], ['SPORTS', 0.05313924], ['FOOD AND DRINK', 0.05035556], ['HOME AND GARDEN', 0.04918494]]","[['SOCIETY', 0.905864], ['TECHNOLOGY AND COMPUTING', 0.0427074], ['SCIENCE', 0.024277], ['AUTOMOTIVE', 0.0116862], ['NON STANDARD CONTENT', 0.0071301]]",True,4,4,18:26:35.741978
Irene heard the in the telescope on monkey outside Stephen pajamas,"[['SCIENCE', 0.0549737], ['HEALTH AND FITNESS', 0.05482005], ['TRAVEL', 0.05207262], ['BUSINESS', 0.05075423], ['RELIGION AND SPIRITUALITY', 0.04937109]]","[['FAMILY AND PARENTING', 0.851121], ['SCIENCE', 0.147405], ['EDUCATION', 0.0011563], ['NON STANDARD CONTENT', 1.61795e-05], ['SPORTS', 1.40959e-05]]",True,5,5,18:26:38.480676
I James Stephen Stephen a country,"[['TRAVEL', 0.05210974], ['RELIGION AND SPIRITUALITY', 0.05139119], ['ARTS AND ENTERTAINMENT', 0.05121388], ['AUTOMOTIVE', 0.05108145], ['FOOD AND DRINK', 0.05073636]]","[['RELIGION AND SPIRITUALITY', 0.818897], ['SPORTS', 0.0455585], ['EDUCATION', 0.0201114], ['PERSONAL FINANCE', 0.015582], ['REAL ESTATE', 0.0133316]]",True,6,6,18:26:41.028326
cat ship heard I outside Stephen,"[['PETS', 0.0605779], ['TRAVEL', 0.0559858], ['TECHNOLOGY AND COMPUTING', 0.05374571], ['HEALTH AND FITNESS', 0.05066851], ['HOBBIES AND INTERESTS', 0.05025971]]","[['PETS', 0.999994], ['TRAVEL', 1.9411e-06], ['HOBBIES AND INTERESTS', 1.15563e-06], ['NON STANDARD CONTENT', 5.08077e-07], ['PERSONAL FINANCE', 2.96927e-07]]",False,7,6,18:26:43.802404
Irene fought James outside James,"[['RELIGION AND SPIRITUALITY', 0.05699804], ['REAL ESTATE', 0.0495934], ['SPORTS', 0.04896897], ['EDUCATION', 0.04840421], ['ARTS AND ENTERTAINMENT', 0.04836956]]","[['SPORTS', 1.0], ['HEALTH AND FITNESS', 3.03868e-08], ['RELIGION AND SPIRITUALITY', 1.93584e-08], ['CAREERS', 7.98915e-09], ['REAL ESTATE', 1.9997e-09]]",False,8,6,18:26:46.193660
Irene heard James,"[['RELIGION AND SPIRITUALITY', 0.05185865], ['SCIENCE', 0.05140284], ['SOCIETY', 0.04960284], ['EDUCATION', 0.04957337], ['HOBBIES AND INTERESTS', 0.04889452]]","[['HEALTH AND FITNESS', 0.355462], ['RELIGION AND SPIRITUALITY', 0.212199], ['ARTS AND ENTERTAINMENT', 0.0991387], ['SOCIETY', 0.021279], ['SPORTS', 0.016714]]",False,9,6,18:26:48.614444
Stephen caught James with an country,"[['TRAVEL', 0.05236026], ['EDUCATION', 0.05156421], ['FOOD AND DRINK', 0.05136501], ['REAL ESTATE', 0.05127032], ['ARTS AND ENTERTAINMENT', 0.05078087]]","[['SPORTS', 0.999999], ['STYLE AND FASHION', 2.24155e-07], ['SCIENCE', 3.33529e-08], ['RELIGION AND SPIRITUALITY', 2.27647e-08], ['NON STANDARD CONTENT', 2.27604e-08]]",True,10,7,18:26:51.185175
