Gary disabled I near Nick,"[['HEALTH AND FITNESS', 0.06315695], ['SCIENCE', 0.05214417], ['SPORTS', 0.05061512], ['ARTS AND ENTERTAINMENT', 0.04963352], ['TRAVEL', 0.04950879]]","[['SENIOR LIVING', 0.24], ['HOBBIES & INTERESTS', 0.07], ['SOCIETY', 0.06], ['NEEDLEWORK', 0.05]]",True,1,1,18:58:40.479690
Nick saw Nick,"[['SCIENCE', 0.0512408], ['ARTS AND ENTERTAINMENT', 0.05062646], ['AUTOMOTIVE', 0.05034704], ['HOBBIES AND INTERESTS', 0.05033196], ['HEALTH AND FITNESS', 0.04963176]]","[['BODY ART', 0.34], ['WEDDINGS', 0.21], ['HOBBIES & INTERESTS', 0.07], ['SOCIETY', 0.06], ['SPORTS', 0.05]]",True,2,2,18:58:41.875362
Gary spent Gary with I,"[['SPORTS', 0.05231312], ['TECHNOLOGY AND COMPUTING', 0.0512694], ['TRAVEL', 0.05034696], ['HOME AND GARDEN', 0.04986907], ['HOBBIES AND INTERESTS', 0.04964601]]","[['HOBBIES & INTERESTS', 0.08], ['CHESS', 0.05]]",True,3,3,18:58:43.212351
Gemma saw I inside an lemur,"[['HOBBIES AND INTERESTS', 0.05419267], ['SPORTS', 0.05413878], ['AUTOMOTIVE', 0.05338958], ['ARTS AND ENTERTAINMENT', 0.05173803], ['TECHNOLOGY AND COMPUTING', 0.0499543]]","[['HOBBIES & INTERESTS', 0.07], ['SCREENWRITING', 0.05]]",True,4,4,18:58:44.561823
Gary disabled Gemma with an lemur inside my woman on the babbon,"[['HEALTH AND FITNESS', 0.07122597], ['AUTOMOTIVE', 0.05129114], ['TRAVEL', 0.05057708], ['RELIGION AND SPIRITUALITY', 0.0495217], ['SPORTS', 0.04936615]]","[['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.05]]",True,5,5,18:58:45.940190
my elephant near Gary disabled I,"[['HEALTH AND FITNESS', 0.06661623], ['TRAVEL', 0.05365923], ['HOBBIES AND INTERESTS', 0.05231028], ['TECHNOLOGY AND COMPUTING', 0.05069712], ['SPORTS', 0.04940485]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,6,6,18:58:47.349385
the lemur on I saw the woman with Gemma on an river inside the woman with the park,"[['TRAVEL', 0.06453893], ['SPORTS', 0.05998647], ['AUTOMOTIVE', 0.05435574], ['HOBBIES AND INTERESTS', 0.05202603], ['HEALTH AND FITNESS', 0.0515992]]","[['GARDENING', 0.26], ['NATIONAL PARKS', 0.26], ['DOGS', 0.19], ['WATERSKI/WAKEBOARD', 0.07], ['TRAVEL', 0.07]]",False,7,6,18:58:48.789676
an gibbon grabbed Gary on Gemma,"[['HEALTH AND FITNESS', 0.05088821], ['SPORTS', 0.04991872], ['BUSINESS', 0.04853608], ['ARTS AND ENTERTAINMENT', 0.04815799], ['PERSONAL FINANCE', 0.0480246]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,8,7,18:58:50.351785
Nick grabbed Nick on Gary,"[['HEALTH AND FITNESS', 0.05125157], ['SCIENCE', 0.05036396], ['ARTS AND ENTERTAINMENT', 0.04953513], ['SPORTS', 0.04935542], ['FAMILY AND PARENTING', 0.04923414]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,9,8,18:58:51.950065
I apprehended Gary,"[['SPORTS', 0.05371014], ['TECHNOLOGY AND COMPUTING', 0.05058152], ['HOBBIES AND INTERESTS', 0.05033406], ['HEALTH AND FITNESS', 0.04928798], ['FOOD AND DRINK', 0.04885485]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,10,9,18:58:53.309507
an lemur grabbed Nick inside I,"[['SPORTS', 0.05219367], ['ARTS AND ENTERTAINMENT', 0.05197702], ['SCIENCE', 0.05093892], ['AUTOMOTIVE', 0.05068062], ['TRAVEL', 0.05005785]]","[['HOBBIES & INTERESTS', 0.07], ['SCREENWRITING', 0.05]]",True,11,10,18:58:54.675710
Gary spent my salmon with an babbon in Gary near Gary,"[['TRAVEL', 0.05381774], ['AUTOMOTIVE', 0.05019668], ['HOME AND GARDEN', 0.05018739], ['HEALTH AND FITNESS', 0.05015277], ['TECHNOLOGY AND COMPUTING', 0.04933394]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,12,11,18:58:56.055447
a owl inside the owl outside a elephant chased I outside an gibbon,"[['TRAVEL', 0.05618428], ['SPORTS', 0.05468258], ['TECHNOLOGY AND COMPUTING', 0.05147998], ['ARTS AND ENTERTAINMENT', 0.05045158], ['RELIGION AND SPIRITUALITY', 0.05007643]]","[['BIRDS', 0.24], ['PETS', 0.07], ['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,13,12,18:58:57.421697
Gary damaged a woman in an river in Gary,"[['TRAVEL', 0.05403568], ['HEALTH AND FITNESS', 0.05316989], ['RELIGION AND SPIRITUALITY', 0.05236479], ['SPORTS', 0.05222808], ['HOBBIES AND INTERESTS', 0.04917404]]","[['HOME REPAIR', 0.21], ['HOBBIES & INTERESTS', 0.07], ['HOME & GARDEN', 0.06], ['BIRDWATCHING', 0.05]]",True,14,13,18:58:58.879213
Gemma damaged I,"[['TECHNOLOGY AND COMPUTING', 0.05223528], ['HOBBIES AND INTERESTS', 0.05163799], ['SPORTS', 0.0495497], ['AUTOMOTIVE', 0.04941673], ['ARTS AND ENTERTAINMENT', 0.04919732]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,15,14,18:59:00.237346
Nick apprehended Nick by Gemma inside Nick outside Nick,"[['TRAVEL', 0.05276106], ['ARTS AND ENTERTAINMENT', 0.05170681], ['SPORTS', 0.05111819], ['BUSINESS', 0.04996921], ['SCIENCE', 0.04922831]]","[['BODY ART', 0.34], ['WEDDINGS', 0.21], ['HOBBIES & INTERESTS', 0.07], ['SOCIETY', 0.06], ['STYLE & FASHION', 0.06]]",True,16,15,18:59:01.568624
