a park saw a pajamas,"[['TRAVEL', 0.05443493], ['HEALTH AND FITNESS', 0.0519086], ['SPORTS', 0.05079067], ['AUTOMOTIVE', 0.05049044], ['HOBBIES AND INTERESTS', 0.05045892]]","[['SCIENCE', 0.993733], ['SPORTS', 0.00406633], ['FOOD AND DRINK', 0.000926457], ['TRAVEL', 0.000196871], ['HOBBIES AND INTERESTS', 0.000105965]]",True,1,1,21:21:26.117057
Mary wounded a fish in a park outside my man by I with a man on I outside my elephant,"[['TRAVEL', 0.0611086], ['SPORTS', 0.06063326], ['RELIGION AND SPIRITUALITY', 0.05748233], ['HEALTH AND FITNESS', 0.05376108], ['PETS', 0.05098736]]","[['TRAVEL', 0.799996], ['SPORTS', 0.168247], ['PETS', 0.00114464], ['FOOD AND DRINK', 0.000481785], ['RELIGION AND SPIRITUALITY', 0.000310839]]",True,2,2,21:21:28.719057
John shot John with John,"[['SPORTS', 0.05772059], ['LAW GOVERNMENT AND POLITICS', 0.05066282], ['BUSINESS', 0.04942319], ['ARTS AND ENTERTAINMENT', 0.04929297], ['HEALTH AND FITNESS', 0.04879866]]","[['ARTS AND ENTERTAINMENT', 0.587131], ['SOCIETY', 0.284837], ['HOBBIES AND INTERESTS', 1.59832e-07], ['REAL ESTATE', 6.64404e-08], ['SPORTS', 4.10003e-08]]",True,3,3,21:21:31.279007
Mary wounded I by the fish,"[['SPORTS', 0.05523573], ['PETS', 0.05380903], ['FOOD AND DRINK', 0.05356347], ['RELIGION AND SPIRITUALITY', 0.05217822], ['TECHNOLOGY AND COMPUTING', 0.05002043]]","[['SPORTS', 0.934378], ['TRAVEL', 0.000225374], ['CAREERS', 0.000113461], ['PETS', 0.000112532], ['HOBBIES AND INTERESTS', 5.29152e-05]]",True,4,4,21:21:33.888251
my elephant shot Bob in my fish outside I,"[['SPORTS', 0.07121106], ['PETS', 0.05643053], ['TRAVEL', 0.05560308], ['RELIGION AND SPIRITUALITY', 0.05237775], ['FOOD AND DRINK', 0.05128532]]","[['SPORTS', 0.909565], ['PETS', 0.0481096], ['HOBBIES AND INTERESTS', 0.00315351], ['NON STANDARD CONTENT', 0.00309599], ['FOOD AND DRINK', 0.00252163]]",True,5,5,21:21:36.286674
my dog saw John outside my cat in John,"[['PETS', 0.08533225], ['EDUCATION', 0.05396426], ['AUTOMOTIVE', 0.05200992], ['HOBBIES AND INTERESTS', 0.04977751], ['ARTS AND ENTERTAINMENT', 0.04866132]]","[['PETS', 0.999999], ['NON STANDARD CONTENT', 3.3095e-07], ['HOBBIES AND INTERESTS', 1.13455e-08], ['SPORTS', 9.52619e-09], ['HEALTH AND FITNESS', 6.6998e-09]]",True,6,6,21:21:38.634324
I wounded Bob,"[['SPORTS', 0.05732974], ['ARTS AND ENTERTAINMENT', 0.05131647], ['TECHNOLOGY AND COMPUTING', 0.04937437], ['HOBBIES AND INTERESTS', 0.04879968], ['STYLE AND FASHION', 0.0486005]]","[['SPORTS', 0.285373], ['ARTS AND ENTERTAINMENT', 0.0485375], ['HEALTH AND FITNESS', 0.0366016], ['HOBBIES AND INTERESTS', 0.0320092], ['PETS', 0.0237797]]",True,7,7,21:21:41.216437
a man with Bob killed an fish by John,"[['SPORTS', 0.05924882], ['PETS', 0.05410183], ['RELIGION AND SPIRITUALITY', 0.0528194], ['LAW GOVERNMENT AND POLITICS', 0.05279742], ['ARTS AND ENTERTAINMENT', 0.05269396]]","[['SPORTS', 0.903226], ['TRAVEL', 0.0293375], ['SCIENCE', 0.00723954], ['RELIGION AND SPIRITUALITY', 0.00125753], ['HEALTH AND FITNESS', 0.00125291]]",True,8,8,21:21:43.521482
an dog saw Bob by Mary with Mary by Bob,"[['PETS', 0.05781608], ['ARTS AND ENTERTAINMENT', 0.05328058], ['BUSINESS', 0.05177807], ['HOBBIES AND INTERESTS', 0.05044244], ['EDUCATION', 0.04998535]]","[['HOBBIES AND INTERESTS', 0.902324], ['ARTS AND ENTERTAINMENT', 0.0121487], ['SPORTS', 0.0077126], ['HEALTH AND FITNESS', 0.00633017], ['TRAVEL', 0.00580631]]",True,9,9,21:21:46.080770
my monkey wounded I by Bob,"[['SPORTS', 0.05616364], ['STYLE AND FASHION', 0.05069082], ['HOBBIES AND INTERESTS', 0.05023936], ['TECHNOLOGY AND COMPUTING', 0.05010706], ['HEALTH AND FITNESS', 0.04980899]]","[['HOBBIES AND INTERESTS', 0.504431], ['TRAVEL', 0.278674], ['ARTS AND ENTERTAINMENT', 0.118097], ['SPORTS', 0.0268818], ['NON STANDARD CONTENT', 0.0112094]]",True,10,10,21:21:48.846858
