I ran a hedgehog with an man on the binoculars,"[['TRAVEL', 0.05346887], ['HOBBIES AND INTERESTS', 0.05188963], ['SPORTS', 0.05135478], ['TECHNOLOGY AND COMPUTING', 0.05125508], ['SCIENCE', 0.05104444]]","[['GARDENING', 0.42], ['PROFANE CONTENT', 0.22], ['NON-STANDARD CONTENT', 0.07], ['HOBBIES & INTERESTS', 0.07], ['HOME & GARDEN', 0.06]]",True,1,1,11:18:23.270249
I ran a hedgehog by an man on the binoculars,"[['TRAVEL', 0.05346887], ['HOBBIES AND INTERESTS', 0.05188963], ['SPORTS', 0.05135478], ['TECHNOLOGY AND COMPUTING', 0.05125508], ['SCIENCE', 0.05104444]]","[['GARDENING', 0.42], ['PROFANE CONTENT', 0.22], ['NON-STANDARD CONTENT', 0.07], ['HOBBIES & INTERESTS', 0.07], ['HOME & GARDEN', 0.06]]",True,2,2,11:18:25.925545
Mark ran a hedgehog by an man on the binoculars,"[['HOBBIES AND INTERESTS', 0.05094653], ['SOCIETY', 0.05061883], ['SPORTS', 0.05060273], ['TRAVEL', 0.05003524], ['ARTS AND ENTERTAINMENT', 0.04955176]]","[['GARDENING', 0.3], ['PROFANE CONTENT', 0.22], ['NON-STANDARD CONTENT', 0.07], ['HOBBIES & INTERESTS', 0.06], ['SPORTS', 0.06]]",True,3,3,11:18:29.062538
Mark wounded a hedgehog by an man on the binoculars,"[['SPORTS', 0.05315685], ['SOCIETY', 0.0503802], ['ARTS AND ENTERTAINMENT', 0.05032481], ['SCIENCE', 0.05031369], ['RELIGION AND SPIRITUALITY', 0.04930836]]","[['GARDENING', 0.25], ['PROFANE CONTENT', 0.21], ['HOBBIES & INTERESTS', 0.07], ['NON-STANDARD CONTENT', 0.06], ['SPORTS', 0.06]]",True,4,4,11:18:32.411973
Mark viewed a hedgehog by an man on the binoculars,"[['SPORTS', 0.05235785], ['SOCIETY', 0.0511496], ['SCIENCE', 0.05066075], ['ARTS AND ENTERTAINMENT', 0.05055025], ['RELIGION AND SPIRITUALITY', 0.04949655]]","[['PROFANE CONTENT', 0.21], ['NON-STANDARD CONTENT', 0.07], ['SPORTS', 0.06], ['HOBBIES & INTERESTS', 0.06], ['CIGARS', 0.05]]",True,5,5,11:18:35.133335
Mark caught a hedgehog by an man on the binoculars,"[['SPORTS', 0.05733536], ['ARTS AND ENTERTAINMENT', 0.05026458], ['SOCIETY', 0.05026143], ['SCIENCE', 0.0493607], ['LAW GOVERNMENT AND POLITICS', 0.04901544]]","[['PROFANE CONTENT', 0.22], ['NON-STANDARD CONTENT', 0.07], ['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['BIRDWATCHING', 0.05]]",True,6,6,11:18:37.823653
Mark injured a hedgehog by an man on the binoculars,"[['SPORTS', 0.05262418], ['SOCIETY', 0.05040407], ['ARTS AND ENTERTAINMENT', 0.05010367], ['SCIENCE', 0.0499901], ['HEALTH AND FITNESS', 0.0496119]]","[['GARDENING', 0.25], ['PROFANE CONTENT', 0.22], ['SPORTS', 0.06], ['NON-STANDARD CONTENT', 0.06], ['HOBBIES & INTERESTS', 0.06]]",True,7,7,11:18:40.655421
Mark injured an hedgehog by an man on the binoculars,"[['SPORTS', 0.05262418], ['SOCIETY', 0.05040407], ['ARTS AND ENTERTAINMENT', 0.05010367], ['SCIENCE', 0.0499901], ['HEALTH AND FITNESS', 0.0496119]]","[['GARDENING', 0.25], ['PROFANE CONTENT', 0.22], ['SPORTS', 0.06], ['NON-STANDARD CONTENT', 0.06], ['HOBBIES & INTERESTS', 0.06]]",True,8,8,11:18:43.426154
Mark injured an hedgehog by an man near the binoculars,"[['SCIENCE', 0.05190246], ['SOCIETY', 0.05181914], ['SPORTS', 0.05114127], ['HEALTH AND FITNESS', 0.04999905], ['ARTS AND ENTERTAINMENT', 0.0495088]]","[['GARDENING', 0.25], ['PROFANE CONTENT', 0.22], ['SPORTS', 0.06], ['NON-STANDARD CONTENT', 0.06], ['HOBBIES & INTERESTS', 0.06]]",True,9,9,11:18:46.121804
Steve injured an hedgehog by an man near the binoculars,"[['SPORTS', 0.05452034], ['SCIENCE', 0.05337981], ['HEALTH AND FITNESS', 0.05314355], ['SOCIETY', 0.05048632], ['TRAVEL', 0.04922812]]","[['PROFANE CONTENT', 0.21], ['HOBBIES & INTERESTS', 0.07], ['NON-STANDARD CONTENT', 0.06], ['SPORTS', 0.06], ['BIRDWATCHING', 0.05]]",True,10,10,11:18:49.255542
