Steve ran I,"[['SPORTS', 0.05502866], ['HOBBIES AND INTERESTS', 0.05312039], ['TECHNOLOGY AND COMPUTING', 0.05140062], ['TRAVEL', 0.04901017], ['HOME AND GARDEN', 0.04845515]]","[['HOBBIES & INTERESTS', 0.08], ['SCRAPBOOKING', 0.05]]",True,1,1,11:16:15.955166
I caught Steve with Mark on Elise outside I,"[['SPORTS', 0.07040466], ['FOOD AND DRINK', 0.05085136], ['TECHNOLOGY AND COMPUTING', 0.05000096], ['RELIGION AND SPIRITUALITY', 0.04953278], ['AUTOMOTIVE', 0.04879165]]","[['HOBBIES & INTERESTS', 0.08], ['SPORTS', 0.06], ['BIRDWATCHING', 0.05], ['FLY FISHING', 0.04]]",True,2,2,11:16:17.511836
Mark captured an man in Elise outside Mark by Elise near Steve,"[['SPORTS', 0.05657847], ['HEALTH AND FITNESS', 0.05469861], ['RELIGION AND SPIRITUALITY', 0.05159793], ['TRAVEL', 0.05010336], ['SOCIETY', 0.04973719]]","[['PROFANE CONTENT', 0.23], ['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['NON-STANDARD CONTENT', 0.06], ['CIGARS', 0.05]]",True,3,3,11:16:19.037754
Elise went my fish in Elise outside Mark,"[['PETS', 0.05908534], ['RELIGION AND SPIRITUALITY', 0.05792738], ['SPORTS', 0.05404975], ['AUTOMOTIVE', 0.0530854], ['FOOD AND DRINK', 0.05247369]]","[['AQUARIUMS', 0.79], ['PETS', 0.1]]",False,4,3,11:16:20.560121
a giraffe caught Elise with a hedgehog,"[['SPORTS', 0.05206109], ['FOOD AND DRINK', 0.05092006], ['HOME AND GARDEN', 0.04825283], ['ARTS AND ENTERTAINMENT', 0.04816958], ['REAL ESTATE', 0.04800296]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,5,4,11:16:22.088409
I viewed Mark near a monkey in Steve,"[['SPORTS', 0.05868574], ['HOBBIES AND INTERESTS', 0.05332436], ['AUTOMOTIVE', 0.05035148], ['HOME AND GARDEN', 0.04893166], ['TECHNOLOGY AND COMPUTING', 0.04892706]]","[['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.07], ['BIRDWATCHING', 0.05], ['BODYBUILDING', 0.04]]",True,6,5,11:16:23.621513
Elise ran a binoculars near Mark,"[['TRAVEL', 0.050994], ['SOCIETY', 0.05079506], ['HOBBIES AND INTERESTS', 0.05023977], ['EDUCATION', 0.04965468], ['REAL ESTATE', 0.0490763]]","[['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['BIRDWATCHING', 0.05], ['WATERSKI/WAKEBOARD', 0.04]]",True,7,6,11:16:25.351387
I injured I by Elise with Steve with Elise,"[['SPORTS', 0.05690405], ['HOBBIES AND INTERESTS', 0.05060084], ['TECHNOLOGY AND COMPUTING', 0.0502785], ['HEALTH AND FITNESS', 0.04989945], ['FOOD AND DRINK', 0.04877095]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,8,7,11:16:26.954827
Elise viewed the fish in Elise,"[['PETS', 0.0553691], ['FOOD AND DRINK', 0.05269643], ['SPORTS', 0.05252337], ['RELIGION AND SPIRITUALITY', 0.05080187], ['ARTS AND ENTERTAINMENT', 0.04862995]]","[['AQUARIUMS', 0.76], ['PETS', 0.1]]",False,9,7,11:16:28.534572
an giraffe by Steve viewed my giraffe,"[['AUTOMOTIVE', 0.05215307], ['SPORTS', 0.05164654], ['HEALTH AND FITNESS', 0.05158065], ['HOBBIES AND INTERESTS', 0.05018679], ['TRAVEL', 0.04947585]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,10,8,11:16:30.074700
I went Elise on a lawn in a monkey with my giraffe,"[['HOME AND GARDEN', 0.05996914], ['AUTOMOTIVE', 0.05227635], ['TRAVEL', 0.05226092], ['HEALTH AND FITNESS', 0.05196051], ['ARTS AND ENTERTAINMENT', 0.04892802]]","[['LANDSCAPING', 0.25], ['HOME & GARDEN', 0.07], ['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,11,9,11:16:31.627062
I captured I by my hedgehog with Steve,"[['HEALTH AND FITNESS', 0.05382043], ['TECHNOLOGY AND COMPUTING', 0.05355367], ['SPORTS', 0.05279835], ['HOBBIES AND INTERESTS', 0.05266343], ['AUTOMOTIVE', 0.0523073]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,12,10,11:16:33.159768
Steve wounded Mark by the lawn on I on Elise near Steve,"[['HOME AND GARDEN', 0.05943609], ['SPORTS', 0.05325769], ['HOBBIES AND INTERESTS', 0.05138605], ['HEALTH AND FITNESS', 0.04991111], ['SOCIETY', 0.04902411]]","[['LANDSCAPING', 0.23], ['HOBBIES & INTERESTS', 0.08], ['HOME & GARDEN', 0.06], ['BIRDWATCHING', 0.05]]",True,13,11,11:16:34.713642
my fish by my squirrel with Mark caught an lawn outside Elise,"[['PETS', 0.05703059], ['SPORTS', 0.05665454], ['RELIGION AND SPIRITUALITY', 0.05513931], ['HOME AND GARDEN', 0.05356196], ['FOOD AND DRINK', 0.05241537]]","[['AQUARIUMS', 0.59], ['PETS', 0.16]]",False,14,11,11:16:36.208910
Mark captured Mark on an lawn,"[['HOME AND GARDEN', 0.05670651], ['LAW GOVERNMENT AND POLITICS', 0.05025836], ['SOCIETY', 0.04968136], ['REAL ESTATE', 0.04938986], ['HOBBIES AND INTERESTS', 0.04928438]]","[['LANDSCAPING', 0.24], ['HOME & GARDEN', 0.08], ['SPORTS', 0.07], ['WATERSKI/WAKEBOARD', 0.04]]",True,15,12,11:16:38.073524
I captured Elise,"[['TECHNOLOGY AND COMPUTING', 0.05320481], ['HOBBIES AND INTERESTS', 0.05118671], ['SPORTS', 0.04920007], ['FOOD AND DRINK', 0.04865816], ['HOME AND GARDEN', 0.04848198]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,16,13,11:16:39.626547
Elise viewed Elise with a hedgehog near I in Elise with I,"[['HOME AND GARDEN', 0.05048859], ['SCIENCE', 0.05035298], ['HOBBIES AND INTERESTS', 0.05007439], ['FOOD AND DRINK', 0.04981377], ['TECHNOLOGY AND COMPUTING', 0.04968287]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,17,14,11:16:41.153536
Elise went Elise in Mark,"[['AUTOMOTIVE', 0.05263122], ['ARTS AND ENTERTAINMENT', 0.05063916], ['SOCIETY', 0.04979969], ['REAL ESTATE', 0.04896024], ['SPORTS', 0.04879559]]","[['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['BIRDWATCHING', 0.05], ['WATERSKI/WAKEBOARD', 0.05]]",True,18,15,11:16:42.677962
Elise injured the man,"[['HEALTH AND FITNESS', 0.05112523], ['ARTS AND ENTERTAINMENT', 0.05090074], ['SCIENCE', 0.05027231], ['SOCIETY', 0.04979041], ['SPORTS', 0.04955866]]","[['PROFANE CONTENT', 0.23], ['NON-STANDARD CONTENT', 0.07], ['HOBBIES & INTERESTS', 0.06], ['SPORTS', 0.06], ['BIRDWATCHING', 0.05]]",True,19,16,11:16:44.214190
Elise injured Mark near I,"[['SPORTS', 0.05186704], ['HOBBIES AND INTERESTS', 0.05186574], ['TECHNOLOGY AND COMPUTING', 0.04958207], ['ARTS AND ENTERTAINMENT', 0.0490295], ['SOCIETY', 0.04864004]]","[['OFF-ROAD VEHICLES', 0.11], ['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.07], ['AUTOMOTIVE', 0.06], ['BIRDWATCHING', 0.05]]",True,20,17,11:16:45.747237
a monkey outside Elise wounded Mark on Elise with Mark,"[['SPORTS', 0.05362747], ['RELIGION AND SPIRITUALITY', 0.05241035], ['BUSINESS', 0.05122636], ['REAL ESTATE', 0.04880213], ['PETS', 0.04844324]]","[['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['BIRDWATCHING', 0.05], ['FLY FISHING', 0.04]]",True,21,18,11:16:47.462756
a hedgehog with I went a lawn,"[['HOME AND GARDEN', 0.05934179], ['ARTS AND ENTERTAINMENT', 0.05131123], ['FOOD AND DRINK', 0.04915975], ['HEALTH AND FITNESS', 0.04912659], ['AUTOMOTIVE', 0.04902251]]","[['LANDSCAPING', 0.37], ['HOME & GARDEN', 0.12]]",True,22,19,11:16:49.592197
Elise went I,"[['ARTS AND ENTERTAINMENT', 0.05148921], ['AUTOMOTIVE', 0.05109578], ['TECHNOLOGY AND COMPUTING', 0.05073241], ['FOOD AND DRINK', 0.04967633], ['SPORTS', 0.04957498]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,23,20,11:16:51.267566
