an owl with Gary chased Gemma,"[['ARTS AND ENTERTAINMENT', 0.05012353], ['HEALTH AND FITNESS', 0.05012133], ['SPORTS', 0.04989051], ['HOBBIES AND INTERESTS', 0.04805446], ['FAMILY AND PARENTING', 0.04800306]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,1,1,23:30:54.751890
Gary saw my baboon in an baboon with Gary on I on Gemma,"[['HOBBIES AND INTERESTS', 0.05577235], ['HEALTH AND FITNESS', 0.05412326], ['SPORTS', 0.05309086], ['AUTOMOTIVE', 0.05198253], ['TECHNOLOGY AND COMPUTING', 0.04932131]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,2,2,23:30:56.473889
Gary damaged Gemma with Gemma,"[['HEALTH AND FITNESS', 0.05047669], ['SPORTS', 0.04955684], ['SOCIETY', 0.04929823], ['HOBBIES AND INTERESTS', 0.04869156], ['ARTS AND ENTERTAINMENT', 0.04848329]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,3,3,23:30:58.007598
I saw Gary,"[['SPORTS', 0.05521217], ['HOBBIES AND INTERESTS', 0.05271716], ['HEALTH AND FITNESS', 0.051692], ['AUTOMOTIVE', 0.05133811], ['SCIENCE', 0.05014389]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,4,4,23:30:59.660269
an lemur chased the lemur,"[['SCIENCE', 0.04817441], ['REAL ESTATE', 0.04806476], ['ARTS AND ENTERTAINMENT', 0.0479906], ['BUSINESS', 0.04791316], ['CAREERS', 0.04774358]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,5,5,23:31:01.383509
Nick disabled Gary near my baboon,"[['HEALTH AND FITNESS', 0.0676852], ['TRAVEL', 0.05166873], ['SCIENCE', 0.04989833], ['PETS', 0.04892333], ['EDUCATION', 0.04801072]]","[['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.05]]",True,6,6,23:31:02.941656
Nick saw Gary on Gary,"[['HEALTH AND FITNESS', 0.05226788], ['SCIENCE', 0.05120889], ['ARTS AND ENTERTAINMENT', 0.05089935], ['SPORTS', 0.05051434], ['HOBBIES AND INTERESTS', 0.0502475]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,7,7,23:31:04.563406
Nick saw a owl inside a woman outside Gemma,"[['HEALTH AND FITNESS', 0.05443409], ['ARTS AND ENTERTAINMENT', 0.0543204], ['TRAVEL', 0.05222232], ['SCIENCE', 0.05162431], ['SPORTS', 0.05086836]]","[['BODY ART', 0.33], ['WEDDINGS', 0.23], ['BIRDS', 0.2], ['HOBBIES & INTERESTS', 0.06], ['STYLE & FASHION', 0.06]]",True,8,8,23:31:06.657383
Nick chased I near Nick,"[['SCIENCE', 0.05305518], ['ARTS AND ENTERTAINMENT', 0.05064456], ['TRAVEL', 0.0500933], ['HOME AND GARDEN', 0.0497929], ['HOBBIES AND INTERESTS', 0.04977748]]","[['WEDDINGS', 0.22], ['HOBBIES & INTERESTS', 0.07], ['SOCIETY', 0.06], ['BIRDWATCHING', 0.05]]",True,9,9,23:31:08.212146
Nick disabled the elephant in I,"[['HEALTH AND FITNESS', 0.05976703], ['HOBBIES AND INTERESTS', 0.05083975], ['SCIENCE', 0.05015414], ['TECHNOLOGY AND COMPUTING', 0.0497326], ['TRAVEL', 0.04954745]]","[['LARGE ANIMALS', 0.4], ['SENIOR LIVING', 0.23], ['HOBBIES & INTERESTS', 0.07], ['SOCIETY', 0.06], ['PETS', 0.06]]",True,10,10,23:31:09.758452
Gary saw my park in Nick,"[['HEALTH AND FITNESS', 0.057223], ['TRAVEL', 0.05612101], ['AUTOMOTIVE', 0.05256273], ['SPORTS', 0.05089333], ['HOBBIES AND INTERESTS', 0.0508225]]","[['NATIONAL PARKS', 0.45], ['TRAVEL', 0.09]]",False,11,10,23:31:11.216547
Gary chased I,"[['SPORTS', 0.05313718], ['TECHNOLOGY AND COMPUTING', 0.05058698], ['HOBBIES AND INTERESTS', 0.05023917], ['HEALTH AND FITNESS', 0.04935341], ['ARTS AND ENTERTAINMENT', 0.04910926]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,12,11,23:31:12.762820
Gary disabled Nick with Gemma,"[['HEALTH AND FITNESS', 0.06384347], ['SCIENCE', 0.04990367], ['ARTS AND ENTERTAINMENT', 0.04970074], ['SPORTS', 0.04883186], ['PETS', 0.04783743]]","[['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.05]]",True,13,12,23:31:14.674099
the lemur damaged I inside I,"[['TECHNOLOGY AND COMPUTING', 0.0529166], ['SPORTS', 0.05260422], ['AUTOMOTIVE', 0.05221621], ['ARTS AND ENTERTAINMENT', 0.05007483], ['HOBBIES AND INTERESTS', 0.04999285]]","[['HOBBIES & INTERESTS', 0.07], ['SCREENWRITING', 0.05]]",True,14,13,23:31:16.067968
an river chased my gibbon by my lemur,"[['TRAVEL', 0.05605861], ['RELIGION AND SPIRITUALITY', 0.05035078], ['AUTOMOTIVE', 0.04998995], ['HOBBIES AND INTERESTS', 0.04927114], ['SPORTS', 0.04889584]]","[['WATERSKI/WAKEBOARD', 0.09], ['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.06], ['SPORTS', 0.06]]",False,15,13,23:31:17.582757
I disabled Nick outside Gary,"[['HEALTH AND FITNESS', 0.06404272], ['SPORTS', 0.05432697], ['FOOD AND DRINK', 0.04988576], ['TRAVEL', 0.04972357], ['SCIENCE', 0.04931042]]","[['SENIOR LIVING', 0.24], ['HOBBIES & INTERESTS', 0.07], ['SOCIETY', 0.06], ['NEEDLEWORK', 0.05]]",True,16,14,23:31:18.933813
I saw a owl with an owl with a woman,"[['HOBBIES AND INTERESTS', 0.05327929], ['HEALTH AND FITNESS', 0.05255619], ['SCIENCE', 0.05251212], ['AUTOMOTIVE', 0.05212382], ['SPORTS', 0.05060957]]","[['BIRDS', 0.34], ['HOBBIES & INTERESTS', 0.07], ['PETS', 0.06], ['SCREENWRITING', 0.05]]",True,17,15,23:31:20.250916
Nick saw the lemur,"[['SCIENCE', 0.05181952], ['ARTS AND ENTERTAINMENT', 0.05064319], ['HOBBIES AND INTERESTS', 0.05034359], ['AUTOMOTIVE', 0.05017985], ['HEALTH AND FITNESS', 0.04948683]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,18,16,23:31:21.677369
a baboon grabbed an elephant with Gary with the owl,"[['HEALTH AND FITNESS', 0.05131294], ['TRAVEL', 0.05110447], ['SPORTS', 0.05085146], ['HOBBIES AND INTERESTS', 0.04967187], ['HOME AND GARDEN', 0.04826335]]","[['LARGE ANIMALS', 0.32], ['HOBBIES & INTERESTS', 0.08], ['PETS', 0.07], ['BIRDWATCHING', 0.05]]",True,19,17,23:31:23.168328
my owl on Nick grabbed Nick on I,"[['HOBBIES AND INTERESTS', 0.0515694], ['AUTOMOTIVE', 0.05103258], ['TRAVEL', 0.05058506], ['ARTS AND ENTERTAINMENT', 0.05028688], ['HOME AND GARDEN', 0.0498989]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,20,18,23:31:24.685495
Nick grabbed Gemma,"[['SCIENCE', 0.05068968], ['ARTS AND ENTERTAINMENT', 0.05009141], ['FAMILY AND PARENTING', 0.04860544], ['EDUCATION', 0.04841533], ['HEALTH AND FITNESS', 0.04817009]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,21,19,23:31:26.048598
Nick apprehended an baboon,"[['SCIENCE', 0.05041199], ['ARTS AND ENTERTAINMENT', 0.04982655], ['FAMILY AND PARENTING', 0.04869435], ['TRAVEL', 0.04836895], ['FOOD AND DRINK', 0.04810618]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,22,20,23:31:27.455710
Gary damaged I near Gary,"[['SPORTS', 0.05147327], ['HOBBIES AND INTERESTS', 0.05124574], ['TECHNOLOGY AND COMPUTING', 0.05115027], ['HEALTH AND FITNESS', 0.0500753], ['TRAVEL', 0.04959587]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,23,21,23:31:29.054864
I damaged the salmon outside an park inside an salmon near Nick,"[['TRAVEL', 0.06332056], ['SPORTS', 0.05576036], ['AUTOMOTIVE', 0.05033239], ['ARTS AND ENTERTAINMENT', 0.05017966], ['SCIENCE', 0.04987213]]","[['NATIONAL PARKS', 0.25], ['FLY FISHING', 0.11], ['TRAVEL', 0.07], ['HOBBIES & INTERESTS', 0.06], ['BIRDWATCHING', 0.06]]",False,24,21,23:31:30.740231
an owl on the woman apprehended a woman near the gibbon near Gemma,"[['RELIGION AND SPIRITUALITY', 0.05213791], ['TRAVEL', 0.05199724], ['HEALTH AND FITNESS', 0.05129955], ['SCIENCE', 0.05115603], ['SOCIETY', 0.04983547]]","[['BODY ART', 0.33], ['HOBBIES & INTERESTS', 0.07], ['STYLE & FASHION', 0.06], ['NEEDLEWORK', 0.05]]",True,25,22,23:31:32.426102
a woman on my elephant on I spent an owl outside Nick inside Gary,"[['TRAVEL', 0.06169824], ['HEALTH AND FITNESS', 0.05532016], ['RELIGION AND SPIRITUALITY', 0.05482373], ['SPORTS', 0.05372131], ['AUTOMOTIVE', 0.05244003]]","[['LARGE ANIMALS', 0.29], ['PETS', 0.07], ['HOBBIES & INTERESTS', 0.07], ['SCREENWRITING', 0.05]]",True,26,23,23:31:34.123276
I apprehended an park,"[['TRAVEL', 0.05691399], ['SPORTS', 0.05279723], ['HOBBIES AND INTERESTS', 0.05007874], ['FOOD AND DRINK', 0.04949735], ['ARTS AND ENTERTAINMENT', 0.04849355]]","[['NATIONAL PARKS', 0.48], ['TRAVEL', 0.09]]",False,27,23,23:31:35.512640
I apprehended my river in my lemur with the owl by my river inside a park,"[['TRAVEL', 0.07097701], ['SPORTS', 0.05788616], ['AUTOMOTIVE', 0.05293712], ['HOBBIES AND INTERESTS', 0.05138178], ['ARTS AND ENTERTAINMENT', 0.04883613]]","[['NATIONAL PARKS', 0.28], ['BIRDS', 0.25], ['GARDENING', 0.23], ['WATERSKI/WAKEBOARD', 0.11], ['BIRDWATCHING', 0.07]]",True,28,24,23:31:37.126326
my lemur inside Gary grabbed Gary,"[['HEALTH AND FITNESS', 0.05303797], ['AUTOMOTIVE', 0.05156844], ['TRAVEL', 0.05123642], ['SPORTS', 0.05106645], ['PETS', 0.05008727]]","[['HOBBIES & INTERESTS', 0.08], ['SCREENWRITING', 0.05]]",True,29,25,23:31:38.477411
Gemma grabbed a lemur inside Gemma on I,"[['SPORTS', 0.05274381], ['TECHNOLOGY AND COMPUTING', 0.05103819], ['ARTS AND ENTERTAINMENT', 0.05031175], ['AUTOMOTIVE', 0.05021704], ['TRAVEL', 0.04984511]]","[['HOBBIES & INTERESTS', 0.07], ['SCREENWRITING', 0.05]]",True,30,26,23:31:39.839942
Gemma disabled Gemma outside a owl near Gary,"[['HEALTH AND FITNESS', 0.06614194], ['TRAVEL', 0.05313529], ['SPORTS', 0.05021904], ['RELIGION AND SPIRITUALITY', 0.04906306], ['PETS', 0.04797923]]","[['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.05]]",True,31,27,23:31:41.332096
Nick apprehended Gemma inside Gary,"[['ARTS AND ENTERTAINMENT', 0.05260617], ['SPORTS', 0.05227299], ['SCIENCE', 0.04963952], ['HEALTH AND FITNESS', 0.04961624], ['TRAVEL', 0.04948121]]","[['HOBBIES & INTERESTS', 0.07], ['SCREENWRITING', 0.05]]",True,32,28,23:31:43.168450
Gemma saw Nick,"[['ARTS AND ENTERTAINMENT', 0.05141681], ['SCIENCE', 0.05116198], ['HOBBIES AND INTERESTS', 0.05064174], ['AUTOMOTIVE', 0.05030348], ['HEALTH AND FITNESS', 0.04938456]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,33,29,23:31:44.743588
I chased Nick,"[['ARTS AND ENTERTAINMENT', 0.05125022], ['SCIENCE', 0.05109751], ['FOOD AND DRINK', 0.04982161], ['HOBBIES AND INTERESTS', 0.04978398], ['TECHNOLOGY AND COMPUTING', 0.0497435]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,34,30,23:31:46.065046
