my tree Stephen James Irene my ship,"[['BUSINESS', 0.05666524], ['RELIGION AND SPIRITUALITY', 0.05651026], ['TRAVEL', 0.05642167], ['HOBBIES AND INTERESTS', 0.05465804], ['FAMILY AND PARENTING', 0.0505818]]","[['HOME REPAIR', 0.22], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['CRUISES', 0.09], ['HOME & GARDEN', 0.06], ['TRAVEL', 0.06]]",True,1,1,23:02:59.554994
I began I,"[['FOOD AND DRINK', 0.05313345], ['HOME AND GARDEN', 0.05204459], ['SPORTS', 0.04996985], ['STYLE AND FASHION', 0.04984224], ['HOBBIES AND INTERESTS', 0.04959297]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.21], ['HOBBIES & INTERESTS', 0.08], ['NON-STANDARD CONTENT', 0.07], ['CIGARS', 0.05]]",True,2,2,23:03:01.052118
I began an man,"[['SPORTS', 0.05167372], ['HEALTH AND FITNESS', 0.05098291], ['FOOD AND DRINK', 0.05083364], ['SOCIETY', 0.05077715], ['ARTS AND ENTERTAINMENT', 0.0504415]]","[['PROFANE CONTENT', 0.24], ['NON-STANDARD CONTENT', 0.14]]",True,3,3,23:03:02.612763
I heard country pajamas I a monkey I James outside I,"[['TRAVEL', 0.05606539], ['SPORTS', 0.05531608], ['RELIGION AND SPIRITUALITY', 0.05253335], ['EDUCATION', 0.05192971], ['HEALTH AND FITNESS', 0.05131265]]","[['HOME REPAIR', 0.2], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.19], ['HINDUISM', 0.17], ['HUMOR', 0.16], ['OFF-ROAD VEHICLES', 0.08]]",True,4,4,23:03:04.056270
Irene caught James in man in my monkey,"[['RELIGION AND SPIRITUALITY', 0.052422], ['TRAVEL', 0.05121422], ['HOBBIES AND INTERESTS', 0.05050705], ['SPORTS', 0.05011378], ['SCIENCE', 0.05003855]]","[['PROFANE CONTENT', 0.2], ['CELEBRITY FAN/GOSSIP', 0.17], ['NON-STANDARD CONTENT', 0.07], ['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06]]",True,5,5,23:03:05.672918
James built James on Stephen with James,"[['RELIGION AND SPIRITUALITY', 0.05076294], ['AUTOMOTIVE', 0.05067062], ['REAL ESTATE', 0.05062389], ['HOME AND GARDEN', 0.05035899], ['TRAVEL', 0.04953477]]","[['BOOKS & LITERATURE', 0.2], ['PRO BASKETBALL', 0.08], ['ARTS & ENTERTAINMENT', 0.07], ['SPORTS', 0.07], ['HOBBIES & INTERESTS', 0.06]]",True,6,6,23:03:07.480043
Stephen began Irene,"[['HEALTH AND FITNESS', 0.05301504], ['FOOD AND DRINK', 0.05041261], ['SOCIETY', 0.05024314], ['HOME AND GARDEN', 0.04890478], ['STYLE AND FASHION', 0.04887084]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['HOBBIES & INTERESTS', 0.07], ['NON-STANDARD CONTENT', 0.06], ['NEEDLEWORK', 0.05]]",True,7,7,23:03:08.954430
Irene fought James,"[['RELIGION AND SPIRITUALITY', 0.05219164], ['SCIENCE', 0.04916986], ['HOBBIES AND INTERESTS', 0.04903236], ['ARTS AND ENTERTAINMENT', 0.0490129], ['REAL ESTATE', 0.04901183]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.22], ['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['NON-STANDARD CONTENT', 0.06], ['BEADWORK', 0.06]]",True,8,8,23:03:10.611720
my outside my monkey with an pajamas by Irene meant my telescope with my country on my monkey I Stephen,"[['TRAVEL', 0.05740385], ['HEALTH AND FITNESS', 0.05504734], ['EDUCATION', 0.05343505], ['SPORTS', 0.05104871], ['FOOD AND DRINK', 0.05021111]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['HOBBIES & INTERESTS', 0.06], ['NON-STANDARD CONTENT', 0.05], ['BIRDWATCHING', 0.05]]",True,9,9,23:03:12.067882
Irene began Irene by I an telescope telescope monkey I Stephen,"[['SCIENCE', 0.0532102], ['FOOD AND DRINK', 0.05136836], ['HEALTH AND FITNESS', 0.05123892], ['HOME AND GARDEN', 0.05053186], ['STYLE AND FASHION', 0.05007408]]","[['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.05]]",True,10,10,23:03:13.613637
an ship outside my man caught James outside ship on an mountain on country on I mountain,"[['SPORTS', 0.06851521], ['TRAVEL', 0.06498185], ['RELIGION AND SPIRITUALITY', 0.05710919], ['EDUCATION', 0.05258343], ['ARTS AND ENTERTAINMENT', 0.05226489]]","[['CRUISES', 0.17], ['TRAVEL', 0.12]]",False,11,10,23:03:15.262420
Stephen meant I on telescope cat,"[['PETS', 0.06349172], ['SCIENCE', 0.05359472], ['TECHNOLOGY AND COMPUTING', 0.05129202], ['HOME AND GARDEN', 0.04995652], ['ARTS AND ENTERTAINMENT', 0.04990313]]","[['CATS', 0.51], ['PETS', 0.13]]",False,12,10,23:03:16.982946
