I captured pajamas bus on man in pajamas pajamas with my hill bus,"[['TECHNOLOGY AND COMPUTING', 0.05715401], ['HOBBIES AND INTERESTS', 0.05560347], ['TRAVEL', 0.05340744], ['HEALTH AND FITNESS', 0.05320242], ['ARTS AND ENTERTAINMENT', 0.05064992]]","[['PROFANE CONTENT', 0.2], ['DOGS', 0.2], ['NON-STANDARD CONTENT', 0.06], ['HOBBIES & INTERESTS', 0.06], ['PETS', 0.05]]",True,1,1,21:59:27.316913
Marcus captured my snake on hill by Dylan man by Holly in forest man,"[['ARTS AND ENTERTAINMENT', 0.05408354], ['HOBBIES AND INTERESTS', 0.0518229], ['HEALTH AND FITNESS', 0.05128906], ['EDUCATION', 0.05058117], ['TRAVEL', 0.04977243]]","[['PROFANE CONTENT', 0.21], ['NON-STANDARD CONTENT', 0.09]]",True,2,2,21:59:28.929705
Holly embarked Marcus by Marcus with Holly,"[['BUSINESS', 0.04940835], ['STYLE AND FASHION', 0.04915643], ['FAMILY AND PARENTING', 0.04839401], ['AUTOMOTIVE', 0.04837639], ['EDUCATION', 0.04825883]]","[['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['BIRDWATCHING', 0.05], ['WATERSKI/WAKEBOARD', 0.05]]",True,3,3,21:59:30.474731
Marcus made I by the pajamas with the hill in Marcus,"[['HOBBIES AND INTERESTS', 0.05470238], ['SPORTS', 0.05360763], ['ARTS AND ENTERTAINMENT', 0.05134358], ['FOOD AND DRINK', 0.04997876], ['HOME AND GARDEN', 0.04939951]]","[['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['BEADWORK', 0.05], ['WATERSKI/WAKEBOARD', 0.05]]",True,4,4,21:59:32.060070
the bus captured an province,"[['TECHNOLOGY AND COMPUTING', 0.05394484], ['TRAVEL', 0.05108048], ['EDUCATION', 0.04914049], ['HOBBIES AND INTERESTS', 0.04904146], ['LAW GOVERNMENT AND POLITICS', 0.04896821]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.22], ['HINDUISM', 0.17], ['CANADA', 0.1], ['OFF-ROAD VEHICLES', 0.09], ['HOBBIES & INTERESTS', 0.06]]",True,5,5,21:59:33.560462
Dylan started Holly with Marcus,"[['HOBBIES AND INTERESTS', 0.05016289], ['BUSINESS', 0.04983751], ['RELIGION AND SPIRITUALITY', 0.04888583], ['SOCIETY', 0.04886797], ['STYLE AND FASHION', 0.0484535]]","[['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['BIRDWATCHING', 0.05], ['WATERSKI/WAKEBOARD', 0.04]]",True,6,6,21:59:35.100920
an snake on I started Dylan in I,"[['HOBBIES AND INTERESTS', 0.05408471], ['SPORTS', 0.05359543], ['RELIGION AND SPIRITUALITY', 0.04930212], ['HOME AND GARDEN', 0.04928328], ['ARTS AND ENTERTAINMENT', 0.04923772]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['HOBBIES & INTERESTS', 0.07], ['NON-STANDARD CONTENT', 0.07], ['BIRDWATCHING', 0.05]]",True,7,7,21:59:36.625331
I camera in I man on Marcus an hill on a pajamas in I,"[['HOBBIES AND INTERESTS', 0.05678483], ['ARTS AND ENTERTAINMENT', 0.05488962], ['SPORTS', 0.05357606], ['EDUCATION', 0.04968237], ['TECHNOLOGY AND COMPUTING', 0.04951005]]","[['PROFANE CONTENT', 0.22], ['CAMERAS & CAMCORDERS', 0.21], ['HOBBIES & INTERESTS', 0.08], ['NON-STANDARD CONTENT', 0.07], ['TECHNOLOGY & COMPUTING', 0.06]]",True,8,8,21:59:38.164020
a man conflicted province in Dylan camera,"[['HOBBIES AND INTERESTS', 0.05312785], ['ARTS AND ENTERTAINMENT', 0.05223897], ['TRAVEL', 0.05148024], ['EDUCATION', 0.04904936], ['SPORTS', 0.04892276]]","[['HOBBIES & INTERESTS', 0.08], ['PHOTOGRAPHY', 0.06]]",True,9,9,21:59:40.015664
Dylan studied my cat on Dylan on Marcus,"[['PETS', 0.06856912], ['EDUCATION', 0.05176684], ['STYLE AND FASHION', 0.04903855], ['HEALTH AND FITNESS', 0.04878971], ['AUTOMOTIVE', 0.04829912]]","[['CATS', 0.36], ['PETS', 0.1]]",False,10,9,21:59:41.557254
my on cat cat by bus cat with an province embarked Dylan on my bus,"[['PETS', 0.07078494], ['TECHNOLOGY AND COMPUTING', 0.05228739], ['TRAVEL', 0.05097244], ['HOBBIES AND INTERESTS', 0.04988845], ['EDUCATION', 0.04964014]]","[['CATS', 0.71], ['PETS', 0.26]]",False,11,9,21:59:43.082966
Marcus studied Dylan with I,"[['SPORTS', 0.05158923], ['EDUCATION', 0.04975704], ['STYLE AND FASHION', 0.04975701], ['FOOD AND DRINK', 0.04957388], ['HOME AND GARDEN', 0.04955066]]","[['HOBBIES & INTERESTS', 0.08], ['CANDLE & SOAP MAKING', 0.05]]",True,12,10,21:59:44.407194
Dylan started Dylan with the pajamas,"[['HOBBIES AND INTERESTS', 0.05094267], ['HEALTH AND FITNESS', 0.04946873], ['SPORTS', 0.04936221], ['SOCIETY', 0.04924209], ['RELIGION AND SPIRITUALITY', 0.04850514]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,13,11,21:59:45.716945
the cat captured I,"[['PETS', 0.06116506], ['TECHNOLOGY AND COMPUTING', 0.05434686], ['HOBBIES AND INTERESTS', 0.05217493], ['SCIENCE', 0.04828697], ['HOME AND GARDEN', 0.04799945]]","[['CATS', 0.74], ['PETS', 0.25]]",False,14,11,21:59:47.035366
I studied the cat with my hill,"[['PETS', 0.06278007], ['HOBBIES AND INTERESTS', 0.05253597], ['TECHNOLOGY AND COMPUTING', 0.05185179], ['EDUCATION', 0.05026938], ['ARTS AND ENTERTAINMENT', 0.05019004]]","[['CATS', 0.65], ['PETS', 0.23]]",False,15,11,21:59:48.350558
Holly Holly I outside a forest by I,"[['RELIGION AND SPIRITUALITY', 0.05415327], ['BUSINESS', 0.05265958], ['TECHNOLOGY AND COMPUTING', 0.05101735], ['TRAVEL', 0.05050532], ['ARTS AND ENTERTAINMENT', 0.05049996]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.07]]",True,16,12,21:59:49.709393
Marcus captured Holly by pajamas province,"[['EDUCATION', 0.04927808], ['STYLE AND FASHION', 0.0488938], ['SOCIETY', 0.04849545], ['BUSINESS', 0.04845431], ['REAL ESTATE', 0.04842114]]","[['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['BIRDWATCHING', 0.05], ['WATERSKI/WAKEBOARD', 0.04]]",True,17,13,21:59:51.123927
an snake Holly Holly Marcus Marcus,"[['STYLE AND FASHION', 0.0491483], ['BUSINESS', 0.04875455], ['ARTS AND ENTERTAINMENT', 0.04871715], ['FAMILY AND PARENTING', 0.04843671], ['SCIENCE', 0.04841498]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['HOBBIES & INTERESTS', 0.07], ['NON-STANDARD CONTENT', 0.06], ['BIRDWATCHING', 0.05]]",True,18,14,21:59:52.588170
Dylan studied I by pajamas with an forest snake by I,"[['SPORTS', 0.05087708], ['TRAVEL', 0.05049613], ['HOBBIES AND INTERESTS', 0.05042606], ['EDUCATION', 0.05040838], ['ARTS AND ENTERTAINMENT', 0.0503331]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.07]]",True,19,15,21:59:54.124617
I embarked I on man man,"[['SPORTS', 0.05127251], ['HOBBIES AND INTERESTS', 0.05097618], ['ARTS AND ENTERTAINMENT', 0.05067782], ['SCIENCE', 0.04984025], ['TECHNOLOGY AND COMPUTING', 0.04964073]]","[['PROFANE CONTENT', 0.26], ['NON-STANDARD CONTENT', 0.12]]",True,20,16,21:59:55.655212
a province an hill outside Marcus Dylan my province with an man by I I,"[['SPORTS', 0.057616], ['TRAVEL', 0.05413726], ['ARTS AND ENTERTAINMENT', 0.05276269], ['HOBBIES AND INTERESTS', 0.05205654], ['RELIGION AND SPIRITUALITY', 0.05187969]]","[['PROFANE CONTENT', 0.2], ['PAGAN/WICCAN', 0.16], ['OFF-ROAD VEHICLES', 0.09], ['HOBBIES & INTERESTS', 0.06], ['NON-STANDARD CONTENT', 0.06]]",True,21,17,21:59:57.271678
Dylan Marcus Dylan by Holly with I,"[['STYLE AND FASHION', 0.05025723], ['HOBBIES AND INTERESTS', 0.04998249], ['HOME AND GARDEN', 0.04994804], ['TECHNOLOGY AND COMPUTING', 0.04993746], ['SPORTS', 0.04948797]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,22,18,21:59:58.913308
my forest pajamas hill in Holly camera by Marcus on Holly in the cat with Marcus,"[['PETS', 0.06275751], ['HOBBIES AND INTERESTS', 0.05461814], ['ARTS AND ENTERTAINMENT', 0.0522045], ['EDUCATION', 0.05130749], ['BUSINESS', 0.04956849]]","[['CATS', 0.29], ['PETS', 0.09], ['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.06]]",True,23,19,22:00:00.269697
Holly my cat in Holly Holly,"[['PETS', 0.06887706], ['TECHNOLOGY AND COMPUTING', 0.04965549], ['AUTOMOTIVE', 0.04905351], ['HOBBIES AND INTERESTS', 0.0485651], ['EDUCATION', 0.04824885]]","[['CATS', 0.35], ['PETS', 0.07], ['HOBBIES & INTERESTS', 0.07], ['CANDLE & SOAP MAKING', 0.05]]",True,24,20,22:00:01.824023
