Irene began Irene,"[['FOOD AND DRINK', 0.05041491], ['SOCIETY', 0.05013536], ['HEALTH AND FITNESS', 0.04982895], ['STYLE AND FASHION', 0.04961415], ['HOME AND GARDEN', 0.04944665]]","[['HEALTH AND FITNESS', 0.776346], ['SPORTS', 0.0473482], ['RELIGION AND SPIRITUALITY', 0.0339241], ['SOCIETY', 0.031249], ['PERSONAL FINANCE', 0.0265459]]",True,1,1,14:04:48.244663
I an ship James James I outside Stephen by I on James on Stephen,"[['RELIGION AND SPIRITUALITY', 0.05801536], ['TRAVEL', 0.05681146], ['HOBBIES AND INTERESTS', 0.0518416], ['FOOD AND DRINK', 0.04937187], ['AUTOMOTIVE', 0.04857243]]","[['LAW AND GOVERNMENT AND POLITICS', 0.975777], ['HEALTH AND FITNESS', 0.0239807], ['HOBBIES AND INTERESTS', 5.18734e-05], ['RELIGION AND SPIRITUALITY', 3.35199e-05], ['EDUCATION', 1.25848e-05]]",True,2,2,14:04:51.222527
Stephen meant Irene,"[['HEALTH AND FITNESS', 0.05144872], ['ARTS AND ENTERTAINMENT', 0.05057737], ['SOCIETY', 0.04947328], ['PETS', 0.04931289], ['HOME AND GARDEN', 0.04918507]]","[['RELIGION AND SPIRITUALITY', 0.297811], ['SOCIETY', 0.113273], ['REAL ESTATE', 0.0826973], ['HEALTH AND FITNESS', 0.0374345], ['HOBBIES AND INTERESTS', 0.0259507]]",True,3,3,14:04:54.032140
I heard Irene James the with country with I ship in James,"[['TRAVEL', 0.05884397], ['HOBBIES AND INTERESTS', 0.05288127], ['AUTOMOTIVE', 0.05271], ['EDUCATION', 0.05174521], ['ARTS AND ENTERTAINMENT', 0.05146486]]","[['HOBBIES AND INTERESTS', 0.992069], ['TRAVEL', 0.00572671], ['RELIGION AND SPIRITUALITY', 0.000244413], ['NON STANDARD CONTENT', 9.70066e-05], ['SPORTS', 8.21657e-05]]",True,4,4,14:04:56.800704
I heard Irene,"[['SPORTS', 0.05362614], ['HEALTH AND FITNESS', 0.05164081], ['SCIENCE', 0.0504908], ['TECHNOLOGY AND COMPUTING', 0.04944897], ['HOBBIES AND INTERESTS', 0.0491997]]","[['CAREERS', 0.955045], ['RELIGION AND SPIRITUALITY', 0.0377119], ['SPORTS', 0.00168975], ['HEALTH AND FITNESS', 0.00154153], ['ARTS AND ENTERTAINMENT', 0.000307915]]",True,5,5,14:04:59.512757
mountain man Irene James fought James by I with Irene,"[['SPORTS', 0.06721543], ['RELIGION AND SPIRITUALITY', 0.05473665], ['HOBBIES AND INTERESTS', 0.05234294], ['ARTS AND ENTERTAINMENT', 0.05162894], ['SCIENCE', 0.05134973]]","[['RELIGION AND SPIRITUALITY', 0.722569], ['TRAVEL', 0.0284881], ['STYLE AND FASHION', 0.0155615], ['HOBBIES AND INTERESTS', 0.0148258], ['HEALTH AND FITNESS', 0.00610542]]",True,6,6,14:05:02.149712
Stephen caught an monkey by Stephen,"[['SPORTS', 0.05146064], ['TRAVEL', 0.050003], ['FAMILY AND PARENTING', 0.04984786], ['FOOD AND DRINK', 0.04932108], ['BUSINESS', 0.04888867]]","[['SPORTS', 0.183865], ['HOBBIES AND INTERESTS', 0.151951], ['FOOD AND DRINK', 0.107619], ['PETS', 0.0891367], ['NON STANDARD CONTENT', 0.0786126]]",True,7,7,14:05:05.356801
I meant cat an telescope an pajamas country by Irene,"[['PETS', 0.05984872], ['EDUCATION', 0.05380429], ['SCIENCE', 0.05290535], ['ARTS AND ENTERTAINMENT', 0.05200627], ['HOME AND GARDEN', 0.05107373]]","[['HEALTH AND FITNESS', 0.999981], ['SCIENCE', 1.61131e-05], ['PETS', 1.54105e-06], ['NON STANDARD CONTENT', 1.31498e-07], ['FOOD AND DRINK', 6.39601e-08]]",True,8,8,14:05:08.117192
my man my telescope an outside I by telescope in pajamas by man outside Stephen monkey with I pajamas an cat a ship on Irene James Irene pajamas on James,"[['PETS', 0.05978724], ['TRAVEL', 0.05821136], ['RELIGION AND SPIRITUALITY', 0.05530115], ['SCIENCE', 0.05525875], ['HOBBIES AND INTERESTS', 0.05409921]]","[['SCIENCE', 0.998128], ['PETS', 0.00176563], ['SPORTS', 2.81285e-05], ['EDUCATION', 2.71879e-05], ['HOBBIES AND INTERESTS', 4.47855e-06]]",False,9,8,14:05:10.900748
Stephen caught an telescope in Irene with Stephen by Stephen with Stephen outside Irene,"[['SCIENCE', 0.05224287], ['SPORTS', 0.05162974], ['TRAVEL', 0.05093684], ['FOOD AND DRINK', 0.0503222], ['FAMILY AND PARENTING', 0.04969814]]","[['SCIENCE', 0.184728], ['HOBBIES AND INTERESTS', 0.0958652], ['NON STANDARD CONTENT', 0.0552688], ['RELIGION AND SPIRITUALITY', 0.0536342], ['EDUCATION', 0.051969]]",True,10,9,14:05:14.875048
Irene began James,"[['RELIGION AND SPIRITUALITY', 0.05100615], ['SOCIETY', 0.05069748], ['HOME AND GARDEN', 0.05061652], ['FOOD AND DRINK', 0.0499159], ['REAL ESTATE', 0.04922982]]","[['HOBBIES AND INTERESTS', 1.0], ['HEALTH AND FITNESS', 2.22069e-14], ['RELIGION AND SPIRITUALITY', 4.00663e-15], ['ARTS AND ENTERTAINMENT', 2.09333e-15], ['SPORTS', 2.02523e-15]]",True,11,10,14:05:17.641524
the tree by with James ship began I by ship on the pajamas pajamas in James,"[['HOBBIES AND INTERESTS', 0.05734466], ['BUSINESS', 0.05362373], ['RELIGION AND SPIRITUALITY', 0.05308387], ['TRAVEL', 0.05266378], ['SOCIETY', 0.04965757]]","[['TRAVEL', 0.990827], ['SCIENCE', 0.00916893], ['FOOD AND DRINK', 2.89203e-06], ['SPORTS', 1.14191e-06], ['RELIGION AND SPIRITUALITY', 9.76522e-08]]",True,12,11,14:05:20.408011
James meant an cat in Stephen,"[['PETS', 0.06486032], ['ARTS AND ENTERTAINMENT', 0.05005616], ['HOME AND GARDEN', 0.04978189], ['EDUCATION', 0.04954961], ['HOBBIES AND INTERESTS', 0.0494606]]","[['PETS', 1.0], ['NON STANDARD CONTENT', 6.78558e-08], ['SOCIETY', 4.66382e-09], ['SPORTS', 3.94277e-10], ['SCIENCE', 3.00293e-10]]",True,13,12,14:05:23.198041
my country my cat on an man my pajamas Stephen James built James in James,"[['PETS', 0.06134445], ['AUTOMOTIVE', 0.05534097], ['TRAVEL', 0.05533117], ['EDUCATION', 0.05241015], ['HEALTH AND FITNESS', 0.05194039]]","[['PETS', 1.0], ['SCIENCE', 5.7233e-10], ['HOBBIES AND INTERESTS', 2.44711e-12], ['SPORTS', 1.29794e-12], ['CAREERS', 8.53629e-13]]",True,14,13,14:05:25.887037
an man began James,"[['SOCIETY', 0.05230788], ['RELIGION AND SPIRITUALITY', 0.05187634], ['SCIENCE', 0.05075184], ['ARTS AND ENTERTAINMENT', 0.05068883], ['HEALTH AND FITNESS', 0.05055014]]","[['RELIGION AND SPIRITUALITY', 0.528867], ['HOBBIES AND INTERESTS', 0.471133], ['NON STANDARD CONTENT', 3.0558e-14], ['SCIENCE', 1.7311e-14], ['SPORTS', 1.67651e-14]]",True,15,14,14:05:28.676613
Irene built Irene the country James,"[['AUTOMOTIVE', 0.05403432], ['TRAVEL', 0.05292782], ['REAL ESTATE', 0.05152543], ['HOME AND GARDEN', 0.05149184], ['EDUCATION', 0.05042214]]","[['PERSONAL FINANCE', 0.209279], ['TRAVEL', 0.173238], ['BUSINESS', 0.160239], ['HEALTH AND FITNESS', 0.0974854], ['HOBBIES AND INTERESTS', 0.0569683]]",True,16,15,14:05:31.409949
I built I,"[['TECHNOLOGY AND COMPUTING', 0.05504745], ['HOBBIES AND INTERESTS', 0.05141769], ['SPORTS', 0.05114883], ['HOME AND GARDEN', 0.05098018], ['AUTOMOTIVE', 0.0506846]]","[['HOBBIES AND INTERESTS', 0.978491], ['TECHNOLOGY AND COMPUTING', 0.0212754], ['HOME AND GARDEN', 4.55026e-05], ['TRAVEL', 1.20093e-05], ['RELIGION AND SPIRITUALITY', 5.49734e-06]]",False,17,15,14:05:34.235135
Stephen built Irene outside the mountain on Irene,"[['SPORTS', 0.06273256], ['TRAVEL', 0.05228419], ['RELIGION AND SPIRITUALITY', 0.05117119], ['BUSINESS', 0.05011862], ['FAMILY AND PARENTING', 0.05010483]]","[['TRAVEL', 0.398075], ['SPORTS', 0.219321], ['RELIGION AND SPIRITUALITY', 0.16635], ['BUSINESS', 0.0199089], ['HOBBIES AND INTERESTS', 0.0108103]]",False,18,15,14:05:36.993759
my by James meant I,"[['HOBBIES AND INTERESTS', 0.05381861], ['RELIGION AND SPIRITUALITY', 0.05370799], ['HOME AND GARDEN', 0.05316997], ['AUTOMOTIVE', 0.05105085], ['ARTS AND ENTERTAINMENT', 0.05054502]]","[['SOCIETY', 0.98368], ['SCIENCE', 0.00277011], ['RELIGION AND SPIRITUALITY', 0.00272672], ['SPORTS', 0.00125596], ['LAW AND GOVERNMENT AND POLITICS', 0.00105338]]",True,19,16,14:05:39.758195
I fought my ship Stephen Stephen outside an country,"[['TRAVEL', 0.06349984], ['AUTOMOTIVE', 0.05373387], ['HEALTH AND FITNESS', 0.05157787], ['FOOD AND DRINK', 0.05086371], ['RELIGION AND SPIRITUALITY', 0.05054537]]","[['TRAVEL', 0.999999], ['SPORTS', 2.96284e-07], ['HOBBIES AND INTERESTS', 6.21423e-08], ['RELIGION AND SPIRITUALITY', 3.07406e-08], ['NON STANDARD CONTENT', 1.90588e-08]]",True,20,17,14:05:42.593696
a monkey by James fought Stephen my ship Irene,"[['TRAVEL', 0.05520042], ['RELIGION AND SPIRITUALITY', 0.05258243], ['HOBBIES AND INTERESTS', 0.05246877], ['AUTOMOTIVE', 0.05130609], ['HEALTH AND FITNESS', 0.04892096]]","[['TRAVEL', 0.999991], ['HOBBIES AND INTERESTS', 5.91781e-06], ['NON STANDARD CONTENT', 2.02249e-06], ['STYLE AND FASHION', 1.59399e-07], ['RELIGION AND SPIRITUALITY', 1.56474e-07]]",False,21,17,14:05:45.166772
Stephen built Stephen by Stephen,"[['TECHNOLOGY AND COMPUTING', 0.0505915], ['TRAVEL', 0.05041096], ['AUTOMOTIVE', 0.05030387], ['HEALTH AND FITNESS', 0.04965688], ['HOME AND GARDEN', 0.04917529]]","[['EDUCATION', 0.592224], ['HOBBIES AND INTERESTS', 0.144045], ['TRAVEL', 0.0292028], ['RELIGION AND SPIRITUALITY', 0.015919], ['SPORTS', 0.0141173]]",True,22,18,14:05:48.057311
James Stephen an with I outside Irene,"[['RELIGION AND SPIRITUALITY', 0.05915511], ['TRAVEL', 0.05032319], ['FOOD AND DRINK', 0.04938502], ['HEALTH AND FITNESS', 0.04919827], ['HOBBIES AND INTERESTS', 0.04883538]]","[['HOBBIES AND INTERESTS', 0.999565], ['RELIGION AND SPIRITUALITY', 0.000423004], ['REAL ESTATE', 2.88931e-06], ['SPORTS', 1.9447e-06], ['ARTS AND ENTERTAINMENT', 1.03783e-06]]",True,23,19,14:05:50.875554
cat by Irene mountain by I built I,"[['SPORTS', 0.06405391], ['PETS', 0.05883743], ['TECHNOLOGY AND COMPUTING', 0.05446364], ['HOBBIES AND INTERESTS', 0.05166955], ['HOME AND GARDEN', 0.0483776]]","[['HEALTH AND FITNESS', 0.983568], ['SOCIETY', 0.0118986], ['PETS', 0.00453338], ['SPORTS', 1.05102e-07], ['HOBBIES AND INTERESTS', 1.42514e-08]]",False,24,19,14:05:53.588704
James heard Irene on Stephen,"[['RELIGION AND SPIRITUALITY', 0.05204072], ['SCIENCE', 0.05098129], ['HEALTH AND FITNESS', 0.05055118], ['SOCIETY', 0.04971431], ['EDUCATION', 0.04904121]]","[['HEALTH AND FITNESS', 1.0], ['RELIGION AND SPIRITUALITY', 2.66468e-08], ['HOBBIES AND INTERESTS', 5.57396e-10], ['ARTS AND ENTERTAINMENT', 2.94803e-10], ['TRAVEL', 2.21504e-10]]",True,25,20,14:05:56.351330
James my ship Irene a country by I a cat Irene Stephen by Irene,"[['PETS', 0.06060316], ['TRAVEL', 0.05853769], ['HOBBIES AND INTERESTS', 0.05515805], ['AUTOMOTIVE', 0.05278939], ['EDUCATION', 0.05142732]]","[['HEALTH AND FITNESS', 0.906606], ['PETS', 0.0831169], ['TRAVEL', 0.00736043], ['HOBBIES AND INTERESTS', 0.00291564], ['SOCIETY', 3.23394e-07]]",False,26,20,14:05:59.126253
Irene heard I outside I by James,"[['RELIGION AND SPIRITUALITY', 0.05709849], ['SCIENCE', 0.05030429], ['SPORTS', 0.05005463], ['TRAVEL', 0.04995686], ['HOBBIES AND INTERESTS', 0.04936563]]","[['RELIGION AND SPIRITUALITY', 0.423123], ['ARTS AND ENTERTAINMENT', 0.251568], ['NON STANDARD CONTENT', 0.0494725], ['HEALTH AND FITNESS', 0.0444272], ['SOCIETY', 0.0435271]]",True,27,21,14:06:01.939126
an monkey in Irene I Stephen I I on Stephen,"[['TECHNOLOGY AND COMPUTING', 0.05152902], ['HOBBIES AND INTERESTS', 0.05087729], ['SPORTS', 0.05082604], ['TRAVEL', 0.04970127], ['HOME AND GARDEN', 0.04875907]]","[['HEALTH AND FITNESS', 0.999959], ['TECHNOLOGY AND COMPUTING', 6.4531e-06], ['EDUCATION', 4.80002e-06], ['HOBBIES AND INTERESTS', 4.17313e-06], ['NON STANDARD CONTENT', 2.28622e-06]]",True,28,22,14:06:04.353300
I heard a man,"[['SPORTS', 0.05561898], ['HEALTH AND FITNESS', 0.05427543], ['SCIENCE', 0.05278412], ['HOBBIES AND INTERESTS', 0.04998206], ['TRAVEL', 0.04975316]]","[['RELIGION AND SPIRITUALITY', 0.973086], ['CAREERS', 0.000201469], ['SPORTS', 0.000161405], ['EDUCATION', 0.000143166], ['STYLE AND FASHION', 0.000139449]]",True,29,23,14:06:06.753327
the cat fought Irene,"[['PETS', 0.06306011], ['TECHNOLOGY AND COMPUTING', 0.04887144], ['REAL ESTATE', 0.04850536], ['ARTS AND ENTERTAINMENT', 0.04814822], ['SCIENCE', 0.04801279]]","[['PETS', 1.0], ['TRAVEL', 4.03871e-14], ['CAREERS', 5.64567e-15], ['SPORTS', 3.59809e-15], ['HOBBIES AND INTERESTS', 2.42281e-15]]",True,30,24,14:06:09.625247
a by I I I heard I,"[['SPORTS', 0.05535926], ['HEALTH AND FITNESS', 0.05171305], ['HOBBIES AND INTERESTS', 0.05019096], ['SCIENCE', 0.0498112], ['TECHNOLOGY AND COMPUTING', 0.04944653]]","[['CAREERS', 0.819913], ['RELIGION AND SPIRITUALITY', 0.115019], ['HOBBIES AND INTERESTS', 0.0136658], ['TRAVEL', 0.00556154], ['SPORTS', 0.00233942]]",True,31,25,14:06:11.999775
the telescope with Irene began Irene with an ship in my in I James Stephen,"[['HOBBIES AND INTERESTS', 0.05390049], ['TRAVEL', 0.05276126], ['SCIENCE', 0.05222101], ['RELIGION AND SPIRITUALITY', 0.05180174], ['FOOD AND DRINK', 0.0511177]]","[['TRAVEL', 0.750538], ['SCIENCE', 0.100993], ['RELIGION AND SPIRITUALITY', 0.0927119], ['HEALTH AND FITNESS', 0.00887125], ['HOBBIES AND INTERESTS', 0.00635725]]",False,32,25,14:06:14.390731
I man monkey an country by Stephen my telescope Stephen,"[['TRAVEL', 0.05701747], ['HEALTH AND FITNESS', 0.05374022], ['SCIENCE', 0.05221321], ['AUTOMOTIVE', 0.05202532], ['EDUCATION', 0.05142264]]","[['NON STANDARD CONTENT', 0.536182], ['HOBBIES AND INTERESTS', 0.142105], ['SCIENCE', 0.0799677], ['EDUCATION', 0.0457573], ['PETS', 0.0237173]]",True,33,26,14:06:16.990869
an tree on I built I on an pajamas in an cat by James,"[['PETS', 0.05664937], ['HOBBIES AND INTERESTS', 0.05646391], ['TECHNOLOGY AND COMPUTING', 0.05278906], ['BUSINESS', 0.05210535], ['RELIGION AND SPIRITUALITY', 0.05043049]]","[['PETS', 0.811516], ['SCIENCE', 0.186736], ['SPORTS', 0.000422192], ['HOBBIES AND INTERESTS', 7.45009e-05], ['TECHNOLOGY AND COMPUTING', 5.96815e-05]]",False,34,26,14:06:19.356020
Stephen caught my tree with I,"[['TRAVEL', 0.0535828], ['BUSINESS', 0.05291607], ['TECHNOLOGY AND COMPUTING', 0.05255773], ['HOBBIES AND INTERESTS', 0.05188366], ['FAMILY AND PARENTING', 0.05049374]]","[['HOBBIES AND INTERESTS', 0.999995], ['SPORTS', 1.08007e-06], ['RELIGION AND SPIRITUALITY', 3.02993e-07], ['NON STANDARD CONTENT', 2.85939e-07], ['HEALTH AND FITNESS', 8.98361e-08]]",True,35,27,14:06:22.004417
I heard Stephen in I,"[['HEALTH AND FITNESS', 0.05509343], ['SPORTS', 0.05191157], ['TECHNOLOGY AND COMPUTING', 0.04979285], ['SCIENCE', 0.04974459], ['TRAVEL', 0.04921739]]","[['EDUCATION', 0.638307], ['HEALTH AND FITNESS', 0.150929], ['RELIGION AND SPIRITUALITY', 0.149643], ['CAREERS', 0.027129], ['HOBBIES AND INTERESTS', 0.0112762]]",True,36,28,14:06:25.221475
an country fought an monkey by I,"[['SPORTS', 0.05495286], ['TRAVEL', 0.05226403], ['AUTOMOTIVE', 0.05036334], ['FOOD AND DRINK', 0.05021785], ['ARTS AND ENTERTAINMENT', 0.04992457]]","[['LAW AND GOVERNMENT AND POLITICS', 0.8225], ['NON STANDARD CONTENT', 0.0603228], ['SPORTS', 0.0295332], ['TRAVEL', 0.0217009], ['CAREERS', 0.0033739]]",True,37,29,14:06:28.035876
an mountain Stephen I outside the mountain with a telescope in Irene,"[['SPORTS', 0.06475007], ['RELIGION AND SPIRITUALITY', 0.05366323], ['SCIENCE', 0.05224772], ['TRAVEL', 0.04980056], ['HEALTH AND FITNESS', 0.04950743]]","[['SCIENCE', 0.814295], ['SPORTS', 0.178623], ['HOBBIES AND INTERESTS', 0.0025956], ['TRAVEL', 0.000561653], ['RELIGION AND SPIRITUALITY', 0.000349946]]",False,38,29,14:06:30.753848
Irene built James with James,"[['AUTOMOTIVE', 0.05205592], ['HOME AND GARDEN', 0.0508459], ['RELIGION AND SPIRITUALITY', 0.0503016], ['HOBBIES AND INTERESTS', 0.05018239], ['REAL ESTATE', 0.05017734]]","[['RELIGION AND SPIRITUALITY', 0.343769], ['HOME AND GARDEN', 0.245796], ['LAW AND GOVERNMENT AND POLITICS', 0.125324], ['STYLE AND FASHION', 0.0468317], ['TRAVEL', 0.0334072]]",True,39,30,14:06:33.465361
