I started an pajamas with Marcus,"[['HOBBIES AND INTERESTS', 0.05314668], ['SPORTS', 0.05192726], ['STYLE AND FASHION', 0.04967224], ['HOME AND GARDEN', 0.04931498], ['HEALTH AND FITNESS', 0.049193]]","[['FOOD AND DRINK', 0.886284], ['SCIENCE', 0.0969094], ['HOBBIES AND INTERESTS', 0.00371691], ['SPORTS', 0.00342965], ['CAREERS', 0.000286358]]",False,1,0,12:20:04.911644
forest camera started my bus,"[['HOBBIES AND INTERESTS', 0.05811413], ['TECHNOLOGY AND COMPUTING', 0.05444068], ['BUSINESS', 0.05248817], ['TRAVEL', 0.05165584], ['HEALTH AND FITNESS', 0.05056613]]","[['BUSINESS', 0.828408], ['TECHNOLOGY AND COMPUTING', 0.126818], ['ARTS AND ENTERTAINMENT', 0.0131537], ['SPORTS', 0.0116759], ['TRAVEL', 0.00678931]]",False,2,0,12:20:07.949883
Marcus conflicted a camera on Marcus in Marcus,"[['HOBBIES AND INTERESTS', 0.05193706], ['FAMILY AND PARENTING', 0.04926037], ['ARTS AND ENTERTAINMENT', 0.04883563], ['EDUCATION', 0.04871992], ['BUSINESS', 0.04867393]]","[['FOOD AND DRINK', 0.997167], ['TECHNOLOGY AND COMPUTING', 0.00202826], ['HOBBIES AND INTERESTS', 0.000414632], ['HEALTH AND FITNESS', 0.000120066], ['ARTS AND ENTERTAINMENT', 5.87367e-05]]",False,3,0,12:20:10.842251
hill camera conflicted forest with Dylan man,"[['ARTS AND ENTERTAINMENT', 0.05715728], ['HOBBIES AND INTERESTS', 0.05517676], ['BUSINESS', 0.05162092], ['TRAVEL', 0.05107313], ['EDUCATION', 0.0501275]]","[['LAW AND GOVERNMENT AND POLITICS', 0.999998], ['BUSINESS', 1.39259e-06], ['HOBBIES AND INTERESTS', 3.24181e-07], ['TECHNOLOGY AND COMPUTING', 7.4472e-08], ['TRAVEL', 2.38808e-08]]",False,4,0,12:20:13.863464
the cat the camera in the hill an forest in a snake,"[['PETS', 0.06081967], ['HOBBIES AND INTERESTS', 0.05466148], ['ARTS AND ENTERTAINMENT', 0.05462606], ['BUSINESS', 0.05105449], ['EDUCATION', 0.04941688]]","[['PETS', 0.999667], ['HOME AND GARDEN', 0.000326844], ['TECHNOLOGY AND COMPUTING', 5.10976e-06], ['HOBBIES AND INTERESTS', 3.29321e-07], ['BUSINESS', 8.18615e-08]]",False,5,0,12:20:16.629271
I made I by Dylan,"[['HOBBIES AND INTERESTS', 0.05631586], ['FOOD AND DRINK', 0.051896], ['SPORTS', 0.05090937], ['TECHNOLOGY AND COMPUTING', 0.04991306], ['RELIGION AND SPIRITUALITY', 0.04974087]]","[['SHOPPING', 0.440465], ['RELIGION AND SPIRITUALITY', 0.0413417], ['AUTOMOTIVE', 0.0330985], ['HOBBIES AND INTERESTS', 0.0309845], ['SPORTS', 0.0277029]]",False,6,0,12:20:19.394387
Holly captured Marcus,"[['TECHNOLOGY AND COMPUTING', 0.04908059], ['BUSINESS', 0.04898449], ['STYLE AND FASHION', 0.04867804], ['FAMILY AND PARENTING', 0.04855162], ['SCIENCE', 0.04843863]]","[['RELIGION AND SPIRITUALITY', 0.697503], ['ARTS AND ENTERTAINMENT', 0.141882], ['TRAVEL', 0.0354655], ['NON STANDARD CONTENT', 0.0334684], ['HOBBIES AND INTERESTS', 0.0144302]]",True,7,1,12:20:22.160578
Holly started I,"[['HOBBIES AND INTERESTS', 0.05317335], ['TECHNOLOGY AND COMPUTING', 0.05144967], ['SPORTS', 0.05015342], ['RELIGION AND SPIRITUALITY', 0.04991865], ['FOOD AND DRINK', 0.04915899]]","[['HOBBIES AND INTERESTS', 0.585405], ['SPORTS', 0.0716167], ['RELIGION AND SPIRITUALITY', 0.0378315], ['STYLE AND FASHION', 0.0343002], ['SHOPPING', 0.024683]]",False,8,1,12:20:24.877907
Holly captured the bus by the snake Holly Marcus on the pajamas,"[['TECHNOLOGY AND COMPUTING', 0.05315386], ['EDUCATION', 0.05004493], ['HEALTH AND FITNESS', 0.0493897], ['BUSINESS', 0.0492563], ['SOCIETY', 0.04905624]]","[['HOBBIES AND INTERESTS', 0.99976], ['PETS', 0.000129788], ['SCIENCE', 0.000105482], ['TRAVEL', 2.89053e-06], ['FOOD AND DRINK', 8.94872e-07]]",True,9,2,12:20:27.689193
Marcus started Marcus with I,"[['HOBBIES AND INTERESTS', 0.05350841], ['SPORTS', 0.05149444], ['FOOD AND DRINK', 0.05017019], ['TECHNOLOGY AND COMPUTING', 0.0491743], ['HOME AND GARDEN', 0.04871726]]","[['HOBBIES AND INTERESTS', 0.999993], ['HEALTH AND FITNESS', 1.66513e-06], ['FAMILY AND PARENTING', 1.16399e-06], ['CAREERS', 7.6857e-07], ['SPORTS', 5.06147e-07]]",False,10,2,12:20:30.498657
