Thomas thought an by I,"[['TECHNOLOGY AND COMPUTING', 0.05382302], ['SPORTS', 0.05068551], ['HOME AND GARDEN', 0.05020012], ['FOOD AND DRINK', 0.04902443], ['AUTOMOTIVE', 0.04831279]]","[['SCIENCE', 0.310269], ['RELIGION AND SPIRITUALITY', 0.0587937], ['HOBBIES AND INTERESTS', 0.0578897], ['ARTS AND ENTERTAINMENT', 0.0303748], ['HEALTH AND FITNESS', 0.0259604]]",True,1,1,11:59:42.295571
I knew an on I,"[['HOBBIES AND INTERESTS', 0.05385862], ['SPORTS', 0.05112115], ['STYLE AND FASHION', 0.04998934], ['TECHNOLOGY AND COMPUTING', 0.04949731], ['RELIGION AND SPIRITUALITY', 0.04907272]]","[['CAREERS', 0.132896], ['RELIGION AND SPIRITUALITY', 0.119193], ['STYLE AND FASHION', 0.0896773], ['SPORTS', 0.082805], ['HOBBIES AND INTERESTS', 0.0726975]]",False,2,1,11:59:45.729332
business in Thomas an school Thomas my on Thomas Olivia thought Alexander outside I,"[['EDUCATION', 0.05863326], ['BUSINESS', 0.05449313], ['LAW GOVERNMENT AND POLITICS', 0.05188239], ['RELIGION AND SPIRITUALITY', 0.05171734], ['HOBBIES AND INTERESTS', 0.05161183]]","[['SPORTS', 0.497446], ['RELIGION AND SPIRITUALITY', 0.343243], ['CAREERS', 0.0472936], ['EDUCATION', 0.0289808], ['REAL ESTATE', 0.00203974]]",False,3,1,11:59:48.706679
Alexander needed I,"[['HOBBIES AND INTERESTS', 0.05436964], ['TECHNOLOGY AND COMPUTING', 0.05179503], ['ARTS AND ENTERTAINMENT', 0.04984263], ['HOME AND GARDEN', 0.04966162], ['HEALTH AND FITNESS', 0.04963862]]","[['TRAVEL', 0.14429], ['RELIGION AND SPIRITUALITY', 0.0803987], ['HOBBIES AND INTERESTS', 0.0687539], ['SPORTS', 0.0583469], ['EDUCATION', 0.0450606]]",True,4,2,11:59:51.510696
the room on Olivia tried Alexander on Olivia,"[['HOME AND GARDEN', 0.05727738], ['TRAVEL', 0.05150061], ['HOBBIES AND INTERESTS', 0.0512898], ['REAL ESTATE', 0.05110678], ['HEALTH AND FITNESS', 0.0501101]]","[['SPORTS', 0.233594], ['EDUCATION', 0.127422], ['HOBBIES AND INTERESTS', 0.121021], ['CAREERS', 0.0876963], ['HEALTH AND FITNESS', 0.0772732]]",False,5,2,11:59:54.178390
an home by Thomas thought Thomas,"[['HOME AND GARDEN', 0.05702075], ['REAL ESTATE', 0.05590279], ['FAMILY AND PARENTING', 0.05120791], ['HEALTH AND FITNESS', 0.04923224], ['PETS', 0.04903395]]","[['HOBBIES AND INTERESTS', 0.297194], ['SPORTS', 0.0429848], ['HOME AND GARDEN', 0.0396994], ['ARTS AND ENTERTAINMENT', 0.0228916], ['TRAVEL', 0.0227152]]",True,6,3,11:59:57.348014
an room on Alexander needed Thomas by Alexander,"[['HOME AND GARDEN', 0.06051327], ['REAL ESTATE', 0.05096907], ['TECHNOLOGY AND COMPUTING', 0.05082626], ['HOBBIES AND INTERESTS', 0.0506669], ['HEALTH AND FITNESS', 0.04947181]]","[['HEALTH AND FITNESS', 0.477635], ['TRAVEL', 0.172637], ['HOBBIES AND INTERESTS', 0.037915], ['REAL ESTATE', 0.0313121], ['EDUCATION', 0.0252877]]",False,7,3,12:00:00.135806
I needed a school on the room in woman country,"[['EDUCATION', 0.05944672], ['HOME AND GARDEN', 0.05836628], ['ARTS AND ENTERTAINMENT', 0.05219835], ['TRAVEL', 0.05163706], ['HOBBIES AND INTERESTS', 0.05084942]]","[['EDUCATION', 0.999984], ['HOME AND GARDEN', 2.985e-06], ['RELIGION AND SPIRITUALITY', 9.96914e-07], ['CAREERS', 7.54931e-07], ['TRAVEL', 3.49229e-07]]",False,8,3,12:00:03.226033
a woman needed a home,"[['REAL ESTATE', 0.05513477], ['HOME AND GARDEN', 0.05352169], ['RELIGION AND SPIRITUALITY', 0.05148619], ['HEALTH AND FITNESS', 0.04985541], ['ARTS AND ENTERTAINMENT', 0.04935037]]","[['CAREERS', 0.979075], ['ARTS AND ENTERTAINMENT', 0.0158433], ['FAMILY AND PARENTING', 0.00319752], ['HOME AND GARDEN', 0.000367172], ['STYLE AND FASHION', 0.000208562]]",False,9,3,12:00:06.293222
Thomas thought Alexander on an room outside an week with my company I Thomas outside I outside Alexander,"[['HOME AND GARDEN', 0.06141871], ['BUSINESS', 0.05779924], ['TECHNOLOGY AND COMPUTING', 0.05677857], ['HEALTH AND FITNESS', 0.05569106], ['TRAVEL', 0.05089433]]","[['ARTS AND ENTERTAINMENT', 0.15081], ['REAL ESTATE', 0.10107], ['HOBBIES AND INTERESTS', 0.0815642], ['RELIGION AND SPIRITUALITY', 0.0809136], ['STYLE AND FASHION', 0.0512659]]",True,10,4,12:00:09.462053
