Gemma grabbed I,"[['SPORTS', 0.909474], ['RELIGION AND SPIRITUALITY', 0.00450902], ['EDUCATION', 0.00248498], ['STYLE AND FASHION', 0.00218317], ['FOOD AND DRINK', 0.00192333]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,1,1,16:39:25.532093
Gemma apprehended Gary inside the salmon with Gary in Nick,"[['SPORTS', 1.0], ['TECHNOLOGY AND COMPUTING', 1.40725e-08], ['HOBBIES AND INTERESTS', 1.00811e-08], ['AUTOMOTIVE', 1.63185e-09], ['REAL ESTATE', 1.11479e-09]]","[['HOBBIES & INTERESTS', 0.07], ['SCREENWRITING', 0.05]]",True,2,2,16:39:27.358935
I disabled my river near a woman,"[['FAMILY AND PARENTING', 0.620726], ['SPORTS', 0.216493], ['SOCIETY', 0.0126282], ['NON STANDARD CONTENT', 0.00381292], ['REAL ESTATE', 0.00262142]]","[['WEDDINGS', 0.27], ['GARDENING', 0.24], ['FLY FISHING', 0.09], ['SOCIETY', 0.07], ['SPORTS', 0.07]]",False,3,2,16:39:29.301264
an elephant grabbed I by Gemma inside Gary,"[['HEALTH AND FITNESS', 0.999991], ['HOBBIES AND INTERESTS', 1.66671e-06], ['SPORTS', 1.37089e-06], ['STYLE AND FASHION', 5.2072e-07], ['ARTS AND ENTERTAINMENT', 5.16648e-08]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,4,3,16:39:31.399361
Gemma grabbed I,"[['SPORTS', 0.909474], ['RELIGION AND SPIRITUALITY', 0.00450902], ['EDUCATION', 0.00248498], ['STYLE AND FASHION', 0.00218317], ['FOOD AND DRINK', 0.00192333]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,4,3,16:39:33.194909
I spent Gemma inside Gary,"[['CAREERS', 0.902461], ['SPORTS', 0.0584971], ['TRAVEL', 0.0142203], ['HOBBIES AND INTERESTS', 0.00478612], ['HEALTH AND FITNESS', 0.000462774]]","[['HOBBIES & INTERESTS', 0.08], ['SCREENWRITING', 0.05]]",True,5,4,16:39:34.909995
my owl saw Nick by Gary,"[['SPORTS', 0.649394], ['PETS', 0.0925305], ['HOME AND GARDEN', 0.0526586], ['HOBBIES AND INTERESTS', 0.0483259], ['FAMILY AND PARENTING', 0.0255624]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,6,5,16:39:36.948540
I spent my salmon with the owl by Gemma,"[['HEALTH AND FITNESS', 0.999471], ['SPORTS', 0.000527674], ['CAREERS', 6.24502e-07], ['RELIGION AND SPIRITUALITY', 3.13583e-07], ['PETS', 1.61532e-07]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,7,6,16:39:39.073446
Nick disabled Nick on an salmon inside Nick,"[['SPORTS', 0.884875], ['FAMILY AND PARENTING', 3.55024e-05], ['HOBBIES AND INTERESTS', 3.43983e-06], ['BUSINESS', 2.02225e-06], ['TECHNOLOGY AND COMPUTING', 1.5384e-06]]","[['BODY ART', 0.34], ['WEDDINGS', 0.21], ['FLY FISHING', 0.07], ['SOCIETY', 0.06], ['HOBBIES & INTERESTS', 0.06]]",True,8,7,16:39:41.203329
I grabbed an elephant by I,"[['HEALTH AND FITNESS', 0.352179], ['SPORTS', 0.261505], ['HOBBIES AND INTERESTS', 0.070274], ['STYLE AND FASHION', 0.0695449], ['PETS', 0.0169474]]","[['LARGE ANIMALS', 0.48], ['HOBBIES & INTERESTS', 0.08], ['PETS', 0.07], ['BEADWORK', 0.05]]",False,9,7,16:39:43.075997
I saw Nick,"[['ARTS AND ENTERTAINMENT', 0.302425], ['HOBBIES AND INTERESTS', 0.148921], ['RELIGION AND SPIRITUALITY', 0.108309], ['SPORTS', 0.0909674], ['SOCIETY', 0.0243369]]","[['BODY ART', 0.34], ['WEDDINGS', 0.21], ['HOBBIES & INTERESTS', 0.07], ['SOCIETY', 0.06], ['SPORTS', 0.05]]",False,10,7,16:39:44.823523
Gary apprehended I with the lemur on Nick,"[['PETS', 1.0], ['SPORTS', 3.59616e-16], ['RELIGION AND SPIRITUALITY', 3.26986e-16], ['REAL ESTATE', 1.25711e-16], ['HEALTH AND FITNESS', 1.00214e-16]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,11,8,16:39:46.825545
I chased a salmon inside I outside Gemma with I with Nick,"[['SPORTS', 0.982082], ['HOBBIES AND INTERESTS', 0.0177954], ['SCIENCE', 5.33179e-05], ['FOOD AND DRINK', 5.65572e-06], ['HOME AND GARDEN', 4.99759e-06]]","[['BODY ART', 0.35], ['OFF-ROAD VEHICLES', 0.09], ['FLY FISHING', 0.08], ['HOBBIES & INTERESTS', 0.06], ['SPORTS', 0.05]]",False,12,8,16:39:48.893789
an river near Nick grabbed the river near an owl inside Nick,"[['RELIGION AND SPIRITUALITY', 0.517004], ['SOCIETY', 0.338093], ['SPORTS', 0.13635], ['TRAVEL', 0.000949268], ['BUSINESS', 5.43081e-05]]","[['GARDENING', 0.19], ['WATERSKI/WAKEBOARD', 0.08], ['SPORTS', 0.06], ['HOBBIES & INTERESTS', 0.06], ['BIRDWATCHING', 0.06]]",False,13,8,16:39:50.754341
a river by Gary apprehended I in my lemur in Gary,"[['PETS', 0.53474], ['SPORTS', 0.411747], ['REAL ESTATE', 0.00886872], ['RELIGION AND SPIRITUALITY', 0.0022273], ['HOBBIES AND INTERESTS', 0.0017074]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.06]]",True,14,9,16:39:52.570705
Nick spent Gary with Nick,"[['HOBBIES AND INTERESTS', 0.810867], ['SPORTS', 0.052794], ['FAMILY AND PARENTING', 0.0438294], ['HEALTH AND FITNESS', 0.0160139], ['REAL ESTATE', 0.0132787]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,15,10,16:39:54.386471
Nick chased I in Gary,"[['TRAVEL', 1.0], ['HEALTH AND FITNESS', 3.51838e-11], ['ARTS AND ENTERTAINMENT', 3.49826e-11], ['REAL ESTATE', 1.38564e-11], ['SPORTS', 1.30079e-11]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,16,11,16:39:56.252879
Gemma spent the salmon in Gary inside Nick,"[['SPORTS', 1.0], ['HOBBIES AND INTERESTS', 5.84826e-14], ['REAL ESTATE', 1.54699e-14], ['FOOD AND DRINK', 1.40286e-14], ['TECHNOLOGY AND COMPUTING', 4.23821e-15]]","[['HOBBIES & INTERESTS', 0.07], ['SCREENWRITING', 0.05]]",True,17,12,16:39:58.082851
Gary grabbed Gemma on Nick,"[['SPORTS', 0.842756], ['TECHNOLOGY AND COMPUTING', 0.00113344], ['EDUCATION', 0.000753184], ['RELIGION AND SPIRITUALITY', 0.000658828], ['ARTS AND ENTERTAINMENT', 0.000482353]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,18,13,16:39:59.975224
Gary spent a gibbon,"[['LAW AND GOVERNMENT AND POLITICS', 0.545496], ['SPORTS', 0.249256], ['RELIGION AND SPIRITUALITY', 0.142084], ['HEALTH AND FITNESS', 0.00731522], ['HOBBIES AND INTERESTS', 0.00621418]]","[['HOBBIES & INTERESTS', 0.08], ['FREELANCE WRITING', 0.05]]",True,19,14,16:40:01.805825
Gary spent an owl,"[['RELIGION AND SPIRITUALITY', 1.0], ['PETS', 5.63778e-12], ['BUSINESS', 3.98993e-12], ['HEALTH AND FITNESS', 1.9802e-12], ['REAL ESTATE', 1.53336e-12]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,20,15,16:40:03.774399
Gemma apprehended Gary on Nick,"[['RELIGION AND SPIRITUALITY', 0.36655], ['SPORTS', 0.267235], ['REAL ESTATE', 0.16023], ['HEALTH AND FITNESS', 0.0803876], ['LAW AND GOVERNMENT AND POLITICS', 0.0372456]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,21,16,16:40:05.706073
a lemur in Gemma grabbed Nick outside I,"[['PETS', 0.989034], ['SPORTS', 0.00925946], ['RELIGION AND SPIRITUALITY', 0.000378708], ['SOCIETY', 3.8635e-05], ['HOBBIES AND INTERESTS', 2.20646e-05]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,22,17,16:40:07.685555
my lemur grabbed the baboon on I with an woman in I,"[['EDUCATION', 0.995937], ['PETS', 0.00403385], ['SOCIETY', 6.50544e-06], ['RELIGION AND SPIRITUALITY', 5.22023e-06], ['SCIENCE', 2.6459e-06]]","[['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.05]]",True,23,18,16:40:09.852544
my salmon damaged Gary on Gemma in Nick,"[['SPORTS', 0.99999], ['HOBBIES AND INTERESTS', 6.55936e-06], ['HEALTH AND FITNESS', 1.37047e-06], ['NON STANDARD CONTENT', 5.25993e-07], ['SOCIETY', 3.62096e-07]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,24,19,16:40:11.956202
