James Stephen Irene with Stephen outside I with my ship I an mountain in Irene,"[['TRAVEL', 0.983625], ['RELIGION AND SPIRITUALITY', 0.0150253], ['PETS', 0.000217714], ['HOBBIES AND INTERESTS', 4.98657e-05], ['EDUCATION', 4.07533e-05]]","[['SPORTS', 0.07], ['HOBBIES & INTERESTS', 0.06], ['BIRDWATCHING', 0.06], ['FLY FISHING', 0.04]]",True,1,1,13:56:15.754945
I fought James outside I,"[['SPORTS', 1.0], ['CAREERS', 3.3933e-09], ['NON STANDARD CONTENT', 2.58056e-09], ['RELIGION AND SPIRITUALITY', 1.96929e-09], ['HEALTH AND FITNESS', 6.01733e-10]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.22], ['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.07], ['NON-STANDARD CONTENT', 0.06], ['BEADWORK', 0.06]]",True,2,2,13:56:17.812069
my cat began Irene in Stephen in I,"[['TRAVEL', 0.994405], ['PETS', 0.00553577], ['NON STANDARD CONTENT', 4.73194e-05], ['ARTS AND ENTERTAINMENT', 2.8664e-06], ['SPORTS', 2.82558e-06]]","[['CATS', 0.52], ['PETS', 0.14]]",False,3,2,13:56:19.689071
Stephen I I with Irene,"[['RELIGION AND SPIRITUALITY', 0.913312], ['HEALTH AND FITNESS', 0.0437185], ['STYLE AND FASHION', 0.0248769], ['PETS', 0.00458325], ['HOBBIES AND INTERESTS', 0.00188517]]","[['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.05]]",True,4,3,13:56:21.927202
I heard an mountain in Stephen in James,"[['NON STANDARD CONTENT', 0.638187], ['TRAVEL', 0.10914], ['SPORTS', 0.0675324], ['RELIGION AND SPIRITUALITY', 0.0194794], ['SCIENCE', 0.0185202]]","[['MOUNTAIN BIKING', 0.14], ['SPORTS', 0.09]]",False,5,3,13:56:23.590324
Irene meant I Stephen James in James by mountain with an tree mountain in Stephen,"[['HOME AND GARDEN', 0.987452], ['SPORTS', 0.00339357], ['RELIGION AND SPIRITUALITY', 0.00207105], ['NON STANDARD CONTENT', 0.00197704], ['SCIENCE', 0.000636952]]","[['MOUNTAIN BIKING', 0.12], ['SPORTS', 0.1]]",False,6,3,13:56:25.737639
Irene built the monkey I a telescope,"[['SCIENCE', 0.999764], ['AUTOMOTIVE', 4.46734e-05], ['HOBBIES AND INTERESTS', 2.7316e-05], ['TECHNOLOGY AND COMPUTING', 2.13524e-05], ['RELIGION AND SPIRITUALITY', 1.50461e-05]]","[['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.05]]",True,7,4,13:56:27.619798
James heard Stephen,"[['EDUCATION', 0.800605], ['HEALTH AND FITNESS', 0.163579], ['RELIGION AND SPIRITUALITY', 0.0265015], ['HOBBIES AND INTERESTS', 0.00373149], ['TRAVEL', 0.00176149]]","[['HUMOR', 0.2], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.19], ['ARTS & ENTERTAINMENT', 0.06], ['SPORTS', 0.06], ['HOBBIES & INTERESTS', 0.06]]",True,8,5,13:56:29.563463
telescope by James pajamas fought Irene,"[['SCIENCE', 0.993129], ['HOBBIES AND INTERESTS', 0.000716451], ['TECHNOLOGY AND COMPUTING', 5.56814e-05], ['FOOD AND DRINK', 5.0231e-05], ['CAREERS', 4.95907e-05]]","[['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['BEADWORK', 0.05], ['WATERSKI/WAKEBOARD', 0.05]]",True,9,6,13:56:31.605326
I a by James with mountain Stephen an cat telescope an telescope outside mountain mountain,"[['SCIENCE', 0.5631], ['SPORTS', 0.379747], ['HOBBIES AND INTERESTS', 0.0361587], ['PETS', 0.00823375], ['EDUCATION', 0.00307528]]","[['MOUNTAIN BIKING', 0.2], ['SPORTS', 0.1]]",False,10,6,13:56:33.439260
my ship fought my pajamas on I,"[['TRAVEL', 1.0], ['SCIENCE', 2.9007e-07], ['SPORTS', 1.21975e-08], ['CAREERS', 4.83268e-10], ['STYLE AND FASHION', 1.43252e-10]]","[['CRUISES', 0.1], ['TRAVEL', 0.07], ['HOBBIES & INTERESTS', 0.07], ['BEADWORK', 0.05]]",True,11,7,13:56:35.483960
