Thomas looked I,"[['EDUCATION', 0.956824], ['HEALTH AND FITNESS', 0.0179687], ['REAL ESTATE', 0.00545635], ['STYLE AND FASHION', 0.00141179], ['HOBBIES AND INTERESTS', 0.000908951]]","[['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['JEWELRY MAKING', 0.05], ['WATERSKI/WAKEBOARD', 0.04]]",True,1,1,13:57:40.012676
I thought Alexander,"[['EDUCATION', 0.393702], ['STYLE AND FASHION', 0.150674], ['RELIGION AND SPIRITUALITY', 0.119169], ['HEALTH AND FITNESS', 0.026428], ['SPORTS', 0.0238408]]","[['WEDDINGS', 0.31], ['PROFANE CONTENT', 0.2], ['ATHEISM/AGNOSTICISM', 0.16], ['HOBBIES & INTERESTS', 0.07], ['SOCIETY', 0.06]]",True,2,2,13:57:41.788590
Alexander stood Olivia,"[['CAREERS', 0.677353], ['TRAVEL', 0.0436832], ['RELIGION AND SPIRITUALITY', 0.0286896], ['SOCIETY', 0.0235259], ['EDUCATION', 0.0201398]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,3,3,13:57:43.862200
a woman with Alexander needed a company I Thomas outside school home by a week with an school with Olivia in Olivia,"[['HOBBIES AND INTERESTS', 0.133109], ['CAREERS', 0.132607], ['EDUCATION', 0.109749], ['ARTS AND ENTERTAINMENT', 0.0639439], ['FAMILY AND PARENTING', 0.0335569]]","[['TEENS', 0.24], ['HOMESCHOOLING', 0.09], ['EDUCATION', 0.06], ['HOBBIES & INTERESTS', 0.06], ['SOCIETY', 0.05]]",False,4,3,13:57:46.181156
a home by the woman outside Thomas needed Thomas Thomas woman with I home by my country with I outside I,"[['HOBBIES AND INTERESTS', 0.995403], ['SOCIETY', 0.0043956], ['EDUCATION', 1.6218e-05], ['FAMILY AND PARENTING', 7.04974e-06], ['SCIENCE', 4.0136e-06]]","[['WEDDINGS', 0.25], ['GARDENING', 0.24], ['PROFANE CONTENT', 0.2], ['CHRISTIANITY', 0.16], ['NON-STANDARD CONTENT', 0.06]]",True,5,4,13:57:48.070289
the business Olivia week with I I Alexander on I needed Olivia,"[['STYLE AND FASHION', 0.880648], ['HOBBIES AND INTERESTS', 0.11921], ['HOME AND GARDEN', 5.02078e-05], ['PERSONAL FINANCE', 1.94672e-05], ['CAREERS', 1.13742e-05]]","[['GREEN SOLUTIONS', 0.13], ['BUSINESS', 0.09]]",True,6,5,13:57:49.891128
Alexander thought a business with company I Alexander business outside I school country Alexander I Alexander on I in Olivia,"[['CAREERS', 0.326257], ['TRAVEL', 0.068696], ['EDUCATION', 0.0509316], ['PERSONAL FINANCE', 0.0464175], ['REAL ESTATE', 0.0209334]]","[['BUSINESS SOFTWARE', 0.14], ['BUSINESS', 0.12]]",True,7,6,13:57:51.735058
Thomas needed Alexander,"[['HEALTH AND FITNESS', 0.254409], ['HOBBIES AND INTERESTS', 0.104863], ['RELIGION AND SPIRITUALITY', 0.0800401], ['LAW AND GOVERNMENT AND POLITICS', 0.0471487], ['ARTS AND ENTERTAINMENT', 0.0460857]]","[['WEDDINGS', 0.28], ['PROFANE CONTENT', 0.2], ['HOBBIES & INTERESTS', 0.07], ['NON-STANDARD CONTENT', 0.06], ['SOCIETY', 0.05]]",True,8,7,13:57:53.802143
Olivia Alexander Alexander,"[['CAREERS', 0.269957], ['EDUCATION', 0.210157], ['SCIENCE', 0.154789], ['RELIGION AND SPIRITUALITY', 0.119611], ['HOBBIES AND INTERESTS', 0.0260031]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,9,8,13:57:55.500047
a in an woman Alexander I in I needed Alexander,"[['SOCIETY', 0.358964], ['RELIGION AND SPIRITUALITY', 0.22755], ['TRAVEL', 0.0229065], ['HOBBIES AND INTERESTS', 0.0190963], ['REAL ESTATE', 0.0189303]]","[['ACCESSORIES', 0.34], ['WEDDINGS', 0.31], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.19], ['SOCIETY', 0.07], ['HOBBIES & INTERESTS', 0.06]]",False,10,8,13:57:57.354099
Alexander thought Alexander with a company with Alexander,"[['AUTOMOTIVE', 0.617407], ['RELIGION AND SPIRITUALITY', 0.0400347], ['HEALTH AND FITNESS', 0.0396111], ['STYLE AND FASHION', 0.0326349], ['TRAVEL', 0.0262275]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,11,9,13:57:59.203698
the school outside business on Alexander school tried Thomas an woman I,"[['EDUCATION', 0.381114], ['CAREERS', 0.218529], ['RELIGION AND SPIRITUALITY', 0.00511246], ['REAL ESTATE', 0.00184268], ['SPORTS', 0.000478455]]","[['EDUCATION', 0.11], ['HOMESCHOOLING', 0.09]]",False,12,9,13:58:01.040562
an woman outside Olivia stood Olivia by Alexander,"[['SCIENCE', 0.999888], ['SOCIETY', 0.000112285], ['CAREERS', 7.03651e-09], ['ARTS AND ENTERTAINMENT', 3.25855e-09], ['RELIGION AND SPIRITUALITY', 9.18719e-10]]","[['BODY ART', 0.37], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['HOBBIES & INTERESTS', 0.07], ['STYLE & FASHION', 0.06], ['NON-STANDARD CONTENT', 0.05]]",True,13,10,13:58:02.886314
Olivia knew I outside Thomas,"[['SPORTS', 0.696848], ['CAREERS', 0.00186472], ['RELIGION AND SPIRITUALITY', 0.000699716], ['ARTS AND ENTERTAINMENT', 0.000597807], ['TRAVEL', 0.000523777]]","[['PROFANE CONTENT', 0.2], ['HOBBIES & INTERESTS', 0.07], ['NON-STANDARD CONTENT', 0.06], ['JEWELRY MAKING', 0.06], ['SPORTS', 0.06]]",False,14,10,13:58:04.523893
Olivia knew the room on Thomas,"[['SPORTS', 0.999977], ['TRAVEL', 2.09127e-06], ['CAREERS', 1.68432e-07], ['REAL ESTATE', 1.32483e-07], ['HOBBIES AND INTERESTS', 9.30196e-08]]","[['BODY ART', 0.37], ['PROFANE CONTENT', 0.21], ['GARDENING', 0.21], ['STYLE & FASHION', 0.06], ['NON-STANDARD CONTENT', 0.06]]",True,15,11,13:58:06.381676
Thomas needed Thomas by Thomas,"[['SPORTS', 0.338557], ['HEALTH AND FITNESS', 0.0879993], ['LAW AND GOVERNMENT AND POLITICS', 0.0547798], ['HOBBIES AND INTERESTS', 0.0489041], ['AUTOMOTIVE', 0.0372171]]","[['PROFANE CONTENT', 0.21], ['HOBBIES & INTERESTS', 0.07], ['NON-STANDARD CONTENT', 0.06], ['JEWELRY MAKING', 0.06]]",True,16,12,13:58:08.253270
I needed a school with Thomas on Olivia,"[['HOBBIES AND INTERESTS', 0.231266], ['EDUCATION', 0.190552], ['CAREERS', 0.0874901], ['SPORTS', 0.0525198], ['RELIGION AND SPIRITUALITY', 0.0500797]]","[['HOMESCHOOLING', 0.09], ['HOBBIES & INTERESTS', 0.07], ['EDUCATION', 0.06], ['CIGARS', 0.05]]",False,17,12,13:58:10.199147
Thomas Thomas the business in Olivia,"[['BUSINESS', 0.124161], ['EDUCATION', 0.111165], ['REAL ESTATE', 0.0841824], ['TRAVEL', 0.0770924], ['CAREERS', 0.0445539]]","[['BUSINESS SOFTWARE', 0.15], ['BUSINESS', 0.11]]",False,18,12,13:58:11.981002
