my hedgehog caught Elise by Steve,"[['SPORTS', 0.05600811], ['AUTOMOTIVE', 0.05102464], ['FOOD AND DRINK', 0.04985575], ['PETS', 0.04937368], ['FAMILY AND PARENTING', 0.04904471]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,1,1,23:45:54.398054
an fish outside an squirrel caught Steve on a binoculars on Elise,"[['SPORTS', 0.06881024], ['FOOD AND DRINK', 0.05419667], ['PETS', 0.05404646], ['RELIGION AND SPIRITUALITY', 0.05138948], ['FAMILY AND PARENTING', 0.04887]]","[['AQUARIUMS', 0.58], ['PETS', 0.17]]",False,2,1,23:45:55.921123
I injured the squirrel,"[['SPORTS', 0.0522381], ['TECHNOLOGY AND COMPUTING', 0.05065346], ['HOBBIES AND INTERESTS', 0.05039885], ['ARTS AND ENTERTAINMENT', 0.04944091], ['FOOD AND DRINK', 0.04880391]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,3,2,23:45:57.446673
my monkey injured Elise in an man in a binoculars,"[['HEALTH AND FITNESS', 0.0530309], ['TRAVEL', 0.05049452], ['SCIENCE', 0.05039783], ['SOCIETY', 0.04962236], ['RELIGION AND SPIRITUALITY', 0.0493969]]","[['PROFANE CONTENT', 0.21], ['HOBBIES & INTERESTS', 0.07], ['NON-STANDARD CONTENT', 0.06], ['SPORTS', 0.06], ['BIRDWATCHING', 0.05]]",True,4,3,23:45:58.998128
an lawn injured Steve,"[['HOME AND GARDEN', 0.05884437], ['HEALTH AND FITNESS', 0.05211671], ['SPORTS', 0.04896254], ['PERSONAL FINANCE', 0.04881312], ['SOCIETY', 0.04849814]]","[['LANDSCAPING', 0.25], ['HOME & GARDEN', 0.09]]",True,5,4,23:46:00.406081
I captured Elise on Steve,"[['SPORTS', 0.05489101], ['TECHNOLOGY AND COMPUTING', 0.05301046], ['HOBBIES AND INTERESTS', 0.0517189], ['HEALTH AND FITNESS', 0.04994123], ['AUTOMOTIVE', 0.04903879]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,6,5,23:46:02.344731
the monkey by the fish with a hedgehog captured I by a lawn with Elise,"[['HOME AND GARDEN', 0.05859123], ['PETS', 0.05282465], ['FOOD AND DRINK', 0.05229865], ['TECHNOLOGY AND COMPUTING', 0.05080098], ['SPORTS', 0.05001866]]","[['AQUARIUMS', 0.55], ['PETS', 0.11]]",False,7,5,23:46:03.892631
a binoculars captured an monkey outside the man,"[['TRAVEL', 0.05340861], ['HEALTH AND FITNESS', 0.05197645], ['RELIGION AND SPIRITUALITY', 0.05184114], ['SPORTS', 0.05159576], ['SCIENCE', 0.05115128]]","[['PROFANE CONTENT', 0.2], ['NON-STANDARD CONTENT', 0.07], ['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,8,6,23:46:05.432293
Steve wounded Steve,"[['SPORTS', 0.05433921], ['HEALTH AND FITNESS', 0.0501554], ['BUSINESS', 0.04808935], ['AUTOMOTIVE', 0.0480654], ['HOBBIES AND INTERESTS', 0.04785739]]","[['HOBBIES & INTERESTS', 0.09], ['SCRAPBOOKING', 0.05]]",True,9,7,23:46:06.953569
a squirrel near Steve viewed Mark with I,"[['SPORTS', 0.05854754], ['HOBBIES AND INTERESTS', 0.0531232], ['AUTOMOTIVE', 0.0502997], ['TECHNOLOGY AND COMPUTING', 0.04930323], ['HOME AND GARDEN', 0.04857463]]","[['HOBBIES & INTERESTS', 0.08], ['SPORTS', 0.07], ['BIRDWATCHING', 0.05], ['WATERSKI/WAKEBOARD', 0.04]]",True,10,8,23:46:08.531373
Mark injured a fish near I by Mark,"[['SPORTS', 0.05749665], ['PETS', 0.05468719], ['FOOD AND DRINK', 0.05354451], ['RELIGION AND SPIRITUALITY', 0.05161921], ['HOBBIES AND INTERESTS', 0.0506402]]","[['AQUARIUMS', 0.58], ['PETS', 0.18]]",False,11,8,23:46:10.389663
an man near I went Elise near Elise,"[['ARTS AND ENTERTAINMENT', 0.05479924], ['SCIENCE', 0.05294702], ['HEALTH AND FITNESS', 0.0510333], ['TRAVEL', 0.05092089], ['AUTOMOTIVE', 0.05037618]]","[['PROFANE CONTENT', 0.3], ['HOBBIES & INTERESTS', 0.07], ['NON-STANDARD CONTENT', 0.06], ['BIRDWATCHING', 0.05]]",True,12,9,23:46:11.884763
Mark wounded I with Steve,"[['SPORTS', 0.06046394], ['HOBBIES AND INTERESTS', 0.05251509], ['AUTOMOTIVE', 0.05034161], ['TECHNOLOGY AND COMPUTING', 0.04986281], ['HEALTH AND FITNESS', 0.04827999]]","[['HOBBIES & INTERESTS', 0.08], ['SPORTS', 0.07], ['BIRDWATCHING', 0.05], ['FLY FISHING', 0.05]]",True,13,10,23:46:13.408073
a lawn ran I outside the binoculars outside Steve with Mark outside an binoculars,"[['HOME AND GARDEN', 0.0562912], ['SPORTS', 0.05532529], ['TRAVEL', 0.05211983], ['RELIGION AND SPIRITUALITY', 0.05083953], ['HOBBIES AND INTERESTS', 0.05064133]]","[['LANDSCAPING', 0.27], ['HOBBIES & INTERESTS', 0.07], ['HOME & GARDEN', 0.06], ['BIRDWATCHING', 0.05]]",True,14,11,23:46:14.946093
Mark ran the giraffe in an squirrel,"[['HOBBIES AND INTERESTS', 0.05222684], ['SPORTS', 0.04942247], ['TRAVEL', 0.04897981], ['AUTOMOTIVE', 0.04884931], ['REAL ESTATE', 0.04884517]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,15,12,23:46:16.491625
an fish in I injured my man,"[['SPORTS', 0.05818601], ['PETS', 0.05394548], ['RELIGION AND SPIRITUALITY', 0.05330172], ['FOOD AND DRINK', 0.05154311], ['HOBBIES AND INTERESTS', 0.05098527]]","[['AQUARIUMS', 0.73], ['PETS', 0.31]]",False,16,12,23:46:18.115377
