Alexander looked school Alexander Alexander company by I,"[['BUSINESS', 0.05597529], ['EDUCATION', 0.05306787], ['STYLE AND FASHION', 0.05281549], ['HOBBIES AND INTERESTS', 0.05138952], ['HOME AND GARDEN', 0.0506613]]","[['HOBBIES & INTERESTS', 0.07], ['SCREENWRITING', 0.05]]",True,1,1,11:21:26.087599
school country on Thomas tried a school outside Olivia,"[['EDUCATION', 0.06390708], ['FAMILY AND PARENTING', 0.05370907], ['BUSINESS', 0.05149898], ['HEALTH AND FITNESS', 0.05134142], ['TRAVEL', 0.05122807]]","[['EDUCATION', 0.12], ['HOMESCHOOLING', 0.1]]",False,2,1,11:21:27.668543
I thought an woman on an country by I Alexander home room on Alexander,"[['HOME AND GARDEN', 0.06696805], ['TRAVEL', 0.05883274], ['REAL ESTATE', 0.05645707], ['RELIGION AND SPIRITUALITY', 0.05393597], ['ARTS AND ENTERTAINMENT', 0.05332655]]","[['ACCESSORIES', 0.36], ['WEDDINGS', 0.32], ['PROFANE CONTENT', 0.19], ['SOCIETY', 0.07], ['STYLE & FASHION', 0.07]]",True,3,2,11:21:29.169738
I an school in Thomas Thomas,"[['EDUCATION', 0.05852175], ['FAMILY AND PARENTING', 0.05268602], ['TECHNOLOGY AND COMPUTING', 0.05237063], ['SPORTS', 0.0507954], ['HOME AND GARDEN', 0.05044072]]","[['HOBBIES & INTERESTS', 0.08], ['CIGARS', 0.06]]",True,4,3,11:21:30.849670
I knew Alexander my week Alexander Olivia an business on a company,"[['BUSINESS', 0.063281], ['LAW GOVERNMENT AND POLITICS', 0.05875252], ['HOBBIES AND INTERESTS', 0.05621481], ['TECHNOLOGY AND COMPUTING', 0.05432183], ['HOME AND GARDEN', 0.04981137]]","[['BUSINESS SOFTWARE', 0.13], ['BUSINESS', 0.13]]",False,5,3,11:21:32.351276
Alexander I Olivia on Olivia,"[['HOBBIES AND INTERESTS', 0.05408115], ['TECHNOLOGY AND COMPUTING', 0.05111693], ['SPORTS', 0.04996239], ['STYLE AND FASHION', 0.04955932], ['HOME AND GARDEN', 0.04875916]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,6,4,11:21:33.875730
Alexander Thomas I by Alexander,"[['TECHNOLOGY AND COMPUTING', 0.05409571], ['HOBBIES AND INTERESTS', 0.05293365], ['SPORTS', 0.0504168], ['HOME AND GARDEN', 0.04986473], ['HEALTH AND FITNESS', 0.04979759]]","[['HOBBIES & INTERESTS', 0.07], ['BEADWORK', 0.05]]",True,7,5,11:21:35.375237
I needed Thomas on a school with I with an room by country school with Thomas,"[['HOME AND GARDEN', 0.06396165], ['EDUCATION', 0.06366928], ['ARTS AND ENTERTAINMENT', 0.04993807], ['HOBBIES AND INTERESTS', 0.04984858], ['FAMILY AND PARENTING', 0.04974542]]","[['HOMESCHOOLING', 0.09], ['EDUCATION', 0.09]]",False,8,5,11:21:36.838579
Alexander thought Olivia with school Thomas a company room outside Olivia,"[['BUSINESS', 0.06241419], ['HOME AND GARDEN', 0.05937285], ['EDUCATION', 0.05481167], ['REAL ESTATE', 0.05166702], ['HEALTH AND FITNESS', 0.05143035]]","[['ACCESSORIES', 0.37], ['HOBBIES & INTERESTS', 0.06], ['STYLE & FASHION', 0.05], ['CIGARS', 0.05]]",True,9,6,11:21:38.267581
Olivia stood a business with my school with Thomas on business on I business outside Olivia outside Alexander,"[['EDUCATION', 0.0607935], ['HOBBIES AND INTERESTS', 0.05538014], ['BUSINESS', 0.05383577], ['LAW GOVERNMENT AND POLITICS', 0.05211201], ['TECHNOLOGY AND COMPUTING', 0.0514629]]","[['BUSINESS SOFTWARE', 0.29], ['BUSINESS', 0.26]]",False,10,6,11:21:39.697387
