the pajamas in Bob ate Mary with my dog outside John by Bob,"[['PETS', 0.06468452], ['EDUCATION', 0.05418155], ['HEALTH AND FITNESS', 0.05195642], ['ARTS AND ENTERTAINMENT', 0.05172465], ['BUSINESS', 0.05044384]]","[['SCIENCE', 0.48063], ['ARTS AND ENTERTAINMENT', 0.470676], ['FOOD AND DRINK', 0.0432409], ['SPORTS', 0.00413349], ['PETS', 0.000145893]]",True,1,1,14:12:24.703017
John ate Mary with Bob,"[['ARTS AND ENTERTAINMENT', 0.05363973], ['SPORTS', 0.05317478], ['EDUCATION', 0.05101235], ['BUSINESS', 0.05067849], ['LAW GOVERNMENT AND POLITICS', 0.05057066]]","[['HEALTH AND FITNESS', 0.662556], ['HOBBIES AND INTERESTS', 0.0925963], ['FOOD AND DRINK', 0.0687258], ['SPORTS', 0.0354317], ['TRAVEL', 0.0281685]]",True,2,2,14:12:27.468061
I wounded Bob on John,"[['SPORTS', 0.05929144], ['ARTS AND ENTERTAINMENT', 0.05398038], ['LAW GOVERNMENT AND POLITICS', 0.0497484], ['HOBBIES AND INTERESTS', 0.04804799], ['EDUCATION', 0.04777853]]","[['TRAVEL', 0.999942], ['SPORTS', 1.6193e-05], ['HOBBIES AND INTERESTS', 2.88414e-06], ['ARTS AND ENTERTAINMENT', 2.67974e-06], ['CAREERS', 1.96949e-06]]",False,3,2,14:12:29.824230
Mary wounded I in my cat in Bob,"[['PETS', 0.06853157], ['HEALTH AND FITNESS', 0.05175954], ['TECHNOLOGY AND COMPUTING', 0.05175515], ['SPORTS', 0.05106527], ['HOBBIES AND INTERESTS', 0.0505479]]","[['PETS', 1.0], ['ARTS AND ENTERTAINMENT', 1.85322e-09], ['SPORTS', 4.87165e-10], ['NON STANDARD CONTENT', 3.38967e-10], ['CAREERS', 2.86447e-10]]",True,4,3,14:12:32.261058
my elephant in Mary killed a man by I,"[['RELIGION AND SPIRITUALITY', 0.05413029], ['HOBBIES AND INTERESTS', 0.05363245], ['HEALTH AND FITNESS', 0.05281324], ['TRAVEL', 0.05158238], ['SCIENCE', 0.0506964]]","[['HOBBIES AND INTERESTS', 0.355792], ['SPORTS', 0.316691], ['RELIGION AND SPIRITUALITY', 0.096241], ['ARTS AND ENTERTAINMENT', 0.0389846], ['SOCIETY', 0.015824]]",True,5,4,14:12:34.644445
I ate John with John,"[['SPORTS', 0.05448238], ['FOOD AND DRINK', 0.05091159], ['ARTS AND ENTERTAINMENT', 0.05074044], ['EDUCATION', 0.0504449], ['TECHNOLOGY AND COMPUTING', 0.04950037]]","[['SOCIETY', 1.0], ['EDUCATION', 2.2928e-09], ['RELIGION AND SPIRITUALITY', 1.02137e-09], ['HOBBIES AND INTERESTS', 9.72417e-10], ['FOOD AND DRINK', 9.3584e-10]]",True,6,5,14:12:36.992328
I walked Bob in Mary,"[['SPORTS', 0.05451825], ['ARTS AND ENTERTAINMENT', 0.05319883], ['TECHNOLOGY AND COMPUTING', 0.05139565], ['STYLE AND FASHION', 0.04924066], ['HOBBIES AND INTERESTS', 0.04838727]]","[['SPORTS', 0.84731], ['HEALTH AND FITNESS', 0.135351], ['HOBBIES AND INTERESTS', 0.0105171], ['LAW AND GOVERNMENT AND POLITICS', 0.000805131], ['RELIGION AND SPIRITUALITY', 5.45645e-05]]",True,7,6,14:12:39.441985
I saw Bob outside John,"[['SPORTS', 0.06179251], ['ARTS AND ENTERTAINMENT', 0.05288593], ['HEALTH AND FITNESS', 0.05109984], ['EDUCATION', 0.05087938], ['BUSINESS', 0.0505312]]","[['SPORTS', 0.285098], ['NON STANDARD CONTENT', 0.26072], ['ARTS AND ENTERTAINMENT', 0.0884183], ['HOBBIES AND INTERESTS', 0.0874046], ['RELIGION AND SPIRITUALITY', 0.0198833]]",True,8,7,14:12:42.232642
John ate John in I,"[['SPORTS', 0.05288809], ['ARTS AND ENTERTAINMENT', 0.051302], ['FOOD AND DRINK', 0.05122021], ['EDUCATION', 0.05046479], ['LAW GOVERNMENT AND POLITICS', 0.04943471]]","[['RELIGION AND SPIRITUALITY', 0.517455], ['FOOD AND DRINK', 0.328125], ['HOBBIES AND INTERESTS', 0.0266359], ['NON STANDARD CONTENT', 0.00542427], ['TRAVEL', 0.00442414]]",True,9,8,14:12:44.892000
Mary wounded Mary,"[['HEALTH AND FITNESS', 0.04949212], ['ARTS AND ENTERTAINMENT', 0.04914624], ['BUSINESS', 0.04910616], ['SCIENCE', 0.04878505], ['RELIGION AND SPIRITUALITY', 0.04867104]]","[['CAREERS', 0.415113], ['TRAVEL', 0.283038], ['PETS', 0.0401321], ['SPORTS', 0.0357122], ['NON STANDARD CONTENT', 0.0166669]]",True,10,9,14:12:47.743479
a dog with John saw an man by John by Mary outside Mary outside Bob,"[['ARTS AND ENTERTAINMENT', 0.05742678], ['PETS', 0.0552612], ['EDUCATION', 0.05371808], ['BUSINESS', 0.05352007], ['SPORTS', 0.05283533]]","[['PETS', 0.999013], ['HOBBIES AND INTERESTS', 0.000264436], ['TRAVEL', 0.000185149], ['FOOD AND DRINK', 7.3019e-05], ['SPORTS', 2.6416e-05]]",True,11,10,14:12:50.586254
John shot I,"[['SPORTS', 0.06019522], ['ARTS AND ENTERTAINMENT', 0.05049495], ['TECHNOLOGY AND COMPUTING', 0.04989761], ['LAW GOVERNMENT AND POLITICS', 0.049624], ['RELIGION AND SPIRITUALITY', 0.04836261]]","[['SPORTS', 0.982222], ['SOCIETY', 0.017778], ['HOBBIES AND INTERESTS', 1.87295e-15], ['NON STANDARD CONTENT', 7.6409e-16], ['ARTS AND ENTERTAINMENT', 4.02182e-16]]",True,12,11,14:12:52.932125
an cat in an man shot my telescope with Mary,"[['PETS', 0.06076978], ['HEALTH AND FITNESS', 0.05588585], ['SCIENCE', 0.05472166], ['SPORTS', 0.0498775], ['TECHNOLOGY AND COMPUTING', 0.04970815]]","[['PETS', 0.725061], ['SPORTS', 0.274939], ['SCIENCE', 8.43456e-08], ['HOBBIES AND INTERESTS', 1.68751e-08], ['NON STANDARD CONTENT', 6.28528e-09]]",False,13,11,14:12:55.742450
I walked I with Mary,"[['TECHNOLOGY AND COMPUTING', 0.05251723], ['ARTS AND ENTERTAINMENT', 0.05091133], ['HOBBIES AND INTERESTS', 0.04980781], ['RELIGION AND SPIRITUALITY', 0.04939731], ['SPORTS', 0.04926691]]","[['RELIGION AND SPIRITUALITY', 0.655514], ['HEALTH AND FITNESS', 0.080949], ['PETS', 0.0616761], ['SPORTS', 0.0500642], ['HOBBIES AND INTERESTS', 0.0157495]]",False,14,11,14:12:58.494356
I shot I on John in a cat,"[['PETS', 0.05929123], ['SPORTS', 0.05811522], ['TECHNOLOGY AND COMPUTING', 0.05071586], ['ARTS AND ENTERTAINMENT', 0.05053886], ['LAW GOVERNMENT AND POLITICS', 0.04898207]]","[['PETS', 0.934543], ['SPORTS', 0.0654568], ['TRAVEL', 5.10299e-09], ['HOBBIES AND INTERESTS', 1.54235e-09], ['RELIGION AND SPIRITUALITY', 9.80077e-11]]",True,15,12,14:13:01.353611
I saw an man by John outside John,"[['SPORTS', 0.05787372], ['ARTS AND ENTERTAINMENT', 0.05310253], ['EDUCATION', 0.05279527], ['HEALTH AND FITNESS', 0.05277762], ['RELIGION AND SPIRITUALITY', 0.05154866]]","[['HOBBIES AND INTERESTS', 0.33573], ['RELIGION AND SPIRITUALITY', 0.13782], ['SPORTS', 0.0605099], ['ARTS AND ENTERTAINMENT', 0.0280304], ['SOCIETY', 0.0158396]]",False,16,12,14:13:04.081874
an elephant by John ate Bob in John,"[['SPORTS', 0.05507347], ['ARTS AND ENTERTAINMENT', 0.05188179], ['EDUCATION', 0.05077312], ['LAW GOVERNMENT AND POLITICS', 0.05071106], ['BUSINESS', 0.04946051]]","[['HEALTH AND FITNESS', 0.566514], ['SPORTS', 0.202854], ['LAW AND GOVERNMENT AND POLITICS', 0.0104667], ['HOBBIES AND INTERESTS', 0.00718673], ['FOOD AND DRINK', 0.0060322]]",True,17,13,14:13:06.796205
I wounded Mary,"[['TECHNOLOGY AND COMPUTING', 0.05165436], ['HOBBIES AND INTERESTS', 0.05046542], ['ARTS AND ENTERTAINMENT', 0.05009306], ['SPORTS', 0.05000135], ['RELIGION AND SPIRITUALITY', 0.04908138]]","[['CAREERS', 0.439353], ['TRAVEL', 0.195458], ['PETS', 0.0960963], ['SPORTS', 0.0559104], ['NON STANDARD CONTENT', 0.0400773]]",True,18,14,14:13:09.557555
the elephant saw Mary on a elephant outside John,"[['HEALTH AND FITNESS', 0.05308865], ['EDUCATION', 0.05238312], ['BUSINESS', 0.05201767], ['RELIGION AND SPIRITUALITY', 0.05153836], ['ARTS AND ENTERTAINMENT', 0.05046482]]","[['SPORTS', 0.999811], ['HEALTH AND FITNESS', 0.000147766], ['HOBBIES AND INTERESTS', 3.02764e-05], ['PETS', 3.85673e-06], ['FOOD AND DRINK', 2.68792e-06]]",True,19,15,14:13:12.323437
John ate I,"[['SPORTS', 0.0530281], ['ARTS AND ENTERTAINMENT', 0.05133814], ['FOOD AND DRINK', 0.05125586], ['EDUCATION', 0.05034465], ['LAW GOVERNMENT AND POLITICS', 0.04939778]]","[['FOOD AND DRINK', 0.174997], ['NON STANDARD CONTENT', 0.145322], ['RELIGION AND SPIRITUALITY', 0.1336], ['TRAVEL', 0.0244973], ['STYLE AND FASHION', 0.0238805]]",True,20,16,14:13:15.089207
a dog with Bob walked I,"[['PETS', 0.05782021], ['ARTS AND ENTERTAINMENT', 0.05329963], ['SPORTS', 0.05184486], ['AUTOMOTIVE', 0.04980489], ['HOBBIES AND INTERESTS', 0.04973972]]","[['PETS', 1.0], ['SPORTS', 3.09412e-08], ['HOBBIES AND INTERESTS', 9.06021e-11], ['TRAVEL', 4.56785e-11], ['FOOD AND DRINK', 4.15615e-11]]",False,21,16,14:13:17.855061
Bob killed John in John,"[['LAW GOVERNMENT AND POLITICS', 0.05326254], ['SPORTS', 0.05304564], ['BUSINESS', 0.05079322], ['ARTS AND ENTERTAINMENT', 0.05019424], ['EDUCATION', 0.04946799]]","[['RELIGION AND SPIRITUALITY', 1.0], ['HOBBIES AND INTERESTS', 2.0295e-10], ['SPORTS', 1.71185e-11], ['NON STANDARD CONTENT', 8.01522e-12], ['PERSONAL FINANCE', 2.50443e-12]]",True,22,17,14:13:20.695472
Mary wounded Bob,"[['SPORTS', 0.05198453], ['ARTS AND ENTERTAINMENT', 0.05134483], ['BUSINESS', 0.05082677], ['HEALTH AND FITNESS', 0.05022152], ['STYLE AND FASHION', 0.04934662]]","[['SPORTS', 0.318746], ['CAREERS', 0.133242], ['HOBBIES AND INTERESTS', 0.0671168], ['TRAVEL', 0.0511604], ['ARTS AND ENTERTAINMENT', 0.05096]]",True,23,18,14:13:23.137011
an park saw I in Mary,"[['HOBBIES AND INTERESTS', 0.0552734], ['TRAVEL', 0.05218537], ['SPORTS', 0.05192928], ['HEALTH AND FITNESS', 0.05052034], ['ARTS AND ENTERTAINMENT', 0.05026209]]","[['HOBBIES AND INTERESTS', 0.95552], ['TRAVEL', 0.0018489], ['SPORTS', 0.000816111], ['CAREERS', 0.000252338], ['EDUCATION', 0.000238508]]",False,24,18,14:13:25.843833
Bob shot John on my cat outside my park,"[['PETS', 0.06771744], ['SPORTS', 0.06313454], ['TRAVEL', 0.05773106], ['HEALTH AND FITNESS', 0.05371816], ['ARTS AND ENTERTAINMENT', 0.04899777]]","[['ARTS AND ENTERTAINMENT', 0.996173], ['PETS', 0.00381294], ['SPORTS', 4.55215e-06], ['HOBBIES AND INTERESTS', 7.3158e-07], ['SOCIETY', 7.30455e-07]]",False,25,18,14:13:28.610533
Mary shot John,"[['SPORTS', 0.05468059], ['ARTS AND ENTERTAINMENT', 0.05070937], ['LAW GOVERNMENT AND POLITICS', 0.05060713], ['BUSINESS', 0.05042928], ['HEALTH AND FITNESS', 0.0502864]]","[['ARTS AND ENTERTAINMENT', 0.99953], ['HEALTH AND FITNESS', 0.000469624], ['SPORTS', 1.59812e-13], ['TRAVEL', 2.08975e-14], ['REAL ESTATE', 1.40967e-14]]",False,26,18,14:13:31.374838
John shot I,"[['SPORTS', 0.06019522], ['ARTS AND ENTERTAINMENT', 0.05049495], ['TECHNOLOGY AND COMPUTING', 0.04989761], ['LAW GOVERNMENT AND POLITICS', 0.049624], ['RELIGION AND SPIRITUALITY', 0.04836261]]","[['SPORTS', 0.982222], ['SOCIETY', 0.017778], ['HOBBIES AND INTERESTS', 1.87295e-15], ['NON STANDARD CONTENT', 7.6409e-16], ['ARTS AND ENTERTAINMENT', 4.02182e-16]]",True,26,18,14:13:34.202411
Bob saw I on an telescope by my cat,"[['PETS', 0.0672867], ['HOBBIES AND INTERESTS', 0.05472122], ['SPORTS', 0.05170252], ['SCIENCE', 0.05142785], ['AUTOMOTIVE', 0.04953227]]","[['PETS', 0.831527], ['SCIENCE', 0.159289], ['HOBBIES AND INTERESTS', 0.00352101], ['NON STANDARD CONTENT', 0.00174836], ['ARTS AND ENTERTAINMENT', 0.00169884]]",False,27,18,14:13:37.249339
John wounded John on John,"[['SPORTS', 0.05132533], ['LAW GOVERNMENT AND POLITICS', 0.05057364], ['ARTS AND ENTERTAINMENT', 0.05028281], ['EDUCATION', 0.04988781], ['PERSONAL FINANCE', 0.04931535]]","[['TRAVEL', 0.999154], ['SPORTS', 9.98979e-05], ['HOBBIES AND INTERESTS', 2.61257e-05], ['RELIGION AND SPIRITUALITY', 2.11226e-05], ['CAREERS', 1.95562e-05]]",True,28,19,14:13:39.649899
Bob ate Bob with Bob,"[['SPORTS', 0.05319208], ['ARTS AND ENTERTAINMENT', 0.05000814], ['BUSINESS', 0.04951554], ['FOOD AND DRINK', 0.049075], ['PETS', 0.04903974]]","[['SPORTS', 0.452721], ['HEALTH AND FITNESS', 0.171395], ['HOBBIES AND INTERESTS', 0.0538618], ['HOME AND GARDEN', 0.036499], ['FOOD AND DRINK', 0.0259927]]",True,29,20,14:13:42.793409
Bob wounded an park outside John with I in my dog outside my cat,"[['PETS', 0.08458631], ['SPORTS', 0.05407953], ['TRAVEL', 0.05389977], ['ARTS AND ENTERTAINMENT', 0.05164229], ['EDUCATION', 0.0503395]]","[['ARTS AND ENTERTAINMENT', 0.691496], ['SOCIETY', 0.154535], ['TRAVEL', 0.0871016], ['PETS', 0.0567068], ['HOBBIES AND INTERESTS', 0.00261957]]",False,30,20,14:13:45.506628
the dog in an park walked my cat by Bob,"[['PETS', 0.08397568], ['TRAVEL', 0.055077], ['AUTOMOTIVE', 0.05071144], ['ARTS AND ENTERTAINMENT', 0.0501001], ['EDUCATION', 0.04834828]]","[['PETS', 0.95852], ['SPORTS', 2.13111e-07], ['ARTS AND ENTERTAINMENT', 2.00449e-07], ['HOBBIES AND INTERESTS', 9.53934e-08], ['NON STANDARD CONTENT', 6.03476e-09]]",True,31,21,14:13:48.313920
I ate I outside Bob,"[['SPORTS', 0.05949513], ['FOOD AND DRINK', 0.05109605], ['TRAVEL', 0.05011787], ['ARTS AND ENTERTAINMENT', 0.05011432], ['HEALTH AND FITNESS', 0.04968321]]","[['FOOD AND DRINK', 0.0970996], ['RELIGION AND SPIRITUALITY', 0.0843662], ['STYLE AND FASHION', 0.0492232], ['NON STANDARD CONTENT', 0.0397716], ['HOME AND GARDEN', 0.0285928]]",True,32,22,14:13:50.708304
Bob killed an dog with I outside I outside Mary,"[['PETS', 0.05736887], ['RELIGION AND SPIRITUALITY', 0.05335048], ['ARTS AND ENTERTAINMENT', 0.05129601], ['BUSINESS', 0.05078155], ['SPORTS', 0.04945242]]","[['PETS', 0.991421], ['HOBBIES AND INTERESTS', 0.00848954], ['FOOD AND DRINK', 7.07973e-06], ['TRAVEL', 5.89804e-06], ['RELIGION AND SPIRITUALITY', 5.01922e-06]]",True,33,23,14:13:53.100306
Bob shot the man with Bob on I with I,"[['SPORTS', 0.06826965], ['ARTS AND ENTERTAINMENT', 0.05259591], ['TRAVEL', 0.05131312], ['HEALTH AND FITNESS', 0.05060682], ['TECHNOLOGY AND COMPUTING', 0.04970615]]","[['HOBBIES AND INTERESTS', 0.932824], ['SPORTS', 0.0408925], ['HEALTH AND FITNESS', 0.0163425], ['ARTS AND ENTERTAINMENT', 0.00102758], ['TRAVEL', 0.000643809]]",False,34,23,14:13:55.658193
my cat shot an cat,"[['PETS', 0.06730956], ['SPORTS', 0.05077852], ['TECHNOLOGY AND COMPUTING', 0.05004736], ['HEALTH AND FITNESS', 0.04973559], ['TRAVEL', 0.04916705]]","[['PETS', 1.0], ['HOBBIES AND INTERESTS', 2.00553e-12], ['ARTS AND ENTERTAINMENT', 3.68247e-13], ['SPORTS', 3.57239e-13], ['HEALTH AND FITNESS', 1.43194e-13]]",False,35,23,14:13:58.658803
