James built Stephen by a ship in an man with James by an country with an tree with James outside Irene,"[['TRAVEL', 0.06725535], ['BUSINESS', 0.06264878], ['RELIGION AND SPIRITUALITY', 0.05541618], ['HOBBIES AND INTERESTS', 0.05174056], ['EDUCATION', 0.05065738]]","[['SPORTS', 0.665109], ['TRAVEL', 0.230701], ['HOBBIES AND INTERESTS', 0.00833225], ['RELIGION AND SPIRITUALITY', 0.00432047], ['SCIENCE', 0.00387342]]",False,1,0,20:25:14.707841
James built Stephen by a ship in an man with James by an country with my tree with James outside Irene,"[['TRAVEL', 0.06989886], ['BUSINESS', 0.05970161], ['RELIGION AND SPIRITUALITY', 0.05715057], ['AUTOMOTIVE', 0.0538151], ['HOBBIES AND INTERESTS', 0.05283015]]","[['SPORTS', 0.62664], ['TRAVEL', 0.276846], ['SCIENCE', 0.0105871], ['HOBBIES AND INTERESTS', 0.00848673], ['RELIGION AND SPIRITUALITY', 0.00803003]]",False,2,0,20:25:20.362744
James built Stephen by a ship in an man with James on an country with my tree with James outside Irene,"[['TRAVEL', 0.06989886], ['BUSINESS', 0.05970161], ['RELIGION AND SPIRITUALITY', 0.05715057], ['AUTOMOTIVE', 0.0538151], ['HOBBIES AND INTERESTS', 0.05283015]]","[['LAW AND GOVERNMENT AND POLITICS', 0.801535], ['SPORTS', 0.144067], ['TRAVEL', 0.0420067], ['SCIENCE', 0.00169212], ['HOBBIES AND INTERESTS', 0.000933426]]",True,3,1,20:25:25.612347
James heard Stephen by a ship in an man with James on an country with my tree with James outside Irene,"[['TRAVEL', 0.06779656], ['BUSINESS', 0.06032986], ['RELIGION AND SPIRITUALITY', 0.0586292], ['EDUCATION', 0.05452518], ['HEALTH AND FITNESS', 0.05416302]]","[['LAW AND GOVERNMENT AND POLITICS', 0.910918], ['SPORTS', 0.0692697], ['TRAVEL', 0.0104376], ['RELIGION AND SPIRITUALITY', 0.00222442], ['SCIENCE', 0.000266984]]",True,4,2,20:25:30.949763
James heard Stephen by a ship in an man with James on an country with my tree with James on Irene,"[['TRAVEL', 0.06420122], ['BUSINESS', 0.0579989], ['EDUCATION', 0.05463459], ['HOBBIES AND INTERESTS', 0.05406535], ['RELIGION AND SPIRITUALITY', 0.0537941]]","[['LAW AND GOVERNMENT AND POLITICS', 0.999999], ['TRAVEL', 2.41233e-07], ['RELIGION AND SPIRITUALITY', 5.26926e-08], ['SPORTS', 1.45247e-08], ['HOBBIES AND INTERESTS', 8.58098e-09]]",False,5,2,20:25:36.337948
James heard Stephen by a ship in an man with James with an country with my tree with James outside Irene,"[['TRAVEL', 0.06779656], ['BUSINESS', 0.06032986], ['RELIGION AND SPIRITUALITY', 0.0586292], ['EDUCATION', 0.05452518], ['HEALTH AND FITNESS', 0.05416302]]","[['SPORTS', 0.682774], ['TRAVEL', 0.106637], ['RELIGION AND SPIRITUALITY', 0.0632732], ['SCIENCE', 0.00891143], ['STYLE AND FASHION', 0.00715004]]",True,6,3,20:25:41.328032
James heard Stephen by my ship in an man with James with an country with my tree with James outside Irene,"[['TRAVEL', 0.06779656], ['BUSINESS', 0.06032986], ['RELIGION AND SPIRITUALITY', 0.0586292], ['EDUCATION', 0.05452518], ['HEALTH AND FITNESS', 0.05416302]]","[['TRAVEL', 0.997179], ['SPORTS', 0.00183347], ['RELIGION AND SPIRITUALITY', 0.000341277], ['ARTS AND ENTERTAINMENT', 7.78699e-05], ['NON STANDARD CONTENT', 6.78555e-05]]",True,7,4,20:25:46.583845
James built Stephen by my ship in an man with James with an country with my tree with James outside Irene,"[['TRAVEL', 0.06989886], ['BUSINESS', 0.05970161], ['RELIGION AND SPIRITUALITY', 0.05715057], ['AUTOMOTIVE', 0.0538151], ['HOBBIES AND INTERESTS', 0.05283015]]","[['TRAVEL', 0.998751], ['SPORTS', 0.000997438], ['SCIENCE', 6.78745e-05], ['RELIGION AND SPIRITUALITY', 1.93751e-05], ['ARTS AND ENTERTAINMENT', 1.5113e-05]]",True,8,5,20:25:51.872334
James built Irene by my ship in an man with James with an country with my tree with James outside Irene,"[['TRAVEL', 0.06880413], ['BUSINESS', 0.0592691], ['RELIGION AND SPIRITUALITY', 0.0569844], ['AUTOMOTIVE', 0.05417422], ['HOBBIES AND INTERESTS', 0.05396205]]","[['TRAVEL', 0.998522], ['SPORTS', 0.00110394], ['SCIENCE', 6.6069e-05], ['CAREERS', 4.09811e-05], ['ARTS AND ENTERTAINMENT', 3.61484e-05]]",True,9,6,20:25:57.711580
James built Irene by my ship in an cat with James with an country with my tree with James outside Irene,"[['TRAVEL', 0.06433289], ['BUSINESS', 0.0587112], ['PETS', 0.05780511], ['HOBBIES AND INTERESTS', 0.05398671], ['RELIGION AND SPIRITUALITY', 0.05362672]]","[['TRAVEL', 0.97785], ['PETS', 0.0214872], ['SPORTS', 0.000486396], ['SCIENCE', 4.75615e-05], ['ARTS AND ENTERTAINMENT', 1.21289e-05]]",True,10,7,20:26:02.883103
James built Irene by my ship in an cat with James with an country by my tree with James outside Irene,"[['TRAVEL', 0.06433289], ['BUSINESS', 0.0587112], ['PETS', 0.05780511], ['HOBBIES AND INTERESTS', 0.05398671], ['RELIGION AND SPIRITUALITY', 0.05362672]]","[['TRAVEL', 0.980744], ['PETS', 0.0187372], ['SPORTS', 0.00038908], ['ARTS AND ENTERTAINMENT', 1.68968e-05], ['SCIENCE', 1.60042e-05]]",True,11,8,20:26:09.058399
