Mark caught Elise on the binoculars with Steve on Elise,"[['HOBBIES AND INTERESTS', 0.999991], ['PERSONAL FINANCE', 6.48601e-06], ['TECHNOLOGY AND COMPUTING', 9.66014e-07], ['AUTOMOTIVE', 7.01081e-07], ['SOCIETY', 1.50687e-07]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,1,1,16:00:41.253110
my monkey on I viewed I,"[['HOBBIES AND INTERESTS', 0.999485], ['FAMILY AND PARENTING', 0.000514656], ['NON STANDARD CONTENT', 4.96036e-13], ['TRAVEL', 1.91414e-13], ['ARTS AND ENTERTAINMENT', 1.90752e-13]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,2,2,16:00:42.885142
my giraffe captured the fish in Steve on I,"[['SPORTS', 0.849897], ['PETS', 0.000566497], ['FOOD AND DRINK', 0.000129792], ['SOCIETY', 6.88935e-05], ['AUTOMOTIVE', 1.7243e-05]]","[['AQUARIUMS', 0.62], ['PETS', 0.2]]",False,3,2,16:00:44.613999
a fish went my monkey outside an squirrel in my lawn with Steve,"[['FAMILY AND PARENTING', 0.99992], ['SPORTS', 7.11329e-05], ['PETS', 3.45479e-06], ['FOOD AND DRINK', 2.24321e-06], ['HOME AND GARDEN', 3.2453e-07]]","[['AQUARIUMS', 0.56], ['PETS', 0.15]]",False,4,2,16:00:46.424753
Steve captured Mark on an binoculars on an giraffe near Elise,"[['AUTOMOTIVE', 0.877719], ['HOBBIES AND INTERESTS', 0.12096], ['TECHNOLOGY AND COMPUTING', 0.000390061], ['SPORTS', 0.000326323], ['TRAVEL', 8.7201e-06]]","[['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['BIRDWATCHING', 0.05], ['WATERSKI/WAKEBOARD', 0.04]]",True,5,3,16:00:48.223974
my monkey caught the lawn,"[['TECHNOLOGY AND COMPUTING', 0.632949], ['SPORTS', 0.14512], ['TRAVEL', 0.0676058], ['HOME AND GARDEN', 0.0542166], ['NON STANDARD CONTENT', 0.0272764]]","[['LANDSCAPING', 0.25], ['HOME & GARDEN', 0.08], ['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,6,4,16:00:49.934653
a hedgehog injured an squirrel in Elise,"[['SCIENCE', 0.999998], ['HOBBIES AND INTERESTS', 4.15774e-07], ['SPORTS', 4.1273e-07], ['FOOD AND DRINK', 2.52232e-07], ['PETS', 2.01039e-07]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,7,5,16:00:51.882156
Elise viewed Steve by my monkey in Elise on an hedgehog near Mark,"[['HOBBIES AND INTERESTS', 0.590285], ['TECHNOLOGY AND COMPUTING', 0.128496], ['SOCIETY', 0.0244034], ['NON STANDARD CONTENT', 0.0161703], ['SPORTS', 0.014721]]","[['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['BIRDWATCHING', 0.05], ['WATERSKI/WAKEBOARD', 0.04]]",True,8,6,16:00:53.690578
Steve captured Elise near Elise,"[['AUTOMOTIVE', 0.999998], ['HOBBIES AND INTERESTS', 2.02094e-06], ['SPORTS', 1.42264e-07], ['REAL ESTATE', 3.65519e-08], ['STYLE AND FASHION', 1.21749e-08]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,9,7,16:00:55.370719
Mark viewed Mark,"[['RELIGION AND SPIRITUALITY', 0.180047], ['ILLEGAL CONTENT', 0.140985], ['FOOD AND DRINK', 0.0661317], ['FAMILY AND PARENTING', 0.065657], ['PETS', 0.0520823]]","[['SPORTS', 0.08], ['WATERSKI/WAKEBOARD', 0.04]]",True,10,8,16:00:57.192039
an giraffe caught I in the squirrel with Elise,"[['PETS', 0.9721], ['HOBBIES AND INTERESTS', 0.0234601], ['SPORTS', 0.00250661], ['FOOD AND DRINK', 0.00101971], ['STYLE AND FASHION', 0.00012859]]","[['BIRDS', 0.2], ['HOBBIES & INTERESTS', 0.08], ['PETS', 0.06], ['BIRDWATCHING', 0.05]]",True,11,9,16:00:59.286974
Elise viewed Elise by Steve,"[['SOCIETY', 1.0], ['HOBBIES AND INTERESTS', 7.7095e-11], ['TECHNOLOGY AND COMPUTING', 1.31041e-11], ['AUTOMOTIVE', 7.47442e-13], ['HEALTH AND FITNESS', 4.5009e-13]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,12,10,16:01:01.165011
Mark viewed Elise in Mark near Mark on Mark in Elise on Elise,"[['HOBBIES AND INTERESTS', 0.806445], ['AUTOMOTIVE', 0.0641829], ['SOCIETY', 0.0452877], ['TECHNOLOGY AND COMPUTING', 0.0139087], ['REAL ESTATE', 0.01039]]","[['SPORTS', 0.07], ['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05], ['WATERSKI/WAKEBOARD', 0.04]]",True,13,11,16:01:02.944759
Mark viewed Elise on Elise,"[['HOBBIES AND INTERESTS', 0.833811], ['AUTOMOTIVE', 0.0879861], ['TECHNOLOGY AND COMPUTING', 0.0286682], ['SOCIETY', 0.0245812], ['HEALTH AND FITNESS', 0.020393]]","[['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['BIRDWATCHING', 0.05], ['WATERSKI/WAKEBOARD', 0.05]]",True,14,12,16:01:04.762666
Mark went I near my hedgehog,"[['TECHNOLOGY AND COMPUTING', 1.0], ['HOBBIES AND INTERESTS', 3.56172e-10], ['HEALTH AND FITNESS', 2.15168e-10], ['TRAVEL', 8.35996e-11], ['SPORTS', 8.32239e-11]]","[['REMODELING & CONSTRUCTION', 0.2], ['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['HOME & GARDEN', 0.06], ['BIRDWATCHING', 0.05]]",True,15,13,16:01:06.614892
I ran Steve near Steve,"[['TRAVEL', 0.745999], ['TECHNOLOGY AND COMPUTING', 0.207849], ['SPORTS', 0.0209405], ['BUSINESS', 0.00103274], ['HOBBIES AND INTERESTS', 0.000379301]]","[['HOBBIES & INTERESTS', 0.08], ['SCRAPBOOKING', 0.05]]",True,16,14,16:01:08.650436
I went Mark,"[['TRAVEL', 0.690343], ['HOBBIES AND INTERESTS', 0.262421], ['HEALTH AND FITNESS', 0.0183877], ['SPORTS', 0.00926863], ['RELIGION AND SPIRITUALITY', 0.00101762]]","[['SPORTS', 0.08], ['FLY FISHING', 0.04]]",False,17,14,16:01:10.348045
the hedgehog on Steve went Elise,"[['SPORTS', 0.997152], ['TECHNOLOGY AND COMPUTING', 0.00201086], ['HOBBIES AND INTERESTS', 0.000203207], ['SOCIETY', 3.07501e-05], ['PERSONAL FINANCE', 1.95281e-05]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,18,15,16:01:12.083420
