I meant I,"[['NON STANDARD CONTENT', 0.9331], ['ARTS AND ENTERTAINMENT', 0.0637403], ['HOME AND GARDEN', 0.000568268], ['HOBBIES AND INTERESTS', 0.000405887], ['RELIGION AND SPIRITUALITY', 0.000103025]]","[['HOME REPAIR', 0.2], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['HOBBIES & INTERESTS', 0.07], ['HOME & GARDEN', 0.06], ['NON-STANDARD CONTENT', 0.06]]",True,1,1,16:55:57.756814
a pajamas with the country with Irene heard Irene outside monkey in James ship by Irene,"[['HEALTH AND FITNESS', 0.999341], ['SPORTS', 0.000653601], ['SCIENCE', 4.66748e-06], ['TRAVEL', 1.02076e-07], ['FOOD AND DRINK', 5.59362e-08]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['HOBBIES & INTERESTS', 0.06], ['UNITED KINGDOM', 0.06], ['TRAVEL', 0.06], ['NON-STANDARD CONTENT', 0.05]]",True,2,2,16:55:59.447914
an mountain James I Irene James with James,"[['STYLE AND FASHION', 0.353969], ['RELIGION AND SPIRITUALITY', 0.0937394], ['HOME AND GARDEN', 0.0772564], ['TRAVEL', 0.0386772], ['SPORTS', 0.0232121]]","[['SPORTS', 0.09], ['MOUNTAIN BIKING', 0.06]]",False,3,2,16:56:01.273742
James caught Stephen outside my country outside James,"[['HOBBIES AND INTERESTS', 0.262786], ['RELIGION AND SPIRITUALITY', 0.129968], ['SPORTS', 0.0700344], ['NON STANDARD CONTENT', 0.0564393], ['CAREERS', 0.0490499]]","[['BOOKS & LITERATURE', 0.22], ['SPORTS', 0.07], ['PRO BASKETBALL', 0.06], ['HOBBIES & INTERESTS', 0.06], ['ARTS & ENTERTAINMENT', 0.06]]",True,4,3,16:56:02.897942
Irene meant Stephen Stephen I,"[['ARTS AND ENTERTAINMENT', 0.998974], ['RELIGION AND SPIRITUALITY', 0.000258721], ['HOBBIES AND INTERESTS', 0.000185652], ['SOCIETY', 4.23593e-05], ['EDUCATION', 3.15548e-05]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['NON-STANDARD CONTENT', 0.05], ['NEEDLEWORK', 0.05]]",True,5,4,16:56:04.571311
James caught Irene,"[['SPORTS', 0.787788], ['TRAVEL', 0.00257445], ['HOBBIES AND INTERESTS', 0.00118466], ['LAW AND GOVERNMENT AND POLITICS', 0.000847461], ['ARTS AND ENTERTAINMENT', 0.000592097]]","[['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['BEADWORK', 0.05], ['FRESHWATER FISHING', 0.04]]",True,6,5,16:56:06.417293
I caught Stephen,"[['SPORTS', 0.436554], ['RELIGION AND SPIRITUALITY', 0.211128], ['TECHNOLOGY AND COMPUTING', 0.118894], ['HOBBIES AND INTERESTS', 0.0894671], ['NON STANDARD CONTENT', 0.00783215]]","[['REPTILES', 0.18], ['HOBBIES & INTERESTS', 0.07], ['PETS', 0.06], ['NEEDLEWORK', 0.05]]",True,7,6,16:56:08.168622
Stephen built James,"[['HOBBIES AND INTERESTS', 0.281508], ['TRAVEL', 0.15028], ['EDUCATION', 0.0579403], ['LAW AND GOVERNMENT AND POLITICS', 0.0433808], ['SPORTS', 0.0419144]]","[['REMODELING & CONSTRUCTION', 0.19], ['BOOKS & LITERATURE', 0.18], ['HOME & GARDEN', 0.06], ['SPORTS', 0.06], ['HOBBIES & INTERESTS', 0.06]]",True,8,7,16:56:09.724810
telescope outside James caught Stephen on I,"[['SCIENCE', 0.977043], ['HOBBIES AND INTERESTS', 0.00606753], ['SPORTS', 0.00113483], ['RELIGION AND SPIRITUALITY', 0.00105215], ['TECHNOLOGY AND COMPUTING', 0.000324955]]","[['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['BEADWORK', 0.05], ['FLY FISHING', 0.05]]",True,9,8,16:56:11.383322
I fought an mountain by Stephen,"[['TRAVEL', 0.491593], ['SPORTS', 0.153082], ['RELIGION AND SPIRITUALITY', 0.0459051], ['SCIENCE', 0.0312177], ['NON STANDARD CONTENT', 0.0291426]]","[['MOUNTAIN BIKING', 0.16], ['SPORTS', 0.09]]",False,10,8,16:56:12.995260
James Stephen Stephen with I an country by James Stephen,"[['RELIGION AND SPIRITUALITY', 0.938234], ['SPORTS', 0.0155084], ['HOBBIES AND INTERESTS', 0.00981254], ['EDUCATION', 0.00483664], ['LAW AND GOVERNMENT AND POLITICS', 0.00258691]]","[['BOOKS & LITERATURE', 0.19], ['SPORTS', 0.07], ['HOBBIES & INTERESTS', 0.06], ['ARTS & ENTERTAINMENT', 0.06], ['BIRDWATCHING', 0.05]]",True,11,9,16:56:14.735027
ship with a by Stephen tree meant James Stephen Irene with I,"[['SPORTS', 0.84333], ['RELIGION AND SPIRITUALITY', 0.0882868], ['HOBBIES AND INTERESTS', 0.06222], ['TRAVEL', 0.000971011], ['ARTS AND ENTERTAINMENT', 0.000637767]]","[['HOME REPAIR', 0.21], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['CRUISES', 0.07], ['HOME & GARDEN', 0.06], ['SPORTS', 0.06]]",True,12,10,16:56:16.555934
an cat with Irene heard I outside Irene,"[['PETS', 1.0], ['HEALTH AND FITNESS', 4.51442e-08], ['SOCIETY', 2.64243e-08], ['FOOD AND DRINK', 1.00833e-08], ['HOBBIES AND INTERESTS', 8.71029e-09]]","[['CATS', 0.38], ['PETS', 0.09]]",False,13,10,16:56:18.256582
Irene fought a cat,"[['PETS', 1.0], ['HEALTH AND FITNESS', 2.53691e-14], ['HOBBIES AND INTERESTS', 5.90864e-15], ['RELIGION AND SPIRITUALITY', 4.07606e-15], ['STYLE AND FASHION', 1.62461e-15]]","[['CATS', 0.53], ['PETS', 0.14]]",False,14,10,16:56:20.195267
James began I in monkey with an tree country in my outside I by my man by Stephen,"[['SPORTS', 0.931284], ['BUSINESS', 0.0560113], ['NON STANDARD CONTENT', 0.00948278], ['LAW AND GOVERNMENT AND POLITICS', 0.00181205], ['STYLE AND FASHION', 0.000249059]]","[['HATE CONTENT', 0.2], ['NON-STANDARD CONTENT', 0.08]]",True,15,11,16:56:21.757549
I Irene Stephen the pajamas I,"[['SCIENCE', 0.996616], ['FOOD AND DRINK', 0.00337509], ['RELIGION AND SPIRITUALITY', 1.62012e-06], ['HOBBIES AND INTERESTS', 6.51625e-07], ['CAREERS', 4.94912e-07]]","[['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.05]]",True,16,12,16:56:23.358520
a monkey James Irene fought the cat with a country in a country with the monkey by Stephen,"[['PETS', 0.99986], ['EDUCATION', 0.00013065], ['SPORTS', 4.05289e-07], ['NON STANDARD CONTENT', 3.1727e-07], ['LAW AND GOVERNMENT AND POLITICS', 2.73437e-07]]","[['CATS', 0.31], ['PETS', 0.07]]",False,17,12,16:56:25.032434
Stephen I James by my monkey outside James on my man Irene James,"[['LAW AND GOVERNMENT AND POLITICS', 0.80059], ['SPORTS', 0.136193], ['FAMILY AND PARENTING', 0.0631745], ['NON STANDARD CONTENT', 1.85455e-05], ['ARTS AND ENTERTAINMENT', 8.82387e-06]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['MOVIES', 0.18], ['ARTS & ENTERTAINMENT', 0.07], ['SPORTS', 0.07], ['PRO BASKETBALL', 0.06]]",True,18,13,16:56:26.634106
my mountain built I,"[['SPORTS', 0.99235], ['TRAVEL', 0.00105211], ['RELIGION AND SPIRITUALITY', 0.000245636], ['SCIENCE', 0.000104642], ['PETS', 6.58959e-05]]","[['MOUNTAIN BIKING', 0.33], ['REMODELING & CONSTRUCTION', 0.18], ['SPORTS', 0.09], ['HOME & GARDEN', 0.08]]",True,19,14,16:56:28.192239
Stephen James Irene,"[['EDUCATION', 1.0], ['RELIGION AND SPIRITUALITY', 1.32234e-12], ['ARTS AND ENTERTAINMENT', 1.90852e-13], ['REAL ESTATE', 1.65617e-13], ['HOBBIES AND INTERESTS', 1.5271e-13]]","[['HUMOR', 0.17], ['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['ARTS & ENTERTAINMENT', 0.05], ['BEADWORK', 0.05]]",True,20,15,16:56:29.887277
my pajamas heard an pajamas with I,"[['SCIENCE', 0.920347], ['HOBBIES AND INTERESTS', 0.0712921], ['FOOD AND DRINK', 0.00829613], ['SPORTS', 6.3683e-05], ['CAREERS', 1.92136e-07]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,21,16,16:56:31.647922
Stephen began cat by I mountain with a country,"[['PETS', 0.999989], ['SPORTS', 3.43223e-06], ['TRAVEL', 7.16759e-07], ['HOBBIES AND INTERESTS', 5.19821e-07], ['PERSONAL FINANCE', 2.56558e-07]]","[['CATS', 0.59], ['PETS', 0.14]]",False,22,16,16:56:33.172878
an monkey in Stephen heard cat in Irene outside Stephen I James in an pajamas in with an mountain with Stephen outside James mountain with the tree,"[['PETS', 0.939943], ['NON STANDARD CONTENT', 0.0293419], ['SCIENCE', 0.018296], ['SPORTS', 0.00721562], ['TRAVEL', 0.000874894]]","[['CATS', 0.28], ['MOUNTAIN BIKING', 0.08], ['SPORTS', 0.08], ['PETS', 0.07]]",False,23,16,16:56:35.032760
a pajamas in Stephen meant James,"[['SCIENCE', 0.99981], ['NON STANDARD CONTENT', 0.000107873], ['SPORTS', 6.57795e-05], ['FOOD AND DRINK', 4.87445e-06], ['CAREERS', 2.55411e-06]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['HUMOR', 0.17], ['SPORTS', 0.06], ['HOBBIES & INTERESTS', 0.06], ['NON-STANDARD CONTENT', 0.05]]",True,24,17,16:56:36.900150
Stephen began Irene by I outside an pajamas on Stephen in Stephen,"[['HEALTH AND FITNESS', 0.988451], ['SCIENCE', 0.010336], ['NON STANDARD CONTENT', 0.00042475], ['SPORTS', 0.000133119], ['EDUCATION', 0.000123583]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['HOBBIES & INTERESTS', 0.07], ['NON-STANDARD CONTENT', 0.06], ['NEEDLEWORK', 0.05]]",True,25,18,16:56:38.731882
Irene caught the monkey a Irene Irene monkey outside cat by Irene on mountain outside my pajamas tree with I on Stephen mountain by an pajamas on my monkey,"[['SCIENCE', 0.638703], ['FAMILY AND PARENTING', 0.187796], ['PETS', 0.0720432], ['HEALTH AND FITNESS', 0.039331], ['SOCIETY', 0.0287895]]","[['CATS', 0.21], ['HOBBIES & INTERESTS', 0.07], ['PETS', 0.06], ['SPORTS', 0.06], ['BIRDWATCHING', 0.06]]",True,26,19,16:56:40.307697
Irene heard Stephen,"[['EDUCATION', 0.910938], ['HEALTH AND FITNESS', 0.086172], ['RELIGION AND SPIRITUALITY', 0.00101498], ['SOCIETY', 0.000207038], ['ARTS AND ENTERTAINMENT', 0.000198824]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.19], ['HOBBIES & INTERESTS', 0.07], ['NON-STANDARD CONTENT', 0.06], ['NEEDLEWORK', 0.05]]",True,27,20,16:56:42.137140
I fought cat ship with Stephen in Irene,"[['PETS', 0.999718], ['TRAVEL', 9.79674e-05], ['TECHNOLOGY AND COMPUTING', 9.6282e-05], ['STYLE AND FASHION', 2.10762e-05], ['RELIGION AND SPIRITUALITY', 1.0584e-05]]","[['CATS', 0.45], ['PETS', 0.11]]",False,28,20,16:56:43.960462
I meant tree man with James by James in an pajamas with James,"[['FOOD AND DRINK', 0.992616], ['SCIENCE', 0.00411546], ['NON STANDARD CONTENT', 0.00103311], ['TRAVEL', 0.000739136], ['SPORTS', 0.000240219]]","[['GARDENING', 0.21], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['MOVIES', 0.19], ['SPORTS', 0.07], ['NON-STANDARD CONTENT', 0.07]]",True,29,21,16:56:45.853644
James fought I on my monkey outside an tree,"[['FAMILY AND PARENTING', 0.999998], ['NON STANDARD CONTENT', 1.34664e-06], ['SPORTS', 1.42453e-07], ['STYLE AND FASHION', 7.82488e-08], ['HOBBIES AND INTERESTS', 6.63043e-08]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.21], ['LANDSCAPING', 0.21], ['CELEBRITY FAN/GOSSIP', 0.17], ['BARBECUES & GRILLING', 0.08], ['HOME & GARDEN', 0.06]]",True,30,22,16:56:47.477376
pajamas mountain caught Stephen on James in Irene,"[['SCIENCE', 0.975951], ['SPORTS', 0.0166104], ['RELIGION AND SPIRITUALITY', 0.0045054], ['FOOD AND DRINK', 0.000360559], ['TRAVEL', 0.000292445]]","[['SPORTS', 0.08], ['HOBBIES & INTERESTS', 0.07], ['MOUNTAIN BIKING', 0.06], ['BIRDWATCHING', 0.06]]",True,31,23,16:56:49.063930
James caught the pajamas by Irene on Stephen,"[['HEALTH AND FITNESS', 0.991429], ['SCIENCE', 0.000656866], ['FOOD AND DRINK', 1.12409e-06], ['HOBBIES AND INTERESTS', 9.65389e-09], ['TRAVEL', 2.31626e-09]]","[['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['BEADWORK', 0.05], ['FRESHWATER FISHING', 0.04]]",True,32,24,16:56:50.798204
Irene began an mountain by Irene,"[['HEALTH AND FITNESS', 1.0], ['SPORTS', 4.40325e-11], ['RELIGION AND SPIRITUALITY', 2.19499e-11], ['AUTOMOTIVE', 1.6151e-11], ['TRAVEL', 1.14919e-11]]","[['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['BIRDWATCHING', 0.06], ['MOUNTAIN BIKING', 0.05]]",True,33,25,16:56:52.418005
tree with James man by telescope outside Irene tree on James built James,"[['SCIENCE', 0.686136], ['HOBBIES AND INTERESTS', 0.0515825], ['RELIGION AND SPIRITUALITY', 0.0312875], ['HOME AND GARDEN', 0.0153714], ['TRAVEL', 0.0115677]]","[['GARDENING', 0.22], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['HOME & GARDEN', 0.07], ['SPORTS', 0.06], ['NON-STANDARD CONTENT', 0.06]]",True,34,26,16:56:54.407310
I caught James outside my pajamas,"[['SPORTS', 0.798189], ['SCIENCE', 1.56672e-06], ['FOOD AND DRINK', 5.39086e-09], ['NON STANDARD CONTENT', 2.3174e-10], ['ARTS AND ENTERTAINMENT', 1.44098e-10]]","[['AQUARIUMS', 0.17], ['HOBBIES & INTERESTS', 0.07], ['PETS', 0.06], ['SPORTS', 0.06], ['BEADWORK', 0.05]]",True,35,27,16:56:56.270872
James built a mountain by an ship by Irene by I,"[['SPORTS', 0.804783], ['HEALTH AND FITNESS', 0.195179], ['TRAVEL', 2.86003e-05], ['SCIENCE', 2.81813e-07], ['HOBBIES AND INTERESTS', 2.31557e-07]]","[['HOME REPAIR', 0.22], ['CRUISES', 0.1], ['MOUNTAIN BIKING', 0.08], ['SPORTS', 0.07], ['TRAVEL', 0.07]]",False,36,27,16:56:58.136019
Irene heard Stephen on by I in Irene with the monkey with James I I,"[['HEALTH AND FITNESS', 0.42825], ['TRAVEL', 0.131827], ['RELIGION AND SPIRITUALITY', 0.100602], ['STYLE AND FASHION', 0.0602091], ['ARTS AND ENTERTAINMENT', 0.039424]]","[['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.05], ['BEADWORK', 0.05], ['WATERSKI/WAKEBOARD', 0.04]]",True,37,28,16:56:59.759479
James began James in telescope man in an country in tree ship,"[['HOBBIES AND INTERESTS', 0.998595], ['SCIENCE', 0.00130058], ['BUSINESS', 4.15772e-05], ['SPORTS', 2.51271e-06], ['STYLE AND FASHION', 8.43641e-07]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.19], ['UNITED KINGDOM', 0.09], ['NON-STANDARD CONTENT', 0.07], ['TRAVEL', 0.07]]",True,38,29,16:57:01.535418
Stephen heard an telescope in James in Stephen,"[['SCIENCE', 0.252351], ['NON STANDARD CONTENT', 0.211445], ['HOBBIES AND INTERESTS', 0.13125], ['SPORTS', 0.119469], ['STYLE AND FASHION', 0.0124406]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['HUMOR', 0.18], ['HOBBIES & INTERESTS', 0.06], ['SPORTS', 0.06], ['ARTS & ENTERTAINMENT', 0.05]]",True,39,30,16:57:03.384191
