I captured Marcus on Holly with Marcus,"[['RELIGION AND SPIRITUALITY', 0.35625], ['ARTS AND ENTERTAINMENT', 0.305545], ['TECHNOLOGY AND COMPUTING', 0.0673983], ['NON STANDARD CONTENT', 0.0363532], ['REAL ESTATE', 0.0357106]]","[['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['BIRDWATCHING', 0.05], ['WATERSKI/WAKEBOARD', 0.04]]",True,1,1,01:25:46.699906
a by Dylan made Marcus by Dylan,"[['LAW AND GOVERNMENT AND POLITICS', 0.991561], ['RELIGION AND SPIRITUALITY', 0.008439200000000001], ['SPORTS', 1.51354e-08], ['ARTS AND ENTERTAINMENT', 3.24491e-09], ['TECHNOLOGY AND COMPUTING', 1.78719e-09]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,2,2,01:25:48.479370
the hill captured I by I,"[['TRAVEL', 0.530282], ['RELIGION AND SPIRITUALITY', 0.100525], ['SCIENCE', 0.0261254], ['SPORTS', 0.0227271], ['HOBBIES AND INTERESTS', 0.0174366]]","[['LARGE ANIMALS', 0.19], ['HOBBIES & INTERESTS', 0.07], ['PETS', 0.06], ['BEADWORK', 0.05]]",True,3,3,01:25:50.345415
Dylan captured Holly with an province by Dylan,"[['ARTS AND ENTERTAINMENT', 0.308851], ['HOBBIES AND INTERESTS', 0.274721], ['SPORTS', 0.142812], ['TRAVEL', 0.0916231], ['NON STANDARD CONTENT', 0.0352361]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,4,4,01:25:52.247558
Dylan conflicted I on an snake Holly camera bus outside snake a by Holly cat with Dylan pajamas my pajamas by the cat the with snake bus on Holly hill by I,"[['PETS', 0.999998], ['SPORTS', 1.1718e-06], ['SCIENCE', 1.00741e-06], ['HOBBIES AND INTERESTS', 9.58505e-08], ['NON STANDARD CONTENT', 3.27828e-08]]","[['CATS', 0.33], ['PETS', 0.11]]",False,5,4,01:25:53.961853
Holly embarked Marcus in an pajamas,"[['FOOD AND DRINK', 0.999996], ['SCIENCE', 2.78645e-06], ['SPORTS', 1.42423e-07], ['CAREERS', 1.16018e-07], ['RELIGION AND SPIRITUALITY', 8.79846e-08]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,6,5,01:25:55.505260
I captured Marcus by my camera outside Holly,"[['RELIGION AND SPIRITUALITY', 0.997702], ['TECHNOLOGY AND COMPUTING', 0.00216522], ['HOBBIES AND INTERESTS', 0.000115569], ['ARTS AND ENTERTAINMENT', 4.13333e-06], ['SCIENCE', 1.40761e-06]]","[['CAMERAS & CAMCORDERS', 0.28], ['HOBBIES & INTERESTS', 0.09], ['TECHNOLOGY & COMPUTING', 0.07], ['PHOTOGRAPHY', 0.07]]",True,7,6,01:25:57.061790
Dylan embarked Dylan Marcus I,"[['LAW AND GOVERNMENT AND POLITICS', 0.995331], ['FOOD AND DRINK', 0.00466917], ['SPORTS', 1.86129e-09], ['TECHNOLOGY AND COMPUTING', 1.28677e-10], ['HOBBIES AND INTERESTS', 9.79402e-11]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,8,7,01:25:58.823098
an cat an man Dylan studied outside Holly Dylan Dylan cat in Dylan I Holly,"[['PETS', 0.997658], ['AUTOMOTIVE', 0.00229216], ['HOBBIES AND INTERESTS', 3.77812e-05], ['ARTS AND ENTERTAINMENT', 8.09182e-06], ['NON STANDARD CONTENT', 2.01619e-06]]","[['CATS', 0.37], ['PETS', 0.1]]",False,9,7,01:26:00.466604
I started I,"[['HOBBIES AND INTERESTS', 0.60659], ['SHOPPING', 0.00235775], ['SPORTS', 0.00161029], ['CAREERS', 0.00116594], ['FAMILY AND PARENTING', 0.000361]]","[['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['JEWELRY MAKING', 0.06], ['WALKING', 0.04]]",False,10,7,01:26:02.370528
