Thomas needed Thomas outside Alexander,"[['HOBBIES AND INTERESTS', 0.186827], ['RELIGION AND SPIRITUALITY', 0.0672174], ['LAW AND GOVERNMENT AND POLITICS', 0.0579218], ['ARTS AND ENTERTAINMENT', 0.0530612], ['EDUCATION', 0.0403902]]","[['PROFANE CONTENT', 0.21], ['HOBBIES & INTERESTS', 0.07], ['NON-STANDARD CONTENT', 0.06], ['JEWELRY MAKING', 0.06]]",True,1,1,13:36:30.532578
an by I stood Olivia outside I,"[['STYLE AND FASHION', 0.759764], ['SPORTS', 0.199214], ['RELIGION AND SPIRITUALITY', 0.00979932], ['ARTS AND ENTERTAINMENT', 0.00579234], ['HOBBIES AND INTERESTS', 0.00335513]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,2,2,13:36:32.429316
Alexander tried I,"[['RELIGION AND SPIRITUALITY', 0.757147], ['EDUCATION', 0.0214681], ['STYLE AND FASHION', 0.0161873], ['CAREERS', 0.0116046], ['SCIENCE', 0.0101393]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,3,3,13:36:34.753303
Thomas stood an school by I,"[['EDUCATION', 0.251893], ['SCIENCE', 0.122955], ['SPORTS', 0.11827], ['CAREERS', 0.0810386], ['AUTOMOTIVE', 0.0134426]]","[['HOMESCHOOLING', 0.09], ['HOBBIES & INTERESTS', 0.08], ['EDUCATION', 0.07], ['CIGARS', 0.05]]",False,4,3,13:36:36.963328
I stood country with Olivia business with Alexander outside Thomas,"[['SCIENCE', 0.99867], ['STYLE AND FASHION', 0.00125441], ['CAREERS', 2.43355e-05], ['TRAVEL', 1.37285e-05], ['PERSONAL FINANCE', 2.56884e-06]]","[['BUSINESS SOFTWARE', 0.14], ['BUSINESS', 0.09]]",True,5,4,13:36:38.943900
my company Thomas Thomas looked Thomas,"[['REAL ESTATE', 0.304313], ['RELIGION AND SPIRITUALITY', 0.279154], ['HOBBIES AND INTERESTS', 0.134883], ['STYLE AND FASHION', 0.0800131], ['SOCIETY', 0.0168442]]","[['HOBBIES & INTERESTS', 0.07], ['JEWELRY MAKING', 0.06]]",True,6,5,13:36:40.832545
Olivia thought I by my woman,"[['HEALTH AND FITNESS', 1.0], ['ARTS AND ENTERTAINMENT', 3.62688e-08], ['NON STANDARD CONTENT', 2.99305e-09], ['SOCIETY', 2.61706e-09], ['RELIGION AND SPIRITUALITY', 1.76019e-09]]","[['BODY ART', 0.36], ['WEDDINGS', 0.25], ['PROFANE CONTENT', 0.19], ['HOBBIES & INTERESTS', 0.07], ['STYLE & FASHION', 0.06]]",True,7,6,13:36:42.805598
Thomas stood Thomas,"[['STYLE AND FASHION', 0.202327], ['TRAVEL', 0.194869], ['SPORTS', 0.11212], ['HOBBIES AND INTERESTS', 0.0531881], ['HOME AND GARDEN', 0.0313513]]","[['PROFANE CONTENT', 0.21], ['HOBBIES & INTERESTS', 0.08], ['NON-STANDARD CONTENT', 0.06], ['JEWELRY MAKING', 0.06]]",True,8,7,13:36:45.114427
I needed a week,"[['HOME AND GARDEN', 0.991409], ['FAMILY AND PARENTING', 0.00184509], ['CAREERS', 0.00061745], ['HOBBIES AND INTERESTS', 0.00053374], ['HEALTH AND FITNESS', 0.000358003]]","[['LOCAL NEWS', 0.42], ['ACCESSORIES', 0.34], ['HOME REPAIR', 0.28], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.18], ['STOCKS', 0.12]]",True,9,8,13:36:47.748167
Alexander Thomas Olivia in an company,"[['HOBBIES AND INTERESTS', 0.461474], ['REAL ESTATE', 0.0822282], ['AUTOMOTIVE', 0.0804869], ['CAREERS', 0.0724407], ['ARTS AND ENTERTAINMENT', 0.0459865]]","[['CONSTRUCTION', 0.14], ['HOBBIES & INTERESTS', 0.07], ['BUSINESS', 0.06], ['JEWELRY MAKING', 0.05]]",True,10,9,13:36:50.224484
Olivia looked the home Alexander Alexander,"[['FAMILY AND PARENTING', 0.999983], ['REAL ESTATE', 3.00469e-06], ['SCIENCE', 2.37925e-06], ['CAREERS', 1.10919e-06], ['EDUCATION', 1.03426e-06]]","[['BODY ART', 0.37], ['HOBBIES & INTERESTS', 0.07], ['STYLE & FASHION', 0.06], ['BIRDWATCHING', 0.05]]",True,11,10,13:36:52.533298
