an man on a cat ate John outside a pajamas on Bob on the man by my man with a elephant on the park,"[['PETS', 0.955538], ['SPORTS', 0.0204214], ['SCIENCE', 0.00362209], ['ARTS AND ENTERTAINMENT', 0.00196825], ['HOBBIES AND INTERESTS', 0.000707279]]","[['CATS', 0.34], ['PROFANE CONTENT', 0.24], ['PETS', 0.12], ['NON-STANDARD CONTENT', 0.1]]",True,1,1,20:22:28.436040
an man on a cat ate John outside a pajamas on Bob on the elephant by my man with a elephant on the park,"[['PETS', 0.925218], ['SPORTS', 0.0219718], ['ARTS AND ENTERTAINMENT', 0.0127691], ['HEALTH AND FITNESS', 0.00480507], ['TRAVEL', 0.00361711]]","[['LARGE ANIMALS', 0.39], ['PETS', 0.13]]",False,2,1,20:22:32.296337
an man on a cat ate John outside a pajamas on Bob on the elephant by my man with a monkey on the park,"[['PETS', 0.695173], ['FAMILY AND PARENTING', 0.284568], ['SPORTS', 0.0129382], ['SCIENCE', 0.00244849], ['ARTS AND ENTERTAINMENT', 0.000436736]]","[['CATS', 0.35], ['PETS', 0.12]]",False,3,1,20:22:35.960823
an man on a cat ate John outside a pajamas outside Bob on the elephant by my man with a monkey on the park,"[['PETS', 0.683248], ['FAMILY AND PARENTING', 0.309117], ['SPORTS', 0.00375793], ['SCIENCE', 0.00215393], ['TRAVEL', 0.000309945]]","[['CATS', 0.35], ['PETS', 0.12]]",False,4,1,20:22:39.655695
an man on a cat ate Bob outside a pajamas outside Bob on the elephant by my man with a monkey on the park,"[['PETS', 0.656959], ['FAMILY AND PARENTING', 0.335606], ['SPORTS', 0.0045621], ['SCIENCE', 0.0010341], ['HOBBIES AND INTERESTS', 0.00037889]]","[['CATS', 0.32], ['PETS', 0.11]]",False,5,1,20:22:43.674146
an man on a cat ate Mary outside a pajamas outside Bob on the elephant by my man with a monkey on the park,"[['PETS', 0.648221], ['FAMILY AND PARENTING', 0.345908], ['SPORTS', 0.00285332], ['SCIENCE', 0.0017321], ['HOBBIES AND INTERESTS', 0.00025712]]","[['CATS', 0.35], ['PETS', 0.12]]",False,6,1,20:22:47.650556
an man on a cat ate Mary outside a pajamas outside Bob on the elephant by my monkey with a monkey on the park,"[['PETS', 0.603659], ['FAMILY AND PARENTING', 0.39323], ['SCIENCE', 0.00162321], ['HOBBIES AND INTERESTS', 0.000937962], ['TRAVEL', 0.000147233]]","[['CATS', 0.32], ['PETS', 0.1]]",False,7,1,20:22:51.635964
an man on a cat ate Mary outside a telescope outside Bob on the elephant by my monkey with a monkey on the park,"[['PETS', 0.6025200000000001], ['FAMILY AND PARENTING', 0.394299], ['SCIENCE', 0.00135558], ['HOBBIES AND INTERESTS', 0.000987098], ['TRAVEL', 0.000158253]]","[['CATS', 0.31], ['PETS', 0.1]]",False,8,1,20:22:56.601030
an man on a cat ate Mary outside the telescope outside Bob on the elephant by my monkey with a monkey on the park,"[['PETS', 0.62003], ['FAMILY AND PARENTING', 0.377858], ['HOBBIES AND INTERESTS', 0.00131449], ['SCIENCE', 0.000239938], ['TRAVEL', 8.35985e-05]]","[['CATS', 0.31], ['PETS', 0.1]]",False,9,1,20:23:00.543313
an man on a cat shot Mary outside the telescope outside Bob on the elephant by my monkey with a monkey on the park,"[['PETS', 0.589604], ['FAMILY AND PARENTING', 0.405193], ['HOBBIES AND INTERESTS', 0.00377568], ['SCIENCE', 0.000257295], ['TRAVEL', 0.000201993]]","[['CATS', 0.32], ['PETS', 0.1]]",False,10,1,20:23:04.286748
an man on a cat killed Mary outside the telescope outside Bob on the elephant by my monkey with a monkey on the park,"[['PETS', 0.784389], ['FAMILY AND PARENTING', 0.214015], ['HOBBIES AND INTERESTS', 0.0012154], ['SCIENCE', 7.28128e-05], ['TRAVEL', 6.37121e-05]]","[['CATS', 0.3], ['PETS', 0.11]]",False,11,1,20:23:09.897801
