Irene caught James with an monkey in an country with Irene by the monkey on an man with I by James,"[['ARTS AND ENTERTAINMENT', 0.920512], ['FAMILY AND PARENTING', 0.0543866], ['SPORTS', 0.0169102], ['HOBBIES AND INTERESTS', 0.00714161], ['HEALTH AND FITNESS', 9.95564e-05]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['CELEBRITY FAN/GOSSIP', 0.16], ['HOBBIES & INTERESTS', 0.06], ['NON-STANDARD CONTENT', 0.06], ['SPORTS', 0.06]]",True,1,1,13:16:59.852883
Irene caught James with an monkey in an country with Irene with the monkey on an man with I by James,"[['ARTS AND ENTERTAINMENT', 0.928223], ['FAMILY AND PARENTING', 0.0465406], ['SPORTS', 0.0163287], ['HOBBIES AND INTERESTS', 0.00766349], ['HEALTH AND FITNESS', 0.00012665]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['CELEBRITY FAN/GOSSIP', 0.16], ['HOBBIES & INTERESTS', 0.06], ['NON-STANDARD CONTENT', 0.06], ['SPORTS', 0.06]]",True,2,2,13:17:03.738868
Irene caught James with an monkey in an country with Irene on the monkey on an man with I by James,"[['ARTS AND ENTERTAINMENT', 0.930808], ['FAMILY AND PARENTING', 0.0447432], ['SPORTS', 0.0155553], ['HOBBIES AND INTERESTS', 0.00800054], ['HEALTH AND FITNESS', 9.20021e-05]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['CELEBRITY FAN/GOSSIP', 0.16], ['HOBBIES & INTERESTS', 0.06], ['NON-STANDARD CONTENT', 0.06], ['SPORTS', 0.06]]",True,3,3,13:17:07.346071
Irene caught James with an monkey in an country on Irene on the monkey on an man with I by James,"[['ARTS AND ENTERTAINMENT', 0.932404], ['FAMILY AND PARENTING', 0.0432533], ['SPORTS', 0.0155006], ['HOBBIES AND INTERESTS', 0.00807187], ['HEALTH AND FITNESS', 8.00941e-05]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['CELEBRITY FAN/GOSSIP', 0.16], ['HOBBIES & INTERESTS', 0.06], ['NON-STANDARD CONTENT', 0.06], ['SPORTS', 0.06]]",True,4,4,13:17:10.820562
Irene caught James with an monkey in an country on Irene on a monkey on an man with I by James,"[['ARTS AND ENTERTAINMENT', 0.817864], ['FAMILY AND PARENTING', 0.120034], ['SPORTS', 0.0421672], ['HOBBIES AND INTERESTS', 0.0183626], ['STYLE AND FASHION', 0.000125958]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['CELEBRITY FAN/GOSSIP', 0.16], ['HOBBIES & INTERESTS', 0.06], ['NON-STANDARD CONTENT', 0.06], ['SPORTS', 0.06]]",True,5,5,13:17:14.430249
Irene caught James with an monkey in an country on Irene on a monkey on an man with I outside James,"[['ARTS AND ENTERTAINMENT', 0.650495], ['FAMILY AND PARENTING', 0.220447], ['SPORTS', 0.0998804], ['HOBBIES AND INTERESTS', 0.0275493], ['STYLE AND FASHION', 0.000103534]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['CELEBRITY FAN/GOSSIP', 0.16], ['HOBBIES & INTERESTS', 0.06], ['NON-STANDARD CONTENT', 0.06], ['SPORTS', 0.06]]",True,6,6,13:17:17.897499
Irene caught James with an monkey in an country on Irene on a man on an man with I outside James,"[['ARTS AND ENTERTAINMENT', 0.731178], ['SPORTS', 0.242096], ['HOBBIES AND INTERESTS', 0.0256504], ['TRAVEL', 0.000167831], ['SOCIETY', 0.00010642]]","[['PROFANE CONTENT', 0.2], ['NON-STANDARD CONTENT', 0.07], ['SPORTS', 0.06], ['HOBBIES & INTERESTS', 0.06], ['BIRDWATCHING', 0.05]]",True,7,7,13:17:21.668567
Irene caught James with the monkey in an country on Irene on a man on an man with I outside James,"[['ARTS AND ENTERTAINMENT', 0.928937], ['SPORTS', 0.0648497], ['HOBBIES AND INTERESTS', 0.0058617], ['SOCIETY', 6.67074e-05], ['TRAVEL', 3.58748e-05]]","[['PROFANE CONTENT', 0.2], ['NON-STANDARD CONTENT', 0.07], ['SPORTS', 0.06], ['HOBBIES & INTERESTS', 0.06], ['BIRDWATCHING', 0.05]]",True,8,8,13:17:25.388449
I caught James with the monkey in an country on Irene on a man on an man with I outside James,"[['SPORTS', 0.912769], ['HOBBIES AND INTERESTS', 0.0834434], ['TRAVEL', 0.000573599], ['SOCIETY', 0.000397261], ['NON STANDARD CONTENT', 0.000326616]]","[['PROFANE CONTENT', 0.21], ['NON-STANDARD CONTENT', 0.08]]",True,9,9,13:17:28.834314
I caught James with the monkey in an country on Irene by a man on an man with I outside James,"[['SPORTS', 0.922763], ['HOBBIES AND INTERESTS', 0.0744364], ['TRAVEL', 0.000449446], ['SOCIETY', 0.000301491], ['NON STANDARD CONTENT', 0.000259737]]","[['PROFANE CONTENT', 0.21], ['NON-STANDARD CONTENT', 0.08]]",True,10,10,13:17:32.451630
