my elephant with Mary killed John,"[['RELIGION AND SPIRITUALITY', 0.05436778], ['LAW GOVERNMENT AND POLITICS', 0.05176957], ['EDUCATION', 0.05161786], ['HEALTH AND FITNESS', 0.05101152], ['HOBBIES AND INTERESTS', 0.04902375]]","[['LARGE ANIMALS', 0.49], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['CATHOLICISM', 0.2], ['RELIGION & SPIRITUALITY', 0.07], ['PETS', 0.06]]",True,1,1,21:51:40.153277
John wounded the man on an man with John outside John,"[['RELIGION AND SPIRITUALITY', 0.05355848], ['SPORTS', 0.05322724], ['ARTS AND ENTERTAINMENT', 0.05290378], ['HEALTH AND FITNESS', 0.05202218], ['EDUCATION', 0.05170938]]","[['HATE CONTENT', 0.22], ['NON-STANDARD CONTENT', 0.12]]",True,2,2,21:51:42.040094
John ate Bob,"[['SPORTS', 0.05510031], ['ARTS AND ENTERTAINMENT', 0.05259142], ['LAW GOVERNMENT AND POLITICS', 0.05080079], ['EDUCATION', 0.05053971], ['BUSINESS', 0.04987864]]","[['HOBBIES & INTERESTS', 0.08], ['SCREENWRITING', 0.05]]",True,3,3,21:51:43.574373
my monkey ate John by an pajamas,"[['EDUCATION', 0.05248289], ['HEALTH AND FITNESS', 0.05157909], ['LAW GOVERNMENT AND POLITICS', 0.04930761], ['FAMILY AND PARENTING', 0.04920822], ['SPORTS', 0.0490358]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.19], ['BARBECUES & GRILLING', 0.09], ['HOBBIES & INTERESTS', 0.07], ['NON-STANDARD CONTENT', 0.06], ['FOOD & DRINK', 0.06]]",True,4,4,21:51:45.647235
John saw I,"[['HOBBIES AND INTERESTS', 0.0545372], ['SPORTS', 0.05312285], ['ARTS AND ENTERTAINMENT', 0.0519207], ['EDUCATION', 0.0504221], ['AUTOMOTIVE', 0.04996108]]","[['HATE CONTENT', 0.18], ['NON-STANDARD CONTENT', 0.08], ['HOBBIES & INTERESTS', 0.07], ['SCREENWRITING', 0.06]]",True,5,5,21:51:47.059147
I walked I by Bob outside I,"[['SPORTS', 0.05894353], ['ARTS AND ENTERTAINMENT', 0.05174094], ['TRAVEL', 0.05081584], ['TECHNOLOGY AND COMPUTING', 0.04966162], ['RELIGION AND SPIRITUALITY', 0.04944928]]","[['HOBBIES & INTERESTS', 0.08], ['SPORTS', 0.07], ['BIRDWATCHING', 0.05], ['WALKING', 0.04]]",True,6,6,21:51:48.817070
I shot I on Mary on Bob,"[['SPORTS', 0.06204126], ['TECHNOLOGY AND COMPUTING', 0.0522651], ['ARTS AND ENTERTAINMENT', 0.0515298], ['HEALTH AND FITNESS', 0.05031667], ['BUSINESS', 0.04917856]]","[['HOBBIES & INTERESTS', 0.09], ['NEEDLEWORK', 0.06]]",True,7,7,21:51:50.584929
I wounded Bob in John,"[['SPORTS', 0.05929144], ['ARTS AND ENTERTAINMENT', 0.05398038], ['LAW GOVERNMENT AND POLITICS', 0.0497484], ['HOBBIES AND INTERESTS', 0.04804799], ['EDUCATION', 0.04777853]]","[['HOBBIES & INTERESTS', 0.09], ['SCREENWRITING', 0.05]]",True,8,8,21:51:52.014756
I saw John on my pajamas,"[['AUTOMOTIVE', 0.05568058], ['HOBBIES AND INTERESTS', 0.05309996], ['EDUCATION', 0.05305666], ['HEALTH AND FITNESS', 0.05244325], ['SPORTS', 0.05190642]]","[['HATE CONTENT', 0.18], ['HOBBIES & INTERESTS', 0.07], ['NON-STANDARD CONTENT', 0.07], ['SCREENWRITING', 0.06]]",True,9,9,21:51:53.433877
I shot John on Mary,"[['SPORTS', 0.05814737], ['ARTS AND ENTERTAINMENT', 0.05211914], ['TECHNOLOGY AND COMPUTING', 0.05068696], ['HEALTH AND FITNESS', 0.04959541], ['RELIGION AND SPIRITUALITY', 0.04947434]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.19], ['HOBBIES & INTERESTS', 0.08], ['NON-STANDARD CONTENT', 0.07], ['NEEDLEWORK', 0.06]]",True,10,10,21:51:54.828122
John killed Mary with Mary outside a park on my fish with an monkey with I,"[['RELIGION AND SPIRITUALITY', 0.06138229], ['SPORTS', 0.05800812], ['TRAVEL', 0.05723232], ['PETS', 0.05405843], ['FOOD AND DRINK', 0.05167517]]","[['AQUARIUMS', 0.43], ['PETS', 0.15]]",False,11,10,21:51:56.384161
Bob shot an monkey with an dog on Mary,"[['PETS', 0.05698242], ['SPORTS', 0.05454021], ['BUSINESS', 0.0529889], ['ARTS AND ENTERTAINMENT', 0.04996656], ['TRAVEL', 0.04853351]]","[['DOGS', 0.5], ['PETS', 0.23]]",False,12,10,21:51:57.695815
Bob ate I with I,"[['SPORTS', 0.05826741], ['ARTS AND ENTERTAINMENT', 0.05089278], ['FOOD AND DRINK', 0.05074253], ['TECHNOLOGY AND COMPUTING', 0.04972959], ['HOBBIES AND INTERESTS', 0.04953256]]","[['FRENCH CUISINE', 0.09], ['HOBBIES & INTERESTS', 0.08], ['FOOD & DRINK', 0.07], ['BIRDWATCHING', 0.05]]",True,13,11,21:51:59.200087
John killed I by Mary,"[['RELIGION AND SPIRITUALITY', 0.05379421], ['LAW GOVERNMENT AND POLITICS', 0.05170507], ['ARTS AND ENTERTAINMENT', 0.05037722], ['EDUCATION', 0.0498094], ['HOBBIES AND INTERESTS', 0.04960597]]","[['CATHOLICISM', 0.26], ['RELIGION & SPIRITUALITY', 0.09]]",True,14,12,21:52:00.683988
John killed I,"[['RELIGION AND SPIRITUALITY', 0.05254669], ['LAW GOVERNMENT AND POLITICS', 0.05195068], ['SPORTS', 0.05009458], ['ARTS AND ENTERTAINMENT', 0.0494025], ['HOBBIES AND INTERESTS', 0.04939083]]","[['ISLAM', 0.21], ['RELIGION & SPIRITUALITY', 0.1]]",True,15,13,21:52:02.109313
