John wounded my elephant outside Mary by a monkey outside Mary,"[['FAMILY AND PARENTING', 0.999989], ['HOBBIES AND INTERESTS', 2.55026e-06], ['NON STANDARD CONTENT', 2.34272e-06], ['SPORTS', 1.12255e-06], ['ARTS AND ENTERTAINMENT', 4.0062e-07]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06], ['NON-STANDARD CONTENT', 0.06]]",True,1,1,18:19:55.352473
I wounded my elephant outside Mary by a monkey outside Mary,"[['FAMILY AND PARENTING', 0.999992], ['NON STANDARD CONTENT', 2.20507e-06], ['HOBBIES AND INTERESTS', 1.22597e-06], ['SPORTS', 6.83192e-07], ['ARTS AND ENTERTAINMENT', 3.53811e-07]]","[['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06]]",True,2,2,18:19:58.939354
I wounded my elephant outside Mary in a monkey outside Mary,"[['FAMILY AND PARENTING', 0.999989], ['NON STANDARD CONTENT', 2.63596e-06], ['HOBBIES AND INTERESTS', 1.56501e-06], ['SPORTS', 8.78323e-07], ['CAREERS', 4.95869e-07]]","[['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06]]",True,3,3,18:20:02.680484
I saw my elephant outside Mary in a monkey outside Mary,"[['FAMILY AND PARENTING', 0.999923], ['HOBBIES AND INTERESTS', 5.21849e-05], ['SOCIETY', 1.16565e-05], ['NON STANDARD CONTENT', 4.46938e-06], ['ARTS AND ENTERTAINMENT', 1.66232e-06]]","[['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06]]",True,4,4,18:20:06.283120
I saw my elephant outside I in a monkey outside Mary,"[['FAMILY AND PARENTING', 0.999949], ['HOBBIES AND INTERESTS', 3.24664e-05], ['SOCIETY', 7.95305e-06], ['NON STANDARD CONTENT', 5.32094e-06], ['ARTS AND ENTERTAINMENT', 8.4638e-07]]","[['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06]]",True,5,5,18:20:09.708618
I saw my elephant by I in a monkey outside Mary,"[['FAMILY AND PARENTING', 0.999987], ['HOBBIES AND INTERESTS', 9.6934e-06], ['SOCIETY', 1.67774e-06], ['NON STANDARD CONTENT', 6.7222e-07], ['ARTS AND ENTERTAINMENT', 1.863e-07]]","[['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06]]",True,6,6,18:20:13.073352
I saw my elephant by I in a telescope outside Mary,"[['SCIENCE', 0.573444], ['HOBBIES AND INTERESTS', 0.424894], ['SOCIETY', 0.00128904], ['NON STANDARD CONTENT', 6.33606e-05], ['SPORTS', 5.48498e-05]]","[['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06]]",True,7,7,18:20:16.447998
I saw my elephant by John in a telescope outside Mary,"[['HOBBIES AND INTERESTS', 0.676492], ['SCIENCE', 0.32293], ['SOCIETY', 0.000170023], ['ARTS AND ENTERTAINMENT', 6.31554e-05], ['RELIGION AND SPIRITUALITY', 5.27173e-05]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['SPACE/ASTRONOMY', 0.19], ['HOBBIES & INTERESTS', 0.07], ['NON-STANDARD CONTENT', 0.06], ['NEEDLEWORK', 0.06]]",True,8,8,18:20:20.340473
I saw my elephant by Bob in a telescope outside Mary,"[['SCIENCE', 0.599141], ['HOBBIES AND INTERESTS', 0.399783], ['NON STANDARD CONTENT', 0.000415364], ['SOCIETY', 0.000206192], ['SPORTS', 3.92915e-05]]","[['HOBBIES & INTERESTS', 0.08], ['NEEDLEWORK', 0.06]]",True,9,9,18:20:24.555458
I saw my elephant by Bob in a cat outside Mary,"[['PETS', 0.999937], ['HOBBIES AND INTERESTS', 4.65635e-05], ['NON STANDARD CONTENT', 3.61403e-06], ['SOCIETY', 3.09631e-07], ['ARTS AND ENTERTAINMENT', 2.07882e-07]]","[['CATS', 0.52], ['PETS', 0.18]]",False,10,9,18:20:27.965832
I saw my elephant by John in a telescope outside Mary,"[['HOBBIES AND INTERESTS', 0.676492], ['SCIENCE', 0.32293], ['SOCIETY', 0.000170023], ['ARTS AND ENTERTAINMENT', 6.31554e-05], ['RELIGION AND SPIRITUALITY', 5.27173e-05]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['SPACE/ASTRONOMY', 0.19], ['HOBBIES & INTERESTS', 0.07], ['NON-STANDARD CONTENT', 0.06], ['NEEDLEWORK', 0.06]]",True,10,9,18:20:31.752612
I wounded my elephant by John in a telescope outside Mary,"[['SCIENCE', 0.978505], ['HOBBIES AND INTERESTS', 0.0182955], ['SPORTS', 0.000569525], ['ARTS AND ENTERTAINMENT', 0.000447894], ['RELIGION AND SPIRITUALITY', 0.000103691]]","[['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06]]",True,11,10,18:20:35.120832
Mary wounded my elephant by John in a telescope outside Mary,"[['SCIENCE', 0.955012], ['HOBBIES AND INTERESTS', 0.0387521], ['SPORTS', 0.000596833], ['ARTS AND ENTERTAINMENT', 0.000537427], ['RELIGION AND SPIRITUALITY', 0.000350321]]","[['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06]]",True,12,11,18:20:38.294037
Mary walked my elephant by John in a telescope outside Mary,"[['SCIENCE', 0.988212], ['HOBBIES AND INTERESTS', 0.00822057], ['RELIGION AND SPIRITUALITY', 0.00170917], ['SPORTS', 0.000318571], ['ARTS AND ENTERTAINMENT', 4.75737e-05]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06], ['NON-STANDARD CONTENT', 0.06]]",True,13,12,18:20:41.427598
Mary saw my elephant by John in a telescope outside Mary,"[['SCIENCE', 0.633105], ['HOBBIES AND INTERESTS', 0.365787], ['RELIGION AND SPIRITUALITY', 0.000289864], ['SOCIETY', 5.11324e-05], ['ARTS AND ENTERTAINMENT', 4.7388e-05]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06], ['NON-STANDARD CONTENT', 0.06]]",True,14,13,18:20:44.714452
Mary saw my elephant by John in the telescope outside Mary,"[['HOBBIES AND INTERESTS', 0.906276], ['SCIENCE', 0.0903474], ['RELIGION AND SPIRITUALITY', 0.00035257], ['SOCIETY', 0.000191368], ['ARTS AND ENTERTAINMENT', 7.00197e-05]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06], ['NON-STANDARD CONTENT', 0.06]]",True,15,14,18:20:47.884554
Mary saw an elephant by John in the telescope outside Mary,"[['SCIENCE', 0.933311], ['HOBBIES AND INTERESTS', 0.0280569], ['RELIGION AND SPIRITUALITY', 0.00526595], ['SPORTS', 0.000742984], ['HEALTH AND FITNESS', 0.000438503]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06], ['NON-STANDARD CONTENT', 0.06]]",True,16,15,18:20:51.786766
Mary saw an elephant by John with the telescope outside Mary,"[['SOCIETY', 0.984736], ['SCIENCE', 0.0145552], ['HOBBIES AND INTERESTS', 0.000389345], ['RELIGION AND SPIRITUALITY', 1.38365e-05], ['SPORTS', 9.57048e-06]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06], ['NON-STANDARD CONTENT', 0.06]]",True,17,16,18:20:55.678451
Mary saw an elephant by Mary with the telescope outside Mary,"[['SCIENCE', 0.944524], ['HOBBIES AND INTERESTS', 0.0213045], ['FAMILY AND PARENTING', 0.00227652], ['RELIGION AND SPIRITUALITY', 0.00148141], ['SPORTS', 0.00131454]]","[['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.07]]",True,18,17,18:20:59.052978
Mary saw an elephant by Mary outside the telescope outside Mary,"[['SCIENCE', 0.93665], ['HOBBIES AND INTERESTS', 0.0230169], ['FAMILY AND PARENTING', 0.00297256], ['RELIGION AND SPIRITUALITY', 0.00179479], ['TRAVEL', 0.00136691]]","[['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.07]]",True,19,18,18:21:02.338408
Mary saw an elephant by Mary outside the elephant outside Mary,"[['HEALTH AND FITNESS', 0.520322], ['HOBBIES AND INTERESTS', 0.179116], ['STYLE AND FASHION', 0.0902247], ['PETS', 0.0303295], ['SPORTS', 0.0198974]]","[['LARGE ANIMALS', 0.4], ['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06], ['PETS', 0.06]]",False,20,18,18:21:05.622790
