I wounded John outside John,"[['TRAVEL', 0.233356], ['SPORTS', 0.0916778], ['CAREERS', 0.0755849], ['NON STANDARD CONTENT', 0.0470026], ['HOBBIES AND INTERESTS', 0.0330565]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.18], ['HOBBIES & INTERESTS', 0.08], ['NON-STANDARD CONTENT', 0.07], ['SCREENWRITING', 0.06]]",True,1,1,18:59:06.938492
I walked I in an dog outside Mary,"[['ARTS AND ENTERTAINMENT', 0.999931], ['PETS', 5.67864e-05], ['SPORTS', 3.77746e-06], ['HOBBIES AND INTERESTS', 3.77067e-06], ['RELIGION AND SPIRITUALITY', 1.30453e-06]]","[['DOGS', 0.62], ['PETS', 0.39]]",False,2,1,18:59:08.736717
Mary wounded Mary,"[['CAREERS', 0.415113], ['TRAVEL', 0.283038], ['PETS', 0.0401321], ['SPORTS', 0.0357122], ['NON STANDARD CONTENT', 0.0166669]]","[['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.07]]",True,3,2,18:59:10.475542
John ate an pajamas,"[['SCIENCE', 0.920449], ['FOOD AND DRINK', 0.0746498], ['FAMILY AND PARENTING', 0.00127122], ['SPORTS', 7.86248e-05], ['CAREERS', 6.1681e-07]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.19], ['HOBBIES & INTERESTS', 0.07], ['NON-STANDARD CONTENT', 0.07], ['SCREENWRITING', 0.06]]",True,4,3,18:59:12.117987
I shot a pajamas,"[['SCIENCE', 0.862047], ['FOOD AND DRINK', 0.135822], ['SPORTS', 0.000639814], ['ARTS AND ENTERTAINMENT', 3.45049e-05], ['HEALTH AND FITNESS', 4.45243e-06]]","[['HOBBIES & INTERESTS', 0.08], ['BEADWORK', 0.05]]",True,5,4,18:59:13.821429
the dog by Bob killed John,"[['PETS', 1.0], ['RELIGION AND SPIRITUALITY', 2.99059e-08], ['SPORTS', 5.46024e-16], ['HOBBIES AND INTERESTS', 1.31447e-16], ['ARTS AND ENTERTAINMENT', 7.68128e-17]]","[['DOGS', 0.6], ['PETS', 0.4]]",False,6,4,18:59:15.501461
I ate Mary on Mary,"[['EDUCATION', 0.680498], ['SPORTS', 0.319502], ['SOCIETY', 1.53825e-10], ['FOOD AND DRINK', 1.16271e-10], ['TRAVEL', 9.16909e-11]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['BARBECUES & GRILLING', 0.09], ['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.07], ['FOOD & DRINK', 0.06]]",True,7,5,18:59:17.481459
John saw I,"[['RELIGION AND SPIRITUALITY', 0.0600987], ['EDUCATION', 0.0536956], ['SPORTS', 0.0300183], ['TRAVEL', 0.0295467], ['HOBBIES AND INTERESTS', 0.0239713]]","[['HATE CONTENT', 0.18], ['NON-STANDARD CONTENT', 0.08], ['HOBBIES & INTERESTS', 0.07], ['SCREENWRITING', 0.06]]",True,8,6,18:59:19.357475
an man in the elephant outside the elephant with John shot I by an monkey outside I,"[['FAMILY AND PARENTING', 0.678605], ['PETS', 0.135665], ['SPORTS', 0.0680117], ['HEALTH AND FITNESS', 0.0524652], ['SOCIETY', 0.0497897]]","[['LARGE ANIMALS', 0.55], ['PROFANE CONTENT', 0.19], ['HOBBIES & INTERESTS', 0.07], ['NON-STANDARD CONTENT', 0.07], ['PETS', 0.06]]",True,9,7,18:59:21.043986
the elephant by Mary shot John,"[['ARTS AND ENTERTAINMENT', 0.999951], ['HEALTH AND FITNESS', 4.8881e-05], ['HOBBIES AND INTERESTS', 6.82603e-09], ['PETS', 3.19098e-09], ['SPORTS', 2.16128e-09]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['HOBBIES & INTERESTS', 0.08], ['NON-STANDARD CONTENT', 0.06], ['NEEDLEWORK', 0.06]]",True,10,8,18:59:22.921875
Bob walked Bob,"[['SPORTS', 0.994436], ['HEALTH AND FITNESS', 0.00551157], ['HOBBIES AND INTERESTS', 2.70153e-06], ['TECHNOLOGY AND COMPUTING', 1.9425e-06], ['TRAVEL', 1.48965e-06]]","[['HOBBIES & INTERESTS', 0.08], ['SPORTS', 0.07], ['BIRDWATCHING', 0.05], ['WATERSKI/WAKEBOARD', 0.04]]",True,11,9,18:59:24.970324
John shot my fish,"[['SOCIETY', 1.0], ['SPORTS', 3.19601e-12], ['FOOD AND DRINK', 3.85571e-14], ['TRAVEL', 1.80887e-14], ['SCIENCE', 1.53347e-14]]","[['AQUARIUMS', 0.72], ['PETS', 0.32]]",True,12,10,18:59:26.913062
I killed a fish on Bob,"[['SPORTS', 0.870005], ['HOBBIES AND INTERESTS', 9.78525e-08], ['FOOD AND DRINK', 6.26142e-08], ['PETS', 4.9044e-08], ['TRAVEL', 1.56877e-08]]","[['AQUARIUMS', 0.7], ['PETS', 0.31]]",False,13,10,18:59:28.705358
the pajamas with I shot an fish,"[['SCIENCE', 0.475528], ['FOOD AND DRINK', 0.356952], ['HOBBIES AND INTERESTS', 0.16752], ['SPORTS', 1.563e-07], ['TRAVEL', 2.17207e-09]]","[['AQUARIUMS', 0.64], ['PETS', 0.24]]",True,14,11,18:59:30.398977
an elephant with John wounded Mary,"[['SPORTS', 0.852451], ['HOBBIES AND INTERESTS', 0.0530025], ['ARTS AND ENTERTAINMENT', 0.035345], ['HEALTH AND FITNESS', 0.0165855], ['RELIGION AND SPIRITUALITY', 0.00301129]]","[['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06]]",True,15,12,18:59:31.968821
my dog with Bob shot John on I on I,"[['ARTS AND ENTERTAINMENT', 0.714175], ['PETS', 0.285768], ['HEALTH AND FITNESS', 1.5339e-05], ['SPORTS', 5.51042e-06], ['HOBBIES AND INTERESTS', 3.04473e-06]]","[['DOGS', 0.59], ['PETS', 0.36]]",False,16,12,18:59:33.984849
Bob killed an cat by John,"[['PETS', 1.0], ['TRAVEL', 6.35936e-10], ['SPORTS', 4.07419e-10], ['HOBBIES AND INTERESTS', 2.65317e-10], ['RELIGION AND SPIRITUALITY', 1.92111e-10]]","[['CATS', 0.63], ['PETS', 0.19]]",False,17,12,18:59:35.927118
an pajamas walked I,"[['SCIENCE', 0.895921], ['FOOD AND DRINK', 0.0700362], ['SPORTS', 0.0257734], ['RELIGION AND SPIRITUALITY', 0.00046841], ['HOBBIES AND INTERESTS', 0.000331972]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,18,13,18:59:37.638056
Mary walked the man in Bob on the park with the man on Bob on Mary with I with John by an fish in my monkey,"[['SPORTS', 0.721189], ['TRAVEL', 0.157421], ['EDUCATION', 0.0177799], ['SCIENCE', 0.0138778], ['HOBBIES AND INTERESTS', 0.0136476]]","[['AQUARIUMS', 0.34], ['PETS', 0.09]]",True,19,14,18:59:39.201680
an cat by Mary wounded an fish by an monkey with Mary,"[['PETS', 0.999864], ['HOBBIES AND INTERESTS', 4.85846e-05], ['SPORTS', 4.76041e-05], ['TRAVEL', 1.4052e-05], ['STYLE AND FASHION', 1.3919e-06]]","[['AQUARIUMS', 0.39], ['PETS', 0.25]]",False,20,14,18:59:40.946311
I shot I outside Mary,"[['SPORTS', 1.0], ['ARTS AND ENTERTAINMENT', 6.04806e-12], ['TRAVEL', 6.01698e-12], ['NON STANDARD CONTENT', 2.47722e-12], ['SOCIETY', 1.73838e-12]]","[['HOBBIES & INTERESTS', 0.08], ['NEEDLEWORK', 0.06]]",True,21,15,18:59:42.559373
Bob walked my monkey with Bob,"[['SPORTS', 0.650914], ['HOBBIES AND INTERESTS', 0.242718], ['HEALTH AND FITNESS', 0.0341092], ['TRAVEL', 0.0163542], ['LAW AND GOVERNMENT AND POLITICS', 0.0030615]]","[['HOBBIES & INTERESTS', 0.08], ['SPORTS', 0.07], ['BIRDWATCHING', 0.05], ['WALKING', 0.05]]",True,22,16,18:59:44.387298
John shot I,"[['SPORTS', 0.982222], ['SOCIETY', 0.017778], ['HOBBIES AND INTERESTS', 1.87295e-15], ['NON STANDARD CONTENT', 7.6409e-16], ['ARTS AND ENTERTAINMENT', 4.02182e-16]]","[['HOBBIES & INTERESTS', 0.09], ['SCREENWRITING', 0.06]]",True,23,17,18:59:46.161326
my man ate Bob on I with I,"[['SPORTS', 0.975619], ['HOBBIES AND INTERESTS', 0.0243808], ['PETS', 2.88672e-08], ['RELIGION AND SPIRITUALITY', 8.06678e-09], ['NON STANDARD CONTENT', 4.85538e-09]]","[['PROFANE CONTENT', 0.21], ['NON-STANDARD CONTENT', 0.08], ['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,24,18,18:59:48.072151
an man walked Bob outside Mary with I,"[['HOBBIES AND INTERESTS', 0.945163], ['SPORTS', 0.0547825], ['HEALTH AND FITNESS', 2.83047e-05], ['STYLE AND FASHION', 1.5071e-05], ['RELIGION AND SPIRITUALITY', 9.55153e-07]]","[['PROFANE CONTENT', 0.21], ['NON-STANDARD CONTENT', 0.08], ['SPORTS', 0.07], ['HOBBIES & INTERESTS', 0.06], ['NEEDLEWORK', 0.06]]",True,25,19,18:59:49.917030
a dog walked an park in a telescope with Mary,"[['HEALTH AND FITNESS', 0.69487], ['PETS', 0.304796], ['SCIENCE', 0.000157188], ['SPORTS', 0.000155379], ['TRAVEL', 6.92008e-06]]","[['DOGS', 0.51], ['PETS', 0.29]]",False,26,19,18:59:51.746160
Mary saw John in I on the man,"[['RELIGION AND SPIRITUALITY', 0.343116], ['HOBBIES AND INTERESTS', 0.294488], ['SPORTS', 0.0835883], ['TRAVEL', 0.0340433], ['SOCIETY', 0.0243852]]","[['PROFANE CONTENT', 0.21], ['NON-STANDARD CONTENT', 0.11]]",True,27,20,18:59:53.511680
the monkey in Bob wounded Mary,"[['SPORTS', 0.253218], ['AUTOMOTIVE', 0.202527], ['EDUCATION', 0.114672], ['SCIENCE', 0.104007], ['TECHNOLOGY AND COMPUTING', 0.0560004]]","[['HOBBIES & INTERESTS', 0.08], ['NEEDLEWORK', 0.06]]",True,28,21,18:59:55.185965
John saw Mary with Bob,"[['HEALTH AND FITNESS', 0.750752], ['HOBBIES AND INTERESTS', 0.148658], ['SPORTS', 0.0441163], ['CAREERS', 0.00330236], ['SCIENCE', 0.00199697]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.19], ['HOBBIES & INTERESTS', 0.08], ['SPORTS', 0.06], ['NON-STANDARD CONTENT', 0.06], ['NEEDLEWORK', 0.06]]",True,29,22,18:59:56.896595
Mary killed my cat on an park,"[['PETS', 1.0], ['HEALTH AND FITNESS', 5.37252e-25], ['HOBBIES AND INTERESTS', 9.65716e-26], ['TRAVEL', 3.09285e-26], ['ARTS AND ENTERTAINMENT', 2.71556e-26]]","[['CATS', 0.63], ['PETS', 0.25]]",False,30,22,18:59:58.811084
an man outside an cat ate the man with my dog on Bob,"[['SPORTS', 0.824925], ['PETS', 0.107152], ['ARTS AND ENTERTAINMENT', 0.00780763], ['HOBBIES AND INTERESTS', 0.000337903], ['NON STANDARD CONTENT', 0.000282974]]","[['PETS', 0.42], ['CATS', 0.38]]",False,31,22,19:00:00.771677
I killed the dog by an park by I,"[['PETS', 1.0], ['SPORTS', 3.74511e-13], ['TRAVEL', 3.20101e-13], ['FOOD AND DRINK', 3.57732e-14], ['SCIENCE', 2.53696e-14]]","[['DOGS', 0.74], ['PETS', 0.57]]",False,32,22,19:00:02.650463
the park outside a fish killed Mary in John with Mary by a man with John in Mary,"[['TRAVEL', 0.555739], ['SOCIETY', 0.43846], ['BUSINESS', 0.00314042], ['HOBBIES AND INTERESTS', 0.00172229], ['SPORTS', 0.000604276]]","[['AQUARIUMS', 0.34], ['PETS', 0.11]]",True,33,23,19:00:04.339529
I ate I by an park,"[['PETS', 0.116121], ['RELIGION AND SPIRITUALITY', 0.0830134], ['TRAVEL', 0.0535523], ['FOOD AND DRINK', 0.0466079], ['NON STANDARD CONTENT', 0.036078]]","[['NATIONAL PARKS', 0.53], ['TRAVEL', 0.1]]",False,34,23,19:00:06.367887
Bob wounded Mary with my dog,"[['PETS', 0.980883], ['ARTS AND ENTERTAINMENT', 0.0166224], ['SPORTS', 0.000747463], ['HOBBIES AND INTERESTS', 0.000234124], ['TRAVEL', 0.000183539]]","[['DOGS', 0.49], ['PETS', 0.28]]",False,35,23,19:00:08.028437
I saw Bob,"[['SPORTS', 0.31411], ['NON STANDARD CONTENT', 0.0918401], ['HOBBIES AND INTERESTS', 0.072401], ['ARTS AND ENTERTAINMENT', 0.0531632], ['AUTOMOTIVE', 0.0240332]]","[['HOBBIES & INTERESTS', 0.09], ['SPORTS', 0.07], ['BIRDWATCHING', 0.05], ['WATERSKI/WAKEBOARD', 0.04]]",True,36,24,19:00:09.775823
John ate Bob,"[['FOOD AND DRINK', 0.433679], ['HOME AND GARDEN', 0.130817], ['SPORTS', 0.0954812], ['TRAVEL', 0.05232], ['RELIGION AND SPIRITUALITY', 0.0372308]]","[['HOBBIES & INTERESTS', 0.08], ['SCREENWRITING', 0.05]]",True,37,25,19:00:11.450262
John ate Mary by Mary,"[['FOOD AND DRINK', 0.28187], ['SOCIETY', 0.12201], ['SPORTS', 0.10037], ['TRAVEL', 0.0495135], ['EDUCATION', 0.0447624]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['BARBECUES & GRILLING', 0.09], ['HOBBIES & INTERESTS', 0.07], ['NON-STANDARD CONTENT', 0.06], ['NEEDLEWORK', 0.06]]",True,38,26,19:00:13.273002
