in my company I I woman in an room knew Alexander,"['NEUTRAL', 0.46842269]","['NEUTRAL', 0.10000000149011612]",False,1,0,23:39:20.381240
woman country looked the on Alexander,"['NEUTRAL', 0.73273087]","['NEUTRAL', 0.0]",False,2,0,23:39:23.000436
Alexander needed Alexander an on Alexander with Alexander my room by I,"['NEUTRAL', 0.57087648]","['NEUTRAL', 0.10000000149011612]",False,3,0,23:39:25.680189
country room needed a country Olivia Olivia in I on I,"['NEUTRAL', 0.68785221]","['NEUTRAL', 0.0]",False,4,0,23:39:27.199484
my room by I tried Alexander on Thomas,"['NEUTRAL', 0.52325563]","['NEUTRAL', 0.0]",False,5,0,23:39:29.657540
country woman outside Olivia stood I in Olivia,"['NEUTRAL', 0.63581178]","['NEUTRAL', 0.0]",False,6,0,23:39:32.011331
Olivia tried home in the home with woman by Olivia woman country with I I a I my home in Olivia by outside business room in Thomas outside Thomas home on Thomas in Olivia,"['NEGATIVE', 0.46954778]","['NEUTRAL', 0.0]",True,7,1,23:39:34.354989
I thought Olivia,"['POSITIVE', 0.36407205]","['NEUTRAL', 0.0]",True,8,2,23:39:36.482984
Alexander looked Alexander by I,"['NEUTRAL', 0.60620507]","['NEUTRAL', 0.10000000149011612]",False,9,2,23:39:38.769867
Thomas knew a company,"['NEUTRAL', 0.4470424]","['NEUTRAL', 0.0]",False,10,2,23:39:41.145414
Alexander looked my business,"['NEUTRAL', 0.35538988]","['NEUTRAL', 0.0]",False,11,2,23:39:43.721268
the room in I looked an week Alexander Olivia in my business Olivia Olivia on a woman outside Thomas outside I,"['NEUTRAL', 0.48200735]","['NEUTRAL', 0.0]",False,12,2,23:39:45.330471
Alexander tried Alexander,"['NEUTRAL', 0.54453364]","['NEUTRAL', 0.0]",False,13,2,23:39:47.780795
an week thought an business outside Olivia week home in Thomas I,"['NEGATIVE', 0.48944769]","['NEUTRAL', 0.0]",True,14,3,23:39:50.222223
the country needed Alexander on Thomas on an room I I,"['NEUTRAL', 0.69493861]","['NEUTRAL', 0.0]",False,15,3,23:39:51.677961
I knew Thomas,"['NEUTRAL', 0.62704831]","['NEUTRAL', 0.0]",False,16,3,23:39:54.036263
school by school school woman Olivia Thomas tried Thomas Alexander Alexander,"['NEUTRAL', 0.65579684]","['NEUTRAL', 0.0]",False,17,3,23:39:55.566394
Olivia needed Alexander with Olivia,"['NEUTRAL', 0.64147226]","['NEUTRAL', 0.10000000149011612]",False,18,3,23:39:57.884651
an school outside Olivia stood Olivia in country school outside my company by Alexander,"['NEGATIVE', 0.35949487]","['NEUTRAL', 0.0]",True,19,4,23:40:00.178464
I looked Thomas in Olivia,"['NEUTRAL', 0.65512711]","['NEUTRAL', 0.0]",False,20,4,23:40:01.491281
Alexander school I the school school in country in I home with Olivia Alexander on I,"['NEUTRAL', 0.55386429]","['NEUTRAL', 0.20000000298023224]",False,21,4,23:40:03.960432
Alexander thought I,"['POSITIVE', 0.39687159]","['NEUTRAL', 0.0]",True,22,5,23:40:05.265255
I tried business by I woman,"['NEGATIVE', 0.38201731]","['NEUTRAL', 0.0]",True,23,6,23:40:07.532558
Thomas tried I in Alexander on I,"['NEUTRAL', 0.55516538]","['NEUTRAL', 0.0]",False,24,6,23:40:08.859025
Alexander tried Olivia on school with an business company outside Alexander,"['NEGATIVE', 0.45552861]","['NEUTRAL', 0.0]",True,25,7,23:40:10.130998
I needed Thomas outside Thomas,"['NEUTRAL', 0.57934912]","['NEUTRAL', 0.0]",False,26,7,23:40:11.583271
an week in Alexander looked Olivia in Alexander,"['NEUTRAL', 0.66587505]","['NEUTRAL', 0.0]",False,27,7,23:40:13.127293
I thought an school by Alexander by an week outside Olivia,"['NEGATIVE', 0.40614032]","['NEUTRAL', 0.0]",True,28,8,23:40:14.810725
Alexander I Olivia,"['NEUTRAL', 0.59754443]","['NEUTRAL', 0.10000000149011612]",False,29,8,23:40:16.310067
by Thomas business on a week thought school outside Alexander company on a room,"['POSITIVE', 0.4977535]","['NEUTRAL', 0.0]",True,30,9,23:40:17.687423
Alexander stood a home with home school on my home a business school in my business business in Alexander,"['NEGATIVE', 0.41727767]","['NEUTRAL', 0.0]",True,31,10,23:40:18.991550
I stood an home outside country country with I,"['NEUTRAL', 0.44908714]","['NEUTRAL', 0.0]",False,32,10,23:40:21.383857
I tried an Olivia I on Olivia,"['NEUTRAL', 0.54284815]","['NEUTRAL', 0.0]",False,33,10,23:40:23.659000
